execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,33,2,1,91.66666666666666,5.555555555555555,2.7777777777777777,504,490,14,504,480,24,97.22222222222221,2.7777777777777777,95.23809523809523,4.761904761904762,-2,2,0,-5.555555555555557,5.555555555555555,0.0,-10,10,-1.9841269841269877,1.9841269841269842,1
2,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,31,4,1,86.11111111111111,11.11111111111111,2.7777777777777777,504,490,14,504,470,34,97.22222222222221,2.7777777777777777,93.25396825396825,6.746031746031746,-4,4,0,-11.1111111111111,11.11111111111111,0.0,-20,20,-3.9682539682539613,3.9682539682539684,1
3,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,33,0,3,91.66666666666666,0.0,8.333333333333332,504,490,14,504,462,42,97.22222222222221,2.7777777777777777,91.66666666666666,8.333333333333332,-2,0,2,-5.555555555555557,0.0,5.5555555555555545,-28,28,-5.555555555555557,5.5555555555555545,3
4,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,33,2,1,91.66666666666666,5.555555555555555,2.7777777777777777,504,490,14,504,474,30,97.22222222222221,2.7777777777777777,94.04761904761905,5.952380952380952,-2,2,0,-5.555555555555557,5.555555555555555,0.0,-16,16,-3.1746031746031633,3.174603174603174,1
5,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,33,2,1,91.66666666666666,5.555555555555555,2.7777777777777777,504,490,14,504,474,30,97.22222222222221,2.7777777777777777,94.04761904761905,5.952380952380952,-2,2,0,-5.555555555555557,5.555555555555555,0.0,-16,16,-3.1746031746031633,3.174603174603174,1
6,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,504,490,14,504,490,14,97.22222222222221,2.7777777777777777,97.22222222222221,2.7777777777777777,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
7,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,32,3,1,88.88888888888889,8.333333333333332,2.7777777777777777,504,490,14,504,473,31,97.22222222222221,2.7777777777777777,93.84920634920636,6.15079365079365,-3,3,0,-8.333333333333329,8.333333333333332,0.0,-17,17,-3.3730158730158593,3.3730158730158726,1
8,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,34,1,1,94.44444444444444,2.7777777777777777,2.7777777777777777,504,490,14,504,481,23,97.22222222222221,2.7777777777777777,95.43650793650794,4.563492063492063,-1,1,0,-2.7777777777777715,2.7777777777777777,0.0,-9,9,-1.7857142857142776,1.7857142857142856,1
9,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,26,9,1,72.22222222222221,25.0,2.7777777777777777,504,490,14,504,425,79,97.22222222222221,2.7777777777777777,84.32539682539682,15.674603174603174,-9,9,0,-25.0,25.0,0.0,-65,65,-12.896825396825392,12.896825396825395,1
10,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,30,5,1,83.33333333333334,13.88888888888889,2.7777777777777777,504,490,14,504,459,45,97.22222222222221,2.7777777777777777,91.07142857142857,8.928571428571429,-5,5,0,-13.888888888888872,13.88888888888889,0.0,-31,31,-6.150793650793645,6.150793650793651,1
11,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,36,35,0,1,97.22222222222221,0.0,2.7777777777777777,504,490,14,504,490,14,97.22222222222221,2.7777777777777777,97.22222222222221,2.7777777777777777,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
