execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.550000160932541e-05,1.2699980288743973e-05,1.1499971151351929e-05,8.7004154920578e-06,0.00026140036061406136,1.0200310498476028e-05,5.5995769798755646e-06,1.0699965059757233e-05,2.00001522898674e-06,0.004761699587106705,8.200015872716904e-05,7.779989391565323e-05,0.00018150033429265022,2.8099864721298218e-05,1.2100208550691605e-05,0.005481500644236803
2,1.2200325727462769e-05,1.2299977242946625e-05,1.1699739843606949e-05,8.899718523025513e-06,0.00045399973168969154,1.0099727660417557e-05,6.00004568696022e-06,1.1000316590070724e-05,1.8998980522155762e-06,0.010452699847519398,8.459948003292084e-05,7.71000050008297e-05,0.00036499975249171257,2.8199981898069382e-05,1.4999881386756897e-05,0.011550698429346085
3,0.010621999856084585,1.3399403542280197e-05,1.4599878340959549e-05,9.499955922365189e-06,0.000990699976682663,1.0600313544273376e-05,6.200280040502548e-06,1.1799857020378113e-05,2.5997869670391083e-06,1.8099788576364517e-05,0.0018397998064756393,0.008287400472909212,0.0007462003268301487,0.002130500040948391,1.3899523764848709e-05,0.02471729926764965
4,1.4099758118391037e-05,0.004217399749904871,1.200009137392044e-05,1.2099742889404297e-05,0.00020559970289468765,1.0299962013959885e-05,0.002598700113594532,8.269958198070526e-05,1.900363713502884e-06,0.002831399906426668,0.0009452998638153076,0.0042319996282458305,0.00017909985035657883,2.7299858629703522e-05,0.001788000576198101,0.017157898750156164
5,1.2499745935201645e-05,0.004359299782663584,2.7399510145187378e-05,8.90018418431282e-06,0.0002081003040075302,1.0599847882986069e-05,0.002610699739307165,8.139992132782936e-05,2.00001522898674e-06,0.002844199538230896,0.000986000057309866,0.004234500229358673,0.00017399992793798447,2.8500333428382874e-05,0.0017764996737241745,0.01736459881067276
6,7.729977369308472e-05,1.219986006617546e-05,1.1300202459096909e-05,8.599832653999329e-06,0.00037220027297735214,1.9000377506017685e-05,5.6996941566467285e-06,1.0699965059757233e-05,2.100132405757904e-06,1.2500211596488953e-05,8.089980110526085e-05,7.750000804662704e-05,0.00027320021763443947,2.9199756681919098e-05,1.180032268166542e-05,0.001004200428724289
7,1.2299977242946625e-05,0.0042153000831604,1.180032268166542e-05,8.90018418431282e-06,0.00025320006534457207,1.0200310498476028e-05,0.002568899653851986,8.179992437362671e-05,1.6996636986732483e-06,0.0028271996416151524,0.0009224996902048588,0.004082600120455027,0.00022170040756464005,2.8999987989664078e-05,0.0027569998055696487,0.01800409983843565
8,1.2500211596488953e-05,0.004189899656921625,1.1499971151351929e-05,8.699949830770493e-06,6.800051778554916e-06,9.500421583652496e-06,0.0025924001820385456,7.960014045238495e-05,2.00001522898674e-06,0.00281960004940629,8.319970220327377e-05,7.570022717118263e-05,6.100162863731384e-06,2.7900096029043198e-05,0.00010030018165707588,0.010025701019912958
9,1.2699514627456665e-05,0.004193900153040886,1.2300442904233932e-05,9.499955922365189e-06,0.0021371999755501747,3.439979627728462e-05,0.002680900041013956,0.00013610068708658218,1.80024653673172e-06,0.0029230001382529736,0.011117299553006887,0.03964609978720546,0.0021556997671723366,2.840021625161171e-05,0.0034649004228413105,0.06855420069769025
10,1.2499745935201645e-05,0.004158100113272667,1.1700671166181564e-05,8.999835699796677e-06,0.000632100272923708,1.0400079190731049e-05,0.002566699869930744,8.440017700195312e-05,1.700129359960556e-06,0.002812500111758709,0.002454400062561035,0.012026000302284956,0.0005428995937108994,3.0499882996082306e-05,0.005810299888253212,0.031163200736045837
