class_name,class_original_classification,classification_final_list
Diagnosis,subkind,can
DiagnosticProcedure,subkind,can
Doctor,role,is
DoseSchedule,kind,is
Drug,kind,can
GeneralPractitioner,role,is
MedicalCondition,kind,can
MedicalHistory,kind,is
MedicalProcedure,kind,is
MedicalProcedureOutcome,kind,is
MedicalProcedureTrigger,mixin,is
MildSymptom,phase,can
NamedEntity,category,can
NonSevereOutcome,phase,is
PalliativeProcedure,subkind,can
Patient,role,is
PatientReport,kind,is
Person,kind,is
PhysicalExam,subkind,can
PrescribedDoseSchedule,role,is
PrescribedDrug,role,can
Prescription,kind,is
PresenceMedicalProcedure,subkind,is
PreviousIllness,subkind,can
RemoteMedicalProcedure,subkind,can
ReportingPatient,role,is
SevereOutcome,phase,can
SevereSymptom,phase,can
SpecialistDoctor,role,is
SpecialistMedicalProcedure,role,is
SurgicalProcedure,subkind,can
Symptom,subkind,is
TherapeuticProcedure,subkind,can
TreatmentPatient,role,is
User,subkind,is
VisitRequest,subkind,can
