class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Artifact,category,category,True,False,False,0,15
Composite_Artifact,category,category,False,True,False,1,0
Data_Definitions,subkind,subkind,False,True,False,2,0
Data_Model,subkind,subkind,False,True,False,2,0
Design_Document,subkind,subkind,False,True,False,2,0
Design_Evaluation_Document,subkind,subkind,False,True,False,2,0
Document,kind,kind,False,False,True,1,3
Information_Item,kind,kind,False,False,True,1,3
Interface_Specification,subkind,subkind,False,False,True,2,1
Model,kind,kind,False,False,True,1,2
Requirements_Document,subkind,subkind,False,True,False,2,0
Simple_Artifact,category,category,False,True,False,1,0
Software_Architecture,subkind,subkind,False,True,False,2,0
Software_Item,kind,kind,False,True,False,1,0
Software_Product,kind,kind,False,True,False,1,0
User_Interface_Specification,subkind,subkind,False,True,False,3,0
