class_name,class_original_classification,classification_final_list
Artifact,category,can
Composite_Artifact,category,can
Data_Definitions,subkind,can
Data_Model,subkind,is
Design_Document,subkind,can
Design_Evaluation_Document,subkind,can
Document,kind,can
Information_Item,kind,can
Interface_Specification,subkind,can
Model,kind,can
Requirements_Document,subkind,can
Simple_Artifact,category,can
Software_Architecture,subkind,can
Software_Item,kind,can
Software_Product,kind,can
User_Interface_Specification,subkind,can
