class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Artifact,none,other,False,False,True,1,9
Composite_Artifact,none,other,False,False,True,2,1
Controller,none,other,False,True,False,2,0
Document,none,other,False,False,True,2,2
Information_Item,none,other,False,False,True,2,1
Machine,none,other,False,False,True,1,1
Object,none,other,True,False,False,0,12
Program,none,other,False,True,False,3,0
Program_Specification,none,other,False,True,False,3,0
Requirement_Artifact,none,other,False,True,False,4,0
Requirement_Document,none,other,False,True,False,4,0
Simple_Artifact,none,other,False,False,True,2,1
Software_Item,none,other,False,False,True,2,1
