execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,8.109991904348135e-05,1.4199991710484028e-05,0.0002782999072223902,1.1500087566673756e-05,0.00026460003573447466,1.27000967040658e-05,6.300047971308231e-06,1.2200092896819115e-05,1.700012944638729e-06,1.4499877579510212e-05,8.500006515532732e-05,7.960014045238495e-05,0.00018750003073364496,3.860006108880043e-05,1.4099874533712864e-05,0.0011019002413377166
2,0.018534300033934414,1.4999881386756897e-05,0.0002874999772757292,1.200009137392044e-05,0.0015170000260695815,0.0003549999091774225,7.00005330145359e-06,1.3699987903237343e-05,2.300017513334751e-06,1.71000137925148e-05,0.003671499900519848,0.014892700128257275,0.001158699975349009,4.139996599406004e-05,1.750001683831215e-05,0.04054269997868687
3,1.3999990187585354e-05,1.479999627918005e-05,1.3499986380338669e-05,1.1699972674250603e-05,0.0010342999594286084,1.309998333454132e-05,7.0999376475811005e-06,1.2900098226964474e-05,1.9000144675374031e-06,0.007177800056524575,0.0018351000035181642,0.008559399866499007,0.0007760999724268913,3.930006641894579e-05,1.5300000086426735e-05,0.019526299904100597
4,1.4199991710484028e-05,0.00480919994879514,1.4099990949034691e-05,1.1899974197149277e-05,0.001969000091776252,1.370010431855917e-05,0.0036401000106707215,8.79000872373581e-05,1.600012183189392e-06,0.0030149000231176615,0.008428999921306968,0.0400552999926731,0.001689900062046945,4.060007631778717e-05,0.012539899908006191,0.07633130019530654
5,1.6400008462369442e-05,1.4200108125805855e-05,1.3199984095990658e-05,1.1600088328123093e-05,0.0002628999063745141,1.2399978004395962e-05,6.500049494206905e-06,1.2599863111972809e-05,1.800013706088066e-06,0.004649500013329089,8.700008038431406e-05,7.990014273673296e-05,0.00018470000941306353,3.85999446734786e-05,1.389987301081419e-05,0.005405200063250959
6,7.98999099060893e-05,1.4699995517730713e-05,1.279998105019331e-05,1.1600088328123093e-05,0.0002973000518977642,1.4399993233382702e-05,6.4999330788850784e-06,1.2200092896819115e-05,1.800013706088066e-06,1.4699995517730713e-05,8.730008266866207e-05,8.640019223093987e-05,0.0001873999135568738,3.7499936297535896e-05,1.389987301081419e-05,0.0008784000528976321
7,0.005346899968571961,1.4800112694501877e-05,0.0003076001303270459,1.1299969628453255e-05,0.0005438000662252307,0.00012780004180967808,6.5999338403344154e-06,1.2500095181167126e-05,1.800013706088066e-06,1.5600002370774746e-05,0.0009752998594194651,0.004140400094911456,0.0003978000022470951,3.720005042850971e-05,1.4399876818060875e-05,0.011953800218179822
8,0.005335299880243838,1.4300108887255192e-05,0.00032290013041347265,1.1399970389902592e-05,0.0005550000350922346,0.00013020006008446217,6.299931555986404e-06,1.2499862350523472e-05,1.800013706088066e-06,1.9300030544400215e-05,0.0010509999701753259,0.004120300058275461,0.0004002000205218792,3.85999446734786e-05,1.5400000847876072e-05,0.012034500017762184
9,1.3400102034211159e-05,0.004125499981455505,1.2499978765845299e-05,1.1199968867003918e-05,0.0008231999818235636,1.2299977242946625e-05,0.003507699933834374,0.0001642999704927206,1.700012944638729e-06,0.0028693999629467726,0.003575799986720085,0.016347500029951334,0.0007031999994069338,3.6800047382712364e-05,0.005032199900597334,0.03723669983446598
10,7.860001642256975e-05,1.3699987903237343e-05,1.2399978004395962e-05,1.0899966582655907e-05,0.0003122999332845211,1.1899974197149277e-05,6.200047209858894e-06,1.1499971151351929e-05,2.100015990436077e-06,1.379998866468668e-05,7.950002327561378e-05,7.71000050008297e-05,0.0002215000567957759,3.550003748387098e-05,1.309998333454132e-05,0.0009000999853014946
11,7.87999015301466e-05,1.3499986380338669e-05,1.1900090612471104e-05,1.0999967344105244e-05,0.00026400003116577864,1.209997572004795e-05,6.200047209858894e-06,1.179997343569994e-05,1.600012183189392e-06,1.3899989426136017e-05,7.90000194683671e-05,7.6299998909235e-05,0.00017380004283040762,3.5100034438073635e-05,1.3399985618889332e-05,0.0008024000562727451
12,8.070003241300583e-05,1.580000389367342e-05,1.279998105019331e-05,1.1699972674250603e-05,0.00034580007195472717,1.2200092896819115e-05,6.09993003308773e-06,1.2600095942616463e-05,1.9000144675374031e-06,1.4699879102408886e-05,8.629995863884687e-05,8.159992285072803e-05,0.00022820010781288147,4.220008850097656e-05,4.840001929551363e-05,0.0010010001715272665
13,7.780012674629688e-05,1.3999990187585354e-05,1.2599863111972809e-05,1.1699972674250603e-05,0.00031939998734742403,1.2199976481497288e-05,6.300047971308231e-06,1.2299977242946625e-05,1.700012944638729e-06,1.4599994756281376e-05,8.080003317445517e-05,7.82000133767724e-05,0.000228899996727705,3.670004662126303e-05,1.4099990949034691e-05,0.0009213000303134322
14,1.4699995517730713e-05,1.3600103557109833e-05,1.3299984857439995e-05,1.079996582120657e-05,0.00025349995121359825,1.1600088328123093e-05,6.300047971308231e-06,1.1899974197149277e-05,1.9000144675374031e-06,0.0046681000385433435,8.080014958977699e-05,8.080003317445517e-05,0.00017500005196779966,3.9899954572319984e-05,1.3299868442118168e-05,0.005395500222221017
15,7.550010923296213e-05,1.3900105841457844e-05,1.2399861589074135e-05,1.0699965059757233e-05,0.0002047000452876091,1.179997343569994e-05,6.200047209858894e-06,1.1799857020378113e-05,1.500011421740055e-06,1.3999990187585354e-05,8.299993351101875e-05,7.960002403706312e-05,0.0001300000585615635,3.520003519952297e-05,1.3100099749863148e-05,0.0007034001173451543
16,0.005774299846962094,1.4499877579510212e-05,0.0002981999423354864,1.1599971912801266e-05,0.0005602999590337276,0.00013029994443058968,6.3999323174357414e-06,1.2699863873422146e-05,1.9000144675374031e-06,1.5500118024647236e-05,0.0010686998721212149,0.004162500146776438,0.0004000000189989805,3.8400059565901756e-05,1.4800112694501877e-05,0.012510099681094289
17,7.850013207644224e-05,1.400010660290718e-05,1.279998105019331e-05,1.3300101272761822e-05,0.0003168999683111906,1.209997572004795e-05,6.200047209858894e-06,1.27000967040658e-05,1.600012183189392e-06,1.7399899661540985e-05,8.150003850460052e-05,7.84001313149929e-05,0.00022849999368190765,3.630004357546568e-05,1.3799872249364853e-05,0.0009240004001185298
