class_name,class_original_classification,classification_final_list
Active_Car_Rental_Agreement,phase,can
Adult,phase,is
Branch,subkind,is
Car,kind,can
Car_Agency,subkind,is
Car_Manufacturer,role,can
Car_Needing_Maintenance,phase,can
Car_Needing_Repair,phase,is
Car_Rental_Agreement,kind,can
Car_Rental_Agreement_Closed_With_Damage,role,is
Car_Returned_with_Damage,role,is
Car_Scheduled_for_Maintenance,role,is
Car_Scheduled_for_Repair,role,can
Cargo_Car,subkind,is
Child,role,is
Closed_Car_Rental_Agreement,phase,can
Corporate_Customer,role,is
Customer,rolemixin,is
Deceased_Person,phase,is
Driver,role,is
Employee,role,is
Extented_Car_Rental_Agreement,phase,is
Functional_Car,phase,is
Governmental_Agency,subkind,is
Infant,phase,can
Insurable_Item,mixin,can
Insurance_Company,role,is
Insured_Driver,role,is
Junior_Employee,role,is
Licensing_Authority,subkind,is
Living_Person,phase,can
Man,subkind,is
Mid-level_Employee,role,is
Organization,kind,is
Organization_Unit,subkind,is
Parent,role,is
Passenger_Car,subkind,is
Person,kind,can
Personal_Customer,role,is
Receiver_Branch,role,is
Sender_Branch,role,can
Senior_Employee,role,is
Service_Depot,subkind,is
Spouse,role,is
Teenage,phase,can
Trainee,role,is
Transferred_Car,role,is
Woman,subkind,is
