class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Advocacy,phase,phase,False,True,False,1,0,6
Awareness,phase,phase,False,True,False,1,0,6
BuyerPersona,kind,kind,True,False,False,0,6,6
Channel,kind,kind,True,False,False,0,2,2
Consideration,phase,phase,False,True,False,1,0,6
Consumption,phase,phase,False,True,False,1,0,6
Customer,phase,phase,False,True,False,1,0,6
CustomerRelationshipStatus,relator,kind,True,False,False,0,6,6
Decision,phase,phase,False,True,False,1,0,6
DigitalChannel,subkind,subkind,False,True,False,1,0,2
Faithful,phase,phase,False,True,False,1,0,6
Lead,phase,phase,False,True,False,1,0,6
Loyal,phase,phase,False,True,False,1,0,6
PhysicalChannel,subkind,subkind,False,True,False,1,0,2
Promoter,phase,phase,False,True,False,1,0,6
Prospect,phase,phase,False,True,False,1,0,6
Stranger,phase,phase,False,True,False,1,0,6
