class_name,class_original_classification,classification_final_list
Abiotic_Component,category,can
Agent,category,can
Agent_in_Social_Relation,rolemixin,can
Atomic_Installation,subkind,can
Authority,category,can
Biotic_Component,category,is
Built_Component,category,can
Business_Emergency_Human_Resource,role,can
Business_Emergency_Material_Resource,rolemixin,can
Business_Human_Resource,role,can
Business_Non_Emergency_Human_Resource,role,can
Businessman,role,can
Civil_Defense_Organization,kind,can
Collective_Social_Agent,category,can
Complex_Installation,subkind,can
Component,category,can
Delegatee,rolemixin,can
Delegator,rolemixin,can
EP_Agent,category,can
EP_Agent_delegatee,role,can
EP_Agent_delegator,role,can
Emergency_Team,kind,can
Endangered_Component,rolemixin,can
Environmental_Component,category,can
Environmental_Physical_Component,category,can
Environmental_Social_Component,category,can
Evacuation_Geographical_Region,role,can
Evacuation_Installation,role,can
Evacuation_Local,rolemixin,can
Geographical_Point,category,can
Geographical_Region,category,can
Holder,rolemixin,can
Human_Resource,role,can
Individual_Social_Agent,category,can
Installation,kind,can
Jurisdiction,category,can
Macro_Political_Region,category,can
Material_Resource,category,can
Micro_Political_Region,category,can
Natural_Component,category,can
Non_Political_Region,category,can
Normatized_Social_Object,mixin,can
Organization,category,can
Organization_Holder,role,can
Owner,rolemixin,can
Person,kind,is
Person_Holder,role,can
Physical_Agent,category,is
Physical_Component,category,can
Political_Body,category,can
Political_Region,category,can
Protector,rolemixin,can
Public_Emergency_Human_Resource,role,can
Public_Emergency_Material_Resource,rolemixin,can
Safe_Component,rolemixin,can
Social_Agent,category,can
Social_Component,category,can
Spatial_Location,category,can
Under_Protection_Component,rolemixin,can
User,role,can
Visitor,role,can
