execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.004574300022795796,0.0010738000273704529,0.006725899991579354,8.789997082203627e-05,0.004440200049430132,0.003086599870584905,1.279998105019331e-05,0.0001852000132203102,1.1599971912801266e-05,1.9700033590197563e-05,7.800059393048286e-06,0.0020212000235915184,0.000810900004580617,0.000457499991171062,1.100008375942707e-05,0.02352640009485185
2,0.025296299951151013,0.00010179996024817228,0.00010249984916299582,0.00616350001655519,8.789997082203627e-05,0.018340400070883334,1.2299977242946625e-05,0.004201300092972815,1.2299977242946625e-05,1.9200029782950878e-05,7.900060154497623e-06,0.007384500000625849,6.500049494206905e-06,6.400048732757568e-06,7.6000578701496124e-06,0.06175040011294186
3,0.00946149998344481,8.759996853768826e-05,0.00012800004333257675,0.001082699978724122,9.079999290406704e-05,0.006488399929367006,1.2300093658268452e-05,0.000328000052832067,1.1599971912801266e-05,2.1799933165311813e-05,1.1599971912801266e-05,0.0029613999649882317,6.6999346017837524e-06,5.899928510189056e-06,7.70005863159895e-06,0.020705999806523323
4,0.004707000101916492,0.006953900097869337,0.0035917999921366572,9.120011236518621e-05,0.0278748000273481,0.0030881999991834164,1.550000160932541e-05,0.00017290003597736359,1.1899974197149277e-05,1.8900027498602867e-05,7.70005863159895e-06,0.0015193000435829163,0.0022999000502750278,0.0021213000873103738,8.70006624609232e-06,0.05248300067614764
5,9.030010551214218e-05,0.02927650010678917,0.003985999966971576,1.170008908957243e-05,0.09338399989064783,8.659996092319489e-05,1.1100084520876408e-05,1.1900090612471104e-05,1.109996810555458e-05,1.9099912606179714e-05,7.5999414548277855e-06,5.700043402612209e-06,0.004338699975050986,0.0037354000378400087,8.699949830770493e-06,0.13498440012335777
6,0.004838299937546253,0.0009713000617921352,0.0061696000630036,8.679996244609356e-05,0.004752199980430305,0.0032198000699281693,1.4900113455951214e-05,0.00020150013733655214,1.4600111171603203e-05,2.1799933165311813e-05,7.5999414548277855e-06,0.001423400011844933,0.00046289991587400436,0.0004267999902367592,1.27000967040658e-05,0.022624200326390564
7,0.02602030010893941,8.9899986051023e-05,0.00010320008732378483,0.006258400157094002,0.00011159991845488548,0.018305000034160912,1.2500095181167126e-05,0.0040395999094471335,1.2299977242946625e-05,2.4699955247342587e-05,1.1999974958598614e-05,0.007386300014331937,6.800051778554916e-06,5.799927748739719e-06,7.2999391704797745e-06,0.062395700137130916
8,0.01383379998151213,0.00010539998766034842,0.00010419997852295637,0.002645100001245737,8.239992894232273e-05,0.00951040000654757,1.2299977242946625e-05,0.00044579990208148956,1.1500087566673756e-05,2.0800158381462097e-05,7.6000578701496124e-06,0.0043160999193787575,9.199953638017178e-06,5.800044164061546e-06,7.6000578701496124e-06,0.03111800004262477
9,0.004637200036086142,0.01274650008417666,0.011960400035604835,8.579995483160019e-05,0.054793299990706146,0.003061600145883858,1.2500095181167126e-05,0.00017989985644817352,1.170008908957243e-05,1.8400023691356182e-05,7.6000578701496124e-06,0.0014227000065147877,0.003813200048170984,0.003325000056065619,9.00006853044033e-06,0.09608480054885149
10,0.018465899862349033,8.660007733851671e-05,0.00010089995339512825,0.005084700067527592,8.849997539073229e-05,0.012734400108456612,1.2500095181167126e-05,0.0005982000147923827,1.5400000847876072e-05,2.3000058718025684e-05,7.899943739175797e-06,0.005578999989666045,6.6999346017837524e-06,5.699926987290382e-06,7.400056347250938e-06,0.04281680006533861
11,0.014082400011830032,0.004264299990609288,0.02380210009869188,0.0018396999221295118,0.021753299981355667,0.010164699982851744,1.2499978765845299e-05,0.0035201000282540917,1.1899974197149277e-05,1.8900143913924694e-05,7.500057108700275e-06,0.004165200050920248,0.001975200022570789,0.0018315999768674374,8.899951353669167e-06,0.08745830017141998
12,0.008961500017903745,0.0018120999448001385,0.005238099955022335,0.0009929998777806759,0.008891199948266149,0.006146199884824455,1.189985778182745e-05,0.00032469991128891706,1.170008908957243e-05,1.9200029782950878e-05,7.699942216277122e-06,0.0028927000239491463,0.0005266000516712666,0.0004637000383809209,8.499948307871819e-06,0.03630879952106625
13,8.849997539073229e-05,0.0010909000411629677,0.0028773999074473977,1.1399970389902592e-05,0.004424900049343705,8.539995178580284e-05,1.0600080713629723e-05,1.1199968867003918e-05,1.0499963536858559e-05,1.8299906514585018e-05,7.0999376475811005e-06,9.100069291889668e-06,0.00028819998260587454,0.00024359999224543571,8.300063200294971e-06,0.009185399860143661
14,0.008605799986980855,8.620007429271936e-05,9.789993055164814e-05,0.0009519000304862857,8.370005525648594e-05,0.0059732000809162855,1.1699972674250603e-05,0.00031949998810887337,1.109996810555458e-05,1.780001912266016e-05,7.1999384090304375e-06,0.0027215000009164214,6.400048732757568e-06,5.499925464391708e-06,7.3999399319291115e-06,0.01890679995995015
15,0.018974000005982816,8.819997310638428e-05,0.00010580010712146759,0.005329900071956217,8.840009104460478e-05,0.013140799943357706,1.2499978765845299e-05,0.0005905999569222331,1.2199976481497288e-05,1.98000343516469e-05,7.899943739175797e-06,0.005792899988591671,6.9999368861317635e-06,5.900044925510883e-06,7.70005863159895e-06,0.04418360011186451
16,0.013131199986673892,8.779997006058693e-05,0.00010399986058473587,0.0010354999685660005,8.690007962286472e-05,0.008882399997673929,1.1600088328123093e-05,0.0035208999179303646,1.1999858543276787e-05,2.219993621110916e-05,7.400056347250938e-06,0.004311499884352088,6.300047971308231e-06,6.00004568696022e-06,7.4999406933784485e-06,0.031233199639245868
17,0.013480400084517896,8.669996168464422e-05,0.00010960001964122057,0.0027595999417826533,9.660003706812859e-05,0.0091205999488011,1.1999974958598614e-05,0.0004588000010699034,1.179997343569994e-05,1.8799910321831703e-05,7.79994297772646e-06,0.004225999931804836,6.6999346017837524e-06,6.00004568696022e-06,1.1800089851021767e-05,0.030413199798204005
