execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,10,0,1,90.9090909090909,0.0,9.090909090909092,154,140,14,154,140,14,90.9090909090909,9.090909090909092,90.9090909090909,9.090909090909092,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
2,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,6,4,1,54.54545454545454,36.36363636363637,9.090909090909092,154,140,14,154,110,44,90.9090909090909,9.090909090909092,71.42857142857143,28.57142857142857,-4,4,0,-36.36363636363637,36.36363636363637,0.0,-30,30,-19.480519480519476,19.480519480519476,2
3,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,10,0,1,90.9090909090909,0.0,9.090909090909092,154,140,14,154,140,14,90.9090909090909,9.090909090909092,90.9090909090909,9.090909090909092,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
4,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,10,0,1,90.9090909090909,0.0,9.090909090909092,154,140,14,154,140,14,90.9090909090909,9.090909090909092,90.9090909090909,9.090909090909092,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
5,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,134,20,90.9090909090909,9.090909090909092,87.01298701298701,12.987012987012985,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-6,6,-3.896103896103895,3.8961038961038934,2
6,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,131,23,90.9090909090909,9.090909090909092,85.06493506493507,14.935064935064934,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-9,9,-5.844155844155836,5.844155844155843,1
7,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,10,0,1,90.9090909090909,0.0,9.090909090909092,154,140,14,154,140,14,90.9090909090909,9.090909090909092,90.9090909090909,9.090909090909092,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
8,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,3,7,1,27.27272727272727,63.63636363636363,9.090909090909092,154,140,14,154,95,59,90.9090909090909,9.090909090909092,61.68831168831169,38.311688311688314,-7,7,0,-63.63636363636364,63.63636363636363,0.0,-45,45,-29.220779220779214,29.22077922077922,1
9,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,9,1,1,81.81818181818183,9.090909090909092,9.090909090909092,154,140,14,154,134,20,90.9090909090909,9.090909090909092,87.01298701298701,12.987012987012985,-1,1,0,-9.09090909090908,9.090909090909092,0.0,-6,6,-3.896103896103895,3.8961038961038934,2
10,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,10,0,1,90.9090909090909,0.0,9.090909090909092,154,140,14,154,140,14,90.9090909090909,9.090909090909092,90.9090909090909,9.090909090909092,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
11,11,10,0,1,90.9090909090909,0.0,9.090909090909092,11,10,0,1,90.9090909090909,0.0,9.090909090909092,154,140,14,154,140,14,90.9090909090909,9.090909090909092,90.9090909090909,9.090909090909092,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
