class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
...,subkind,subkind,False,True,False,1,0,12
....,subkind,subkind,False,True,False,2,0,12
Activity_Pool,subkind,subkind,False,True,False,1,0,2
Asset,phase,phase,False,True,False,1,0,12
Asset_Account,subkind,subkind,False,True,False,1,0,5
Capacity_Resource,subkind,subkind,False,False,True,1,2,12
Claim,phase,phase,False,True,False,1,0,12
Cost_Pool,subkind,subkind,False,True,False,1,0,2
Credit_Event,subkind,subkind,False,True,False,1,0,4
Data_Pool,kind,kind,True,False,False,0,2,2
Debit_Event,subkind,subkind,False,True,False,1,0,4
Decrement_Event,subkind,subkind,False,True,False,1,0,4
Economic_Event,kind,kind,True,False,False,0,4,4
Economic_Resource,kind,kind,True,False,False,0,12,12
Equipment,subkind,subkind,False,True,False,2,0,12
Equity,phase,phase,False,True,False,1,0,12
Equity_Account,subkind,subkind,False,True,False,1,0,5
Expense_Account,subkind,subkind,False,True,False,1,0,5
Finished_Good,subkind,subkind,False,True,False,2,0,12
General_Ledger_Account,kind,kind,True,False,False,0,5,5
Increment_Event,subkind,subkind,False,True,False,1,0,4
Liability,phase,phase,False,True,False,1,0,12
Liability_Account,subkind,subkind,False,True,False,1,0,5
Material_Resource,subkind,subkind,False,False,True,1,3,12
Personnel,subkind,subkind,False,True,False,2,0,12
Raw_Material,subkind,subkind,False,True,False,2,0,12
Revenue_Account,subkind,subkind,False,True,False,1,0,5
