class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
...,subkind,subkind,False,True,False,1,0
....,subkind,subkind,False,True,False,2,0
Asset,phase,phase,False,True,False,1,0
Capacity_Resource,subkind,subkind,False,False,True,1,2
Claim,phase,phase,False,True,False,1,0
Economic_Resource,kind,kind,True,False,False,0,12
Equipment,subkind,subkind,False,True,False,2,0
Equity,phase,phase,False,True,False,1,0
Finished_Good,subkind,subkind,False,True,False,2,0
Liability,phase,phase,False,True,False,1,0
Material_Resource,subkind,subkind,False,False,True,1,3
Personnel,subkind,subkind,False,True,False,2,0
Raw_Material,subkind,subkind,False,True,False,2,0
