execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,9.130001126322895e-05,0.011029600020265207,0.006182800003443845,1.9100014469586313e-05,0.04657620000944007,0.003546400010236539,2.1799991372972727e-05,1.9000028260052204e-05,1.8600010662339628e-05,2.8099981136620045e-05,1.4599994756281376e-05,9.199982741847634e-06,0.00802300000214018,0.0016871000116225332,1.4999997802078724e-05,0.07728180006961338
2,9.800016414374113e-06,0.00011040001118090004,9.900002623908222e-06,8.90000956133008e-06,7.119998917914927e-05,0.004667700006393716,2.449998282827437e-05,9.199997293762863e-06,8.899995009414852e-06,1.3299984857439995e-05,5.49999822396785e-06,4.49999060947448e-06,0.0002643000043462962,0.00015999999595806003,6.200003554113209e-06,0.005374299988034181
3,8.969999908003956e-05,0.01111490000039339,0.006675500000710599,1.920001523103565e-05,0.046251799998572096,0.00014259999443311244,0.00015259999781847,1.9699989934451878e-05,0.0005915999790886417,2.8999987989664078e-05,1.270000939257443e-05,2.3899992811493576e-05,0.011846000008517876,0.001780000005965121,1.4899997040629387e-05,0.0787640999769792
4,8.539999544154853e-05,0.013234100028057583,0.006020700006047264,1.8799997633323073e-05,0.04662540000572335,0.0030642000056104735,1.9700019038282335e-05,2.1800005924887955e-05,1.9099999917671084e-05,2.61999957729131e-05,1.2100004823878407e-05,9.2999980552122e-06,0.008401500002946705,0.0020091000042157248,1.300001167692244e-05,0.07958040008088574
5,8.3099992480129e-05,0.010503500016056933,0.005926300000282936,1.819999306462705e-05,0.04387630001292564,8.390001312363893e-05,0.00016299998969770968,1.8699996871873736e-05,0.0005563999875448644,2.579999272711575e-05,1.170000177808106e-05,8.899995009414852e-06,0.01146330000483431,0.001675399995292537,1.2799995602108538e-05,0.07442729998729192
6,9.600000339560211e-05,0.010732300012023188,0.00593230000231415,1.1600001016631722e-05,0.04895649998798035,7.850000110920519e-05,9.69998654909432e-06,9.199997293762863e-06,8.699993486516178e-06,1.2100004823878407e-05,5.49999822396785e-06,4.3000036384910345e-06,0.001950100006069988,0.0016057000029832125,7.099995855242014e-06,0.06941959999676328
7,1.2900010915473104e-05,0.00012540000898297876,1.2799995602108538e-05,1.1600001016631722e-05,9.970000246539712e-05,0.005873500005691312,1.2999997125007212e-05,1.379998866468668e-05,1.1800002539530396e-05,1.8099992303177714e-05,7.800001185387373e-06,6.300004315562546e-06,0.00033989999792538583,0.0002432000037515536,8.399991202168167e-06,0.006798200003686361
8,8.679997699800879e-05,0.010410300004878081,0.006133399991085753,1.8099977751262486e-05,0.043977499997708946,8.64000030560419e-05,0.0001402000052621588,1.8199978512711823e-05,0.0005219000013312325,2.579999272711575e-05,1.1200012522749603e-05,9.000010322779417e-06,0.01128170000447426,0.0017433000029996037,1.4000004739500582e-05,0.0744777999643702
9,9.60000033956021e-06,7.26999860489741e-05,9.399984264746308e-06,8.200004231184721e-06,6.95999915478751e-05,0.004269299985026009,9.800001862458885e-06,9.2999980552122e-06,8.99998121894896e-06,1.3100012438371778e-05,5.49999822396785e-06,4.4000043999403715e-06,0.00023439999495167285,0.00016419999883510172,6.300004315562546e-06,0.004894799945759587
10,8.700000762473792e-05,0.011022100021364167,0.006053600009181537,1.8300008377991617e-05,0.04682529998535756,9.17000143090263e-05,0.0001706000039121136,1.950001751538366e-05,0.0006007000192767009,3.0499999411404133e-05,1.1900003300979733e-05,9.199997293762863e-06,0.011249600007431582,0.0018259000062244013,1.3599987141788006e-05,0.07802950008772314
11,8.33000085549429e-05,0.013904999985243194,0.00606790000165347,1.8900027498602867e-05,0.04746169998543337,0.003046500016353093,1.959998917300254e-05,1.889999839477241e-05,1.810002140700817e-05,2.5599991204217076e-05,1.1099997209385037e-05,9.499999578110874e-06,0.008478099989588372,0.0021373999916249886,1.2900010915473104e-05,0.081314500013832
12,9.99998883344233e-06,7.99000117694959e-05,9.69998654909432e-06,8.499991963617504e-06,7.359999290201813e-05,0.004522699993685819,1.0000003385357559e-05,9.60000033956021e-06,8.799994247965515e-06,1.3499986380338669e-05,5.800000508315861e-06,4.49999060947448e-06,0.000275999991572462,0.00017490000755060464,6.799993570894003e-06,0.00521429993386846
13,1.2799995602108538e-05,8.75000114319846e-05,9.199997293762863e-06,8.400005754083395e-06,6.860001303721219e-05,0.004348899994511157,1.0799994925037026e-05,9.69998654909432e-06,9.2999980552122e-06,2.7000001864507794e-05,5.699999746866524e-06,4.2000028770416975e-06,0.00024190000840462744,0.00016650000179652125,7.199996616691351e-06,0.0050177000084659085
