execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,2.6999972760677338e-05,0.00010569952428340912,2.6499852538108826e-05,1.4999881386756897e-05,0.009611300192773342,2.1700281649827957e-05,1.1899974197149277e-05,2.9499176889657974e-05,2.5200191885232925e-05,0.0040802001021802425,0.014081599656492472,0.056322399992495775,0.0021922001615166664,3.460003063082695e-05,0.008101100102066994,0.09468589909374714
2,1.3400334864854813e-05,1.3200100511312485e-05,1.2100208550691605e-05,7.6000578701496124e-06,0.0002966001629829407,8.299946784973145e-06,5.8002769947052e-06,1.1300202459096909e-05,1.2600328773260117e-05,0.006620800122618675,9.79001633822918e-05,9.099999442696571e-05,0.0002089003100991249,1.750001683831215e-05,1.6300473362207413e-05,0.007433302700519562
3,0.0001679002307355404,9.869970381259918e-05,0.0006169001571834087,1.3699289411306381e-05,0.01310029998421669,1.5600118786096573e-05,1.1199619621038437e-05,2.2300519049167633e-05,2.3200176656246185e-05,0.00010639987885951996,0.012025600299239159,0.05076720006763935,0.0019191005267202854,3.139907494187355e-05,0.006845599971711636,0.08576509961858392
4,2.650078386068344e-05,9.569991379976273e-05,2.1799467504024506e-05,1.400010660290718e-05,0.00941829988732934,2.2700056433677673e-05,1.1499971151351929e-05,2.1799467504024506e-05,2.4300534278154373e-05,0.0036360998637974262,0.014760799705982208,0.0560313006862998,0.0022765998728573322,3.4600961953401566e-05,0.006754899863153696,0.09315090114250779
5,0.00022449996322393417,0.00011220062151551247,0.0007336004637181759,1.499941572546959e-05,0.014533700421452522,2.0899809896945953e-05,1.1499971151351929e-05,2.2899825125932693e-05,2.7299392968416214e-05,0.0001383996568620205,0.013270899653434753,0.05969589948654175,0.002077000215649605,3.7400051951408386e-05,0.007819500286132097,0.0987406992353499
6,1.2200325727462769e-05,9.609991684556007e-05,1.1300202459096909e-05,7.6000578701496124e-06,0.0023453999310731888,8.999835699796677e-06,6.00004568696022e-06,1.2200325727462769e-05,1.2699980288743973e-05,9.46996733546257e-05,0.013290700037032366,0.06416189996525645,0.0019332999363541603,2.0800158381462097e-05,0.007492300122976303,0.08950620051473379
7,1.2099742889404297e-05,1.2000557035207748e-05,1.0999850928783417e-05,7.200054824352264e-06,0.00027540000155568123,7.6000578701496124e-06,5.700159817934036e-06,1.0599382221698761e-05,1.1699739843606949e-05,0.005008099600672722,8.929986506700516e-05,8.399970829486847e-05,0.00019450020045042038,1.600012183189392e-05,1.1600088328123093e-05,0.005756799131631851
8,0.000161800067871809,9.669968858361244e-05,0.0005767000839114189,1.3699755072593689e-05,0.012649400159716606,1.5099998563528061e-05,1.0899733752012253e-05,2.149958163499832e-05,2.2500287741422653e-05,9.359978139400482e-05,0.011550700291991234,0.05041260039433837,0.0018365997821092606,3.0500348657369614e-05,0.006614500191062689,0.08410680014640093
9,1.0699965059757233e-05,1.0500196367502213e-05,9.899958968162537e-06,6.5998174250125885e-06,0.00025240005925297737,6.800051778554916e-06,5.300156772136688e-06,9.60053876042366e-06,1.0800547897815704e-05,0.00459099980071187,7.910002022981644e-05,7.529975846409798e-05,0.00017690006643533707,1.4699529856443405e-05,1.3099517673254013e-05,0.005272699985653162
10,0.0001575998030602932,9.059906005859375e-05,0.0005506007000803947,1.550000160932541e-05,0.012143200263381004,1.4099758118391037e-05,1.0299962013959885e-05,2.0100735127925873e-05,2.079969272017479e-05,8.869916200637817e-05,0.010980300605297089,0.047867000102996826,0.0017451997846364975,2.8899870812892914e-05,0.006254999898374081,0.07998789940029383
11,2.200016751885414e-05,9.330036118626595e-05,2.0100269466638565e-05,1.2400094419717789e-05,0.008619700092822313,1.400010660290718e-05,1.0200310498476028e-05,2.029910683631897e-05,2.1599698811769485e-05,0.003113300073891878,0.01387899974361062,0.04945720033720136,0.0022086999379098415,3.0499882996082306e-05,0.006129800342023373,0.08365210052579641
12,1.0599847882986069e-05,1.0599847882986069e-05,9.399838745594025e-06,6.299931555986404e-06,0.00023940019309520721,6.500165909528732e-06,5.000270903110504e-06,9.399838745594025e-06,1.0200310498476028e-05,0.004399500321596861,7.960014045238495e-05,7.529975846409798e-05,0.00016959989443421364,1.380033791065216e-05,1.00000761449337e-05,0.005055200774222612
13,9.80030745267868e-06,1.0499730706214905e-05,9.499955922365189e-06,5.899928510189056e-06,0.0002699000760912895,6.90016895532608e-06,4.699919372797012e-06,8.999370038509369e-06,1.0000541806221008e-05,0.004340999759733677,7.600011304020882e-05,7.530022412538528e-05,0.00017170002683997154,1.7200596630573273e-05,1.00000761449337e-05,0.00502740079537034
