execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,7.670000195503235e-05,1.0500196367502213e-05,9.699724614620209e-06,6.00004568696022e-06,0.0001993998885154724,9.29972156882286e-06,4.600267857313156e-06,8.500181138515472e-06,1.900363713502884e-06,9.60053876042366e-06,7.940037176012993e-05,7.260031998157501e-05,0.00012820027768611908,1.2400094419717789e-05,9.600073099136353e-06,0.0006384020671248436
2,7.589999586343765e-05,1.0800082236528397e-05,9.600073099136353e-06,7.100403308868408e-06,0.00025690020993351936,7.899943739175797e-06,4.70038503408432e-06,9.000301361083984e-06,2.000480890274048e-06,1.0299962013959885e-05,8.030002936720848e-05,8.039968088269234e-05,0.00014349957928061485,1.309998333454132e-05,1.550000160932541e-05,0.0007270011119544506
3,1.00000761449337e-05,8.219992741942406e-05,9.999610483646393e-06,5.7998113334178925e-06,0.001574300229549408,6.899703294038773e-06,4.999805241823196e-06,1.0400079190731049e-05,1.900363713502884e-06,7.79004767537117e-05,0.009146200027316809,0.04269449971616268,0.0013226000592112541,1.2800097465515137e-05,0.006501299794763327,0.061461799778044224
4,7.600011304020882e-05,1.0000541806221008e-05,9.60053876042366e-06,6.400048732757568e-06,0.0002255002036690712,6.400048732757568e-06,4.699919372797012e-06,8.800067007541656e-06,1.900363713502884e-06,9.899958968162537e-06,7.849978283047676e-05,7.529975846409798e-05,0.00013170018792152405,1.2299977242946625e-05,9.799841791391373e-06,0.0006668013520538807
5,7.219985127449036e-05,9.899958968162537e-06,9.300187230110168e-06,5.899928510189056e-06,0.0002569998614490032,9.600073099136353e-06,4.4996850192546844e-06,8.699949830770493e-06,1.6996636986732483e-06,9.900424629449844e-06,8.120015263557434e-05,7.399963214993477e-05,0.0001730998046696186,1.1899974197149277e-05,9.700190275907516e-06,0.0007385993376374245
6,7.370021194219589e-05,1.0099727660417557e-05,9.600073099136353e-06,6.00004568696022e-06,0.0002590999938547611,6.800051778554916e-06,4.4996850192546844e-06,8.7004154920578e-06,1.8998980522155762e-06,9.899958968162537e-06,7.750000804662704e-05,7.700035348534584e-05,0.000174699816852808,1.2099742889404297e-05,9.300187230110168e-06,0.000740900170058012
7,7.50003382563591e-05,1.0099727660417557e-05,9.600073099136353e-06,6.1998143792152405e-06,0.0002175997942686081,6.400048732757568e-06,4.90015372633934e-06,8.699484169483185e-06,1.8007121980190277e-06,9.699724614620209e-06,7.729930803179741e-05,7.719965651631355e-05,0.00012669991701841354,1.2299977242946625e-05,9.899958968162537e-06,0.0006533986888825893
8,7.369974628090858e-05,1.0200310498476028e-05,9.699724614620209e-06,6.100162863731384e-06,0.00025040004402399063,6.400048732757568e-06,5.000270903110504e-06,8.90018418431282e-06,1.7997808754444122e-06,1.00000761449337e-05,7.540034130215645e-05,7.450021803379059e-05,0.00017139967530965805,1.219986006617546e-05,1.0100193321704865e-05,0.0007258006371557713
9,7.649976760149002e-05,1.00000761449337e-05,9.600073099136353e-06,5.8002769947052e-06,0.00020010024309158325,6.5998174250125885e-06,4.600267857313156e-06,9.000301361083984e-06,1.8007121980190277e-06,9.399838745594025e-06,7.670000195503235e-05,7.770024240016937e-05,0.0001289001666009426,1.2099742889404297e-05,9.700190275907516e-06,0.0006385017186403275
10,7.730023935437202e-05,1.0800082236528397e-05,9.80030745267868e-06,8.699949830770493e-06,0.0002720998600125313,7.4999406933784485e-06,5.899928510189056e-06,1.0200310498476028e-05,2.100132405757904e-06,1.1000316590070724e-05,9.050033986568451e-05,8.380040526390076e-05,0.0001318003050982952,1.4599878340959549e-05,1.0499730706214905e-05,0.000746601726859808
11,0.015618700068444014,1.090019941329956e-05,1.0599847882986069e-05,6.299931555986404e-06,0.00086939986795187,6.400048732757568e-06,4.800036549568176e-06,1.019984483718872e-05,2.200249582529068e-06,1.109996810555458e-05,0.0025440999306738377,0.01215369999408722,0.0006043999455869198,0.003053199965506792,1.2099742889404297e-05,0.03491809964179993
