execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.00015629979316145182,9.929994121193886e-05,0.0007289999630302191,1.3900105841457844e-05,0.012473099981434643,1.6600126400589943e-05,1.0400079190731049e-05,2.1100160665810108e-05,2.1900166757404804e-05,9.000010322779417e-05,0.013831400079652667,0.06740139983594418,0.002277699881233275,3.35002550855279e-05,0.016031800070777535,0.11320740054361522
2,0.00014910008758306503,9.480013977736235e-05,0.000722999800927937,1.3400102034211159e-05,0.012269199942238629,2.310005947947502e-05,1.0400079190731049e-05,2.0400038920342922e-05,2.1100160665810108e-05,8.899986278265715e-05,0.01371229998767376,0.06768310000188649,0.002953199902549386,3.550015389919281e-05,0.016113400110043585,0.11391100042965263
3,0.00015410000924021006,9.819993283599615e-05,2.27001728489995e-05,1.309998333454132e-05,0.012524299905635417,1.9400031305849552e-05,1.0500079952180386e-05,1.9900035113096237e-05,2.080004196614027e-05,8.899997919797897e-05,0.01374019996728748,0.0677010000217706,0.002319399965927005,3.199989441782236e-05,0.01609179994557053,0.11285639996640384
4,0.00014869996812194586,0.00011039990931749344,1.9600149244070053e-05,1.289986539632082e-05,0.014004000113345683,1.7900136299431324e-05,1.1400086805224419e-05,2.2799940779805183e-05,2.0699924789369106e-05,9.379989933222532e-05,0.013897199998609722,0.07376389997079968,0.002342499908991158,3.149977419525385e-05,0.01676280004903674,0.12126009969506413
5,0.00014880008529871702,9.129999671131372e-05,0.0007420000620186329,1.3200100511312485e-05,0.012105299974791706,1.750001683831215e-05,1.0200077667832375e-05,1.9999919459223747e-05,2.1100160665810108e-05,8.96998681128025e-05,0.013814699952490628,0.06925650010816753,0.0022374000400304794,3.370025660842657e-05,0.01595420017838478,0.1145556007977575
6,1.0200077667832375e-05,8.050003089010715e-05,9.999959729611874e-06,6.3999323174357414e-06,0.002457799972034991,7.900060154497623e-06,5.100038833916187e-06,1.070008147507906e-05,1.0199961252510548e-05,7.569999434053898e-05,0.013405299978330731,0.07088090002071112,0.002101799938827753,1.5300000086426735e-05,0.016185599961318076,0.10526340000797063
7,0.00014929997269064188,8.780020289123058e-05,1.8999911844730377e-05,1.2699980288743973e-05,0.012277700006961823,1.5600002370774746e-05,9.999959729611874e-06,1.989991869777441e-05,2.110004425048828e-05,9.110011160373688e-05,0.013525500078685582,0.06797569978516549,0.0022727999603375793,3.0499999411404133e-05,0.016021299874410033,0.11252999980933964
8,0.0001474000746384263,8.800008799880743e-05,0.0007583999540656805,1.3600103557109833e-05,0.012284699943847954,1.7800135537981987e-05,9.800074622035027e-06,1.9100145436823368e-05,2.0900042727589607e-05,9.20998863875866e-05,0.013705899938941002,0.06762489990796894,0.002228899975307286,3.279990050941706e-05,0.015765600139275193,0.11280990031082183
9,0.00014490005560219288,8.680007886141539e-05,1.950003206729889e-05,1.3299984857439995e-05,0.012349299970082939,1.550000160932541e-05,1.00000761449337e-05,1.9600032828748226e-05,2.2499822080135345e-05,8.60999571159482e-05,0.013551599928177893,0.06777599989436567,0.002164799952879548,3.0700117349624634e-05,0.015713400207459927,0.11200400011148304
10,0.00014729995746165514,9.039998985826969e-05,1.9500148482620716e-05,1.2999982573091984e-05,0.012277000001631677,1.5300116501748562e-05,1.009996049106121e-05,2.0000035874545574e-05,2.059992402791977e-05,8.869997691363096e-05,0.013445799821056426,0.06844579998869449,0.0022099000634625554,3.0499882996082306e-05,0.015906100044958293,0.11273999989498407
11,0.00015139998868107796,9.099999442696571e-05,0.0007264999439939857,1.3400102034211159e-05,0.012278599897399545,1.650000922381878e-05,1.0100076906383038e-05,2.0000035874545574e-05,2.3600063286721706e-05,8.750008419156075e-05,0.013658499927259982,0.06740150006953627,0.0022179000079631805,3.300001844763756e-05,0.015803599962964654,0.11253310018219054
12,0.00014860020019114017,9.379989933222532e-05,0.0007664000149816275,1.3500102795660496e-05,0.01299929991364479,2.1300045773386955e-05,9.600073099136353e-06,1.9900151528418064e-05,2.0899693481624126e-05,8.939998224377632e-05,0.013848899863660336,0.07221869984641671,0.00243559991940856,3.6599813029170036e-05,0.015977999893948436,0.118700499413535
13,0.00018630013801157475,9.020010475069284e-05,2.0300154574215412e-05,3.270001616328955e-05,0.012365199974738061,1.8600141629576683e-05,1.009996049106121e-05,2.0500156097114086e-05,2.2399937734007835e-05,8.970010094344616e-05,0.014132400043308735,0.0677290998864919,0.0022319999989122152,4.3699867092072964e-05,0.016096699866466224,0.11308990034740418
14,0.00014939997345209122,8.999987039715052e-05,1.9300030544400215e-05,1.3699871487915516e-05,0.012283100048080087,1.600012183189392e-05,1.0300078429281712e-05,2.019992098212242e-05,2.059992402791977e-05,8.879986125975847e-05,0.013801900087855756,0.06891250004991889,0.0022363999160006642,3.060000017285347e-05,0.015744099975563586,0.11343689973000437
15,0.0001509999856352806,8.979998528957367e-05,2.119992859661579e-05,1.2899981811642647e-05,0.012227700091898441,1.5300000086426735e-05,9.899958968162537e-06,1.999980304390192e-05,2.0900042727589607e-05,8.879986125975847e-05,0.013865599990822375,0.06878840015269816,0.002264699898660183,3.3800024539232254e-05,0.01620160008314997,0.11381159978918731
16,0.0001564000267535448,9.629991836845875e-05,1.95999164134264e-05,1.3199984095990658e-05,0.013156799948774278,2.100015990436077e-05,9.899958968162537e-06,2.0099920220673084e-05,2.1000043489038944e-05,0.00010860012844204903,0.01352689997293055,0.06737439997959882,0.0022646000143140554,3.100000321865082e-05,0.015876500052399933,0.112696300027892
17,0.0001506999833509326,9.050010703504086e-05,2.029980532824993e-05,1.3399985618889332e-05,0.012506800121627748,1.589988823980093e-05,1.0299962013959885e-05,2.0699924789369106e-05,2.1300162188708782e-05,9.440002031624317e-05,0.013468399993143976,0.06746060017030686,0.0022081000497564673,3.140012267976999e-05,0.018246800173074007,0.11435960046947002
