execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.3099992480129e-05,0.006670900009339675,0.007722399983322248,1.689998316578567e-05,0.0312947000056738,8.81999876582995e-05,0.00014089999604038894,2.059999678749591e-05,1.7099999240599573e-05,2.2099993657320738e-05,1.060000795405358e-05,8.300004992634058e-06,0.010474900002009235,0.0011491999903228134,1.1399999493733048e-05,0.057731299952138215
2,8.809998689685017e-05,0.007797600002959371,0.008377500023925677,3.12999909510836e-05,0.034510199999203905,8.850000449456275e-05,0.0002544999588280916,2.17999768210575e-05,1.9400002202019095e-05,2.4899985874071717e-05,1.2199991033412516e-05,9.099996532313526e-06,0.012388100003590807,0.0012312000035308301,1.3500000932253897e-05,0.0648678999277763
3,8.539999544154853e-05,0.0066362000070512295,0.00784060001024045,1.790000533219427e-05,0.03101690001494717,8.38999985717237e-05,0.00014399999054148793,1.7999991541728377e-05,1.719998545013368e-05,2.260001201648265e-05,1.1199997970834374e-05,9.199997293762863e-06,0.010924100002739578,0.0011469000164652243,1.2099990271963179e-05,0.05798620001587551
4,9.410001803189516e-05,0.007773799996357411,0.00849920000473503,9.99998883344233e-06,0.0356929000117816,7.829998503439128e-05,9.099996532313526e-06,9.099996532313526e-06,8.899995009414852e-06,1.1500000255182385e-05,5.299996701069176e-06,4.399989848025143e-06,0.0012570999970193952,0.0010399000020697713,6.600006599910557e-06,0.05450019998534117
5,8.629998774267733e-05,0.00651540000399109,0.007593500005896203,1.819999306462705e-05,0.030805500005953945,8.499997784383595e-05,0.00014530001499224454,1.85999961104244e-05,1.789999078027904e-05,2.239999594166875e-05,1.0900010238401592e-05,8.999995770864189e-06,0.01052539999363944,0.001122899993788451,1.1500000255182385e-05,0.056987799966009334
6,8.889999298844486e-05,0.007308200016268529,0.008249300022725947,1.8300008377991617e-05,0.032711499981814995,8.710000838618726e-05,0.00016169999435078353,3.630001447163522e-05,4.1399995097890496e-05,2.3600005079060793e-05,1.1399999493733048e-05,8.59999272506684e-06,0.01151430000027176,0.001219500001752749,1.3900003978051245e-05,0.061494000037782826
7,8.38999985717237e-05,0.006581400011782534,0.0076062999869463965,1.8399994587525725e-05,0.03079740000248421,8.670001989230514e-05,0.0001405999792041257,1.8300008377991617e-05,1.68999977177009e-05,2.19999928958714e-05,1.0799994925037026e-05,8.400005754083395e-06,0.011518200000864454,0.0011372000008122995,1.270000939257443e-05,0.05805920000420883
8,8.209999941755086e-05,0.006967599983909167,0.007642000025953166,1.7800004570744932e-05,0.03128140000626445,8.350001007784158e-05,0.00014129998453427106,1.820000761654228e-05,1.7699989257380366e-05,2.2599997464567423e-05,3.270000161137432e-05,8.700008038431406e-06,0.011259699997026473,0.0011802000080933794,1.2300006346777081e-05,0.058767800030182116
9,9.439999121241271e-05,0.006526200013468042,0.0076110000081826,1.7400001524947584e-05,0.030356300005223602,8.299999171867967e-05,0.0001399000029778108,1.7700003809295595e-05,1.719998545013368e-05,2.1599989850074053e-05,1.0499992640689015e-05,8.400005754083395e-06,0.01116899999033194,0.0012163999926997349,1.2200005585327744e-05,0.057301199980429374
10,8.64000030560419e-05,0.007093900028849021,0.008208800019929186,1.819999306462705e-05,0.03274599998258054,8.700002217665315e-05,0.00014649999502580613,2.1499989088624716e-05,2.059999678749591e-05,2.5999994250014424e-05,1.410000550094992e-05,1.1700016329996288e-05,0.011807999995653518,0.0011661000025924295,1.239999255631119e-05,0.061467200037441216
