class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
TDO::_Bitstring,category,category,False,False,True,4,2,10
TDO::_Component_Part,category,category,False,True,False,1,0,10
TDO::_Data_File,category,category,False,True,False,5,0,10
TDO::_Digital_Object,category,category,False,True,False,1,0,1
TDO::_Digital_Technology,collective,kind,False,True,False,1,0,1
TDO::_Hybrid,category,category,False,True,False,1,0,10
TDO::_Material,category,category,False,True,False,1,0,10
TDO::_Nonmaterial,category,category,False,False,True,2,4,10
TDO::_Program_File,category,category,False,True,False,5,0,10
TDO::_Syntactic_Object,category,category,False,False,True,3,3,10
TDO::_Technological_Object,category,category,True,False,False,0,1,1
TDO::_Technology,collective,kind,True,False,False,0,1,1
UFO::_Object,category,category,True,False,False,0,10,10
UFO::_Physical_Object,category,category,False,True,False,1,0,10
UFO::_Social_Object,category,category,False,False,True,1,5,10
