execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.1699972674250603e-05,1.1399970389902592e-05,1.0900082997977734e-05,6.299931555986404e-06,5.600042641162872e-06,6.09993003308773e-06,0.004327200003899634,0.02288179995957762,2.00001522898674e-06,0.012266000034287572,9.499955922365189e-06,1.1699972674250603e-05,4.900037311017513e-06,1.6300007700920105e-05,1.0399962775409222e-05,0.03958179987967014
2,1.0299962013959885e-05,1.0799849405884743e-05,9.699957445263863e-06,6.3999323174357414e-06,5.599926225841045e-06,6.09993003308773e-06,0.001757299993187189,0.004276599967852235,1.700012944638729e-06,0.002921900013461709,8.999952115118504e-06,1.0499963536858559e-05,4.900037311017513e-06,1.3900105841457844e-05,9.70007386058569e-06,0.009054399677552283
3,1.1399970389902592e-05,1.0999967344105244e-05,1.0400079190731049e-05,6.199930794537067e-06,5.800044164061546e-06,6.400048732757568e-06,0.005279900040477514,0.026458799955435097,2.00001522898674e-06,0.014867399935610592,9.200070053339005e-06,1.070008147507906e-05,5.09992241859436e-06,1.750001683831215e-05,1.0100076906383038e-05,0.04671190015505999
4,1.0900082997977734e-05,1.0200077667832375e-05,9.70007386058569e-06,5.899928510189056e-06,5.199923180043697e-06,6.299931555986404e-06,0.0017125000013038516,0.004275499959476292,2.00001522898674e-06,0.002887499867938459,8.900067768990993e-06,1.00000761449337e-05,4.800036549568176e-06,1.3799872249364853e-05,9.599956683814526e-06,0.008972799871116877
5,1.0299962013959885e-05,1.0399962775409222e-05,9.600073099136353e-06,5.999929271638393e-06,5.299923941493034e-06,5.799927748739719e-06,0.0016968999989330769,0.004180100047960877,1.800013706088066e-06,0.0028427999932318926,8.800067007541656e-06,1.0200077667832375e-05,5.00003807246685e-06,1.3699987903237343e-05,9.699841029942036e-06,0.008816399844363332
6,1.2999866157770157e-05,1.0400079190731049e-05,1.279998105019331e-05,6.200047209858894e-06,5.200039595365524e-06,6.00004568696022e-06,0.0027856999076902866,0.010316599975340068,1.9000144675374031e-06,0.006618699990212917,9.199953638017178e-06,1.0199961252510548e-05,4.599918611347675e-06,1.750001683831215e-05,1.2600095942616463e-05,0.019830599892884493
7,1.3299984857439995e-05,1.0499963536858559e-05,1.0200077667832375e-05,6.300047971308231e-06,5.599926225841045e-06,5.899928510189056e-06,0.005031000007875264,0.02932690002489835,1.9000144675374031e-06,0.014668300049379468,8.900067768990993e-06,1.0200077667832375e-05,4.900037311017513e-06,1.4299876056611538e-05,9.599956683814526e-06,0.049127800040878356
8,1.0399962775409222e-05,1.0600080713629723e-05,9.7999582067132e-06,6.09993003308773e-06,5.499925464391708e-06,6.09993003308773e-06,0.003370300051756203,0.014774800045415759,1.600012183189392e-06,0.008971699979156256,9.200070053339005e-06,1.0399846360087395e-05,4.800036549568176e-06,1.4499993994832039e-05,1.4999881386756897e-05,0.02722079970408231
9,8.999952115118504e-06,1.00000761449337e-05,9.199953638017178e-06,5.800044164061546e-06,5.400041118264198e-06,6.100046448409557e-06,0.000871499883942306,7.670000195503235e-05,1.600012183189392e-06,7.720000576227903e-05,8.89983493834734e-06,9.299954399466515e-06,4.800036549568176e-06,1.2900098226964474e-05,9.400071576237679e-06,0.0011178000131621957
10,9.70007386058569e-06,9.999959729611874e-06,9.300070814788342e-06,5.999929271638393e-06,5.00003807246685e-06,5.900044925510883e-06,0.0016645999858155847,0.004214499960653484,1.800013706088066e-06,0.002865099930204451,8.79995059221983e-06,9.899958968162537e-06,4.400033503770828e-06,1.3399985618889332e-05,1.2300093658268452e-05,0.00884070002939552
11,1.0699965059757233e-05,1.0199961252510548e-05,9.899958968162537e-06,6.200047209858894e-06,5.500041879713535e-06,6.100046448409557e-06,0.0017762999050319195,0.004429599968716502,1.700012944638729e-06,0.002970200148411095,9.00006853044033e-06,1.0400079190731049e-05,4.799920134246349e-06,1.4699879102408886e-05,1.0100076906383038e-05,0.009275400079786777
