execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0699965059757233e-05,1.2299977242946625e-05,1.0299962013959885e-05,0.02096190000884235,1.179997343569994e-05,0.0119621999328956,1.1699972674250603e-05,1.999898813664913e-06,1.00000761449337e-05,1.5799887478351593e-05,6.500049494206905e-06,0.004221900017000735,5.600042641162872e-06,4.899920895695686e-06,6.100046448409557e-06,0.037253699731081724
2,1.3599870726466179e-05,9.299954399466515e-06,9.7999582067132e-06,0.004177700029686093,1.0400079190731049e-05,0.002857899875380099,1.0300078429281712e-05,1.9000144675374031e-06,9.900075383484364e-06,1.4199875295162201e-05,6.3999323174357414e-06,0.0017097999807447195,8.400063961744308e-06,4.900037311017513e-06,6.100046448409557e-06,0.008850599871948361
3,1.0399962775409222e-05,9.200070053339005e-06,1.0199961252510548e-05,0.025470599881373346,1.1400086805224419e-05,0.014338299864903092,1.4299992471933365e-05,1.9000144675374031e-06,1.0400079190731049e-05,1.4599878340959549e-05,6.100046448409557e-06,0.0048655999125912786,5.600042641162872e-06,4.599918611347675e-06,6.500049494206905e-06,0.04477969976142049
4,1.070008147507906e-05,9.09995287656784e-06,1.00000761449337e-05,0.004268200020305812,1.0499963536858559e-05,0.0028442000038921833,1.079996582120657e-05,1.9000144675374031e-06,1.00000761449337e-05,1.3999990187585354e-05,6.09993003308773e-06,0.001742799999192357,5.700043402612209e-06,5.200039595365524e-06,6.500049494206905e-06,0.008955700206570327
5,1.1200085282325745e-05,1.009996049106121e-05,1.0899966582655907e-05,0.005620500072836876,1.1200085282325745e-05,0.0030227999668568373,1.109996810555458e-05,1.9000144675374031e-06,1.0500079952180386e-05,1.54001172631979e-05,6.800051778554916e-06,0.0018033001106232405,5.700043402612209e-06,5.09992241859436e-06,6.700051017105579e-06,0.01055320049636066
6,1.3899989426136017e-05,1.2999982573091984e-05,1.379998866468668e-05,0.01076219987589866,1.1100084520876408e-05,0.007071699947118759,1.379998866468668e-05,1.800013706088066e-06,1.0999967344105244e-05,1.5199882909655571e-05,1.00000761449337e-05,0.0027103000320494175,5.500041879713535e-06,5.199923180043697e-06,9.800074622035027e-06,0.02066829986870289
7,1.0699965059757233e-05,9.299954399466515e-06,1.0499963536858559e-05,0.03032250003889203,1.1400086805224419e-05,0.01484570000320673,1.0799849405884743e-05,1.800013706088066e-06,1.0500079952180386e-05,1.4699995517730713e-05,6.4999330788850784e-06,0.005080700037069619,5.699926987290382e-06,4.900037311017513e-06,6.200047209858894e-06,0.05035189993213862
8,1.0500079952180386e-05,9.09995287656784e-06,1.0400079190731049e-05,0.015872000018134713,1.0800082236528397e-05,0.008991500129923224,1.0599964298307896e-05,1.9000144675374031e-06,9.899958968162537e-06,1.479999627918005e-05,6.199930794537067e-06,0.0032981999684125185,5.600042641162872e-06,4.999921657145023e-06,6.100046448409557e-06,0.028262600186280906
9,9.900075383484364e-06,8.70006624609232e-06,9.300070814788342e-06,7.750012446194887e-05,9.300070814788342e-06,7.910013664513826e-05,1.489988062530756e-05,1.6998965293169022e-06,1.2400094419717789e-05,1.6600009985268116e-05,5.900044925510883e-06,0.000938700046390295,5.299923941493034e-06,4.900037311017513e-06,7.3999399319291115e-06,0.0012016004184260964
10,1.0600080713629723e-05,9.09995287656784e-06,1.00000761449337e-05,0.004167500068433583,1.0200077667832375e-05,0.0028083999641239643,1.0199961252510548e-05,1.700012944638729e-06,9.599956683814526e-06,1.3299984857439995e-05,6.100046448409557e-06,0.0016922000795602798,5.09992241859436e-06,4.700035788118839e-06,6.09993003308773e-06,0.008764800149947405
11,1.100008375942707e-05,9.999959729611874e-06,1.0400079190731049e-05,0.004471100168302655,1.1200085282325745e-05,0.003004099940881133,1.0899966582655907e-05,1.800013706088066e-06,1.0800082236528397e-05,1.780001912266016e-05,6.9999368861317635e-06,0.002018400002270937,5.999929271638393e-06,5.499925464391708e-06,6.900052540004253e-06,0.00960290024522692
