class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Chamber,category,category,True,False,False,0,16,17
RightVentricleAsPump,role,role,False,True,False,3,0,17
RightVentricle,kind,kind,False,False,True,2,2,17
CSVMyocytes,collective,kind,True,False,False,0,2,2
BandpassFilter,subkind,subkind,False,True,False,1,0,2
SWave,subkind,subkind,False,True,False,4,0,19
Segment,subkind,subkind,False,False,True,3,3,19
CSVMyocytesDepolarized,phase,phase,False,True,False,1,0,2
TWave,subkind,subkind,False,True,False,4,0,19
TPSegment,subkind,subkind,False,True,False,4,0,19
HisPurkinjeElectricalImpulse,kind,kind,True,False,False,0,2,2
LeftAtriumAsBloodContainer,role,role,False,True,False,3,0,17
LeftAtriumAsPump,role,role,False,True,False,3,0,17
SANodeCells,subkind,subkind,False,True,False,2,0,4
SANodeMyocytes,collective,kind,True,False,False,0,2,2
HisElectricalImpulse,phase,phase,False,True,False,1,0,2
LeftVentricleAsBloodContainer,role,role,False,True,False,3,0,17
SANode,kind,kind,True,False,False,0,2,10
STSegment,subkind,subkind,False,True,False,4,0,19
CSAAsCEIConductor,role,role,False,True,False,2,0,10
LeftVentricleAsPump,role,role,False,True,False,3,0,17
CSAMyocytes,collective,kind,True,False,False,0,2,2
HumanBody,kind,kind,False,True,False,1,0,17
CSVAsEPsAccumulator,role,role,False,True,False,2,0,10
FilteringTecnique,kind,kind,True,False,False,0,2,2
RWave,subkind,subkind,False,True,False,4,0,19
PurkinjeElectircalImpulse,phase,phase,False,True,False,1,0,2
RightAtriumAsPump,role,role,False,True,False,3,0,17
CEIConductor,rolemixin,rolemixin,True,False,False,0,3,10
CEIGenerator,rolemixin,rolemixin,True,False,False,0,1,10
PacemakerCells,subkind,subkind,False,False,True,1,2,4
QWave,subkind,subkind,False,True,False,4,0,19
ConductingSystemOfAtria,kind,kind,True,False,False,0,1,10
QRSComplex,subkind,subkind,False,True,False,3,0,19
Non-ElementaryForm,subkind,subkind,False,False,True,2,1,19
LeftVentricle,kind,kind,False,False,True,2,2,17
AVNodeCells,subkind,subkind,False,True,False,2,0,4
Normal,subkind,subkind,False,True,False,3,0,19
NonPacemakerCells,subkind,subkind,False,True,False,1,0,4
PeripheralsAsBloodContainer,role,role,False,True,False,1,0,1
HeartAsBloodContainer,role,role,False,True,False,3,0,17
CSVMyocytesPolarized,phase,phase,False,True,False,1,0,2
Abnormal,subkind,subkind,False,True,False,3,0,19
CSAMyocytesDepolarized,phase,phase,False,True,False,1,0,2
RightAtrium,kind,kind,False,False,True,2,2,17
LungAsBloodContainer,role,role,False,True,False,1,0,1
RightVentricleAsBloodContainer,role,role,False,True,False,3,0,17
ElementaryForm,subkind,subkind,False,False,True,2,15,19
Patient,role,role,False,True,False,1,0,2
RightAtriumAsBloodContainer,role,role,False,True,False,3,0,17
BodySurfaceRegionAsObjectOfMeasure,role,role,False,True,False,1,0,1
ConductingSystemOfVentricles,kind,kind,True,False,False,0,2,10
LowpassFilter,subkind,subkind,False,True,False,1,0,2
PRSegment,subkind,subkind,False,True,False,4,0,19
BodySurfaceRegion,kind,kind,True,False,False,0,1,1
HeartAsPump,kind,kind,False,True,False,3,0,17
Electrode,kind,kind,True,False,False,0,1,1
Lungs,kind,kind,True,False,False,0,1,1
Wave,subkind,subkind,False,False,True,3,5,19
CSAMyocytesPolarized,phase,phase,False,True,False,1,0,2
SANodeMyocytesPolarized,phase,phase,False,True,False,1,0,2
SANodeAsCEIConductor,role,role,False,True,False,2,0,10
SANodeAsCEIGenerator,role,role,False,True,False,2,0,10
Muscle,category,category,True,False,False,0,15,17
Person,kind,kind,True,False,False,0,2,2
Cycle,subkind,subkind,False,True,False,3,0,19
ElectrodeAsAMeasurer,role,role,False,True,False,1,0,1
Peripherals,kind,kind,True,False,False,0,1,1
LeftAtrium,kind,kind,False,False,True,2,2,17
WaveForm,subkind,subkind,False,True,False,3,0,19
HeartCells,collective,kind,True,False,False,0,4,4
HumanHeart,kind,kind,False,False,True,2,2,17
Baseline,subkind,subkind,False,True,False,3,0,19
Geometric_Form,category,category,True,False,False,0,19,19
ECGForm,kind,kind,False,False,True,1,18,19
CSVAsCEIConductor,role,role,False,True,False,2,0,10
SANodeMyocytesDepolarized,phase,phase,False,True,False,1,0,2
Physician,role,role,False,True,False,1,0,2
EPsAccumulator,rolemixin,rolemixin,True,False,False,0,1,10
PWave,subkind,subkind,False,True,False,4,0,19
