taxonomy_name,dataset_name,num_classes
goncalves2011ecg_tx001.ttl,goncalves2011ecg,2
goncalves2011ecg_tx002.ttl,goncalves2011ecg,3
goncalves2011ecg_tx003.ttl,goncalves2011ecg,18
goncalves2011ecg_tx004.ttl,goncalves2011ecg,5
goncalves2011ecg_tx005.ttl,goncalves2011ecg,2
goncalves2011ecg_tx006.ttl,goncalves2011ecg,11
goncalves2011ecg_tx007.ttl,goncalves2011ecg,3
goncalves2011ecg_tx008.ttl,goncalves2011ecg,2
goncalves2011ecg_tx009.ttl,goncalves2011ecg,3
goncalves2011ecg_tx010.ttl,goncalves2011ecg,3
goncalves2011ecg_tx011.ttl,goncalves2011ecg,2
goncalves2011ecg_tx012.ttl,goncalves2011ecg,3
goncalves2011ecg_tx013.ttl,goncalves2011ecg,3
goncalves2011ecg_tx014.ttl,goncalves2011ecg,20
