execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,20,19,0,1,95.0,0.0,5.0,20,16,3,1,80.0,15.0,5.0,280,266,14,280,251,29,95.0,5.0,89.64285714285715,10.357142857142858,-3,3,0,-15.0,15.0,0.0,-15,15,-5.357142857142847,5.357142857142858,1
2,20,19,0,1,95.0,0.0,5.0,20,16,3,1,80.0,15.0,5.0,280,266,14,280,251,29,95.0,5.0,89.64285714285715,10.357142857142858,-3,3,0,-15.0,15.0,0.0,-15,15,-5.357142857142847,5.357142857142858,1
3,20,19,0,1,95.0,0.0,5.0,20,16,3,1,80.0,15.0,5.0,280,266,14,280,251,29,95.0,5.0,89.64285714285715,10.357142857142858,-3,3,0,-15.0,15.0,0.0,-15,15,-5.357142857142847,5.357142857142858,1
4,20,19,0,1,95.0,0.0,5.0,20,0,18,2,0.0,90.0,10.0,280,266,14,280,126,154,95.0,5.0,45.0,55.00000000000001,-19,18,1,-95.0,90.0,5.0,-140,140,-50.0,50.00000000000001,1
5,20,19,0,1,95.0,0.0,5.0,20,2,17,1,10.0,85.0,5.0,280,266,14,280,151,129,95.0,5.0,53.92857142857142,46.07142857142857,-17,17,0,-85.0,85.0,0.0,-115,115,-41.07142857142858,41.07142857142857,16
6,20,19,0,1,95.0,0.0,5.0,20,19,0,1,95.0,0.0,5.0,280,266,14,280,266,14,95.0,5.0,95.0,5.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
7,20,19,0,1,95.0,0.0,5.0,20,16,3,1,80.0,15.0,5.0,280,266,14,280,249,31,95.0,5.0,88.92857142857142,11.071428571428571,-3,3,0,-15.0,15.0,0.0,-17,17,-6.071428571428584,6.071428571428571,2
8,20,19,0,1,95.0,0.0,5.0,20,16,3,1,80.0,15.0,5.0,280,266,14,280,251,29,95.0,5.0,89.64285714285715,10.357142857142858,-3,3,0,-15.0,15.0,0.0,-15,15,-5.357142857142847,5.357142857142858,1
9,20,19,0,1,95.0,0.0,5.0,20,15,4,1,75.0,20.0,5.0,280,266,14,280,246,34,95.0,5.0,87.85714285714286,12.142857142857142,-4,4,0,-20.0,20.0,0.0,-20,20,-7.142857142857139,7.142857142857142,1
10,20,19,0,1,95.0,0.0,5.0,20,15,4,1,75.0,20.0,5.0,280,266,14,280,246,34,95.0,5.0,87.85714285714286,12.142857142857142,-4,4,0,-20.0,20.0,0.0,-20,20,-7.142857142857139,7.142857142857142,1
11,20,19,0,1,95.0,0.0,5.0,20,16,3,1,80.0,15.0,5.0,280,266,14,280,251,29,95.0,5.0,89.64285714285715,10.357142857142858,-3,3,0,-15.0,15.0,0.0,-15,15,-5.357142857142847,5.357142857142858,1
12,20,19,0,1,95.0,0.0,5.0,20,15,4,1,75.0,20.0,5.0,280,266,14,280,246,34,95.0,5.0,87.85714285714286,12.142857142857142,-4,4,0,-20.0,20.0,0.0,-20,20,-7.142857142857139,7.142857142857142,1
