execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.079996582120657e-05,9.699957445263863e-06,1.0500021744519472e-05,8.74000252224505e-05,9.699957445263863e-06,1.0699965059757233e-05,0.01800609997007996,1.1999974958598614e-05,1.0400020983070135e-05,1.4999997802078724e-05,7.399998139590025e-06,0.0008762999786995351,5.699985194951296e-06,5.099980626255274e-06,6.00004568696022e-06,0.01908279984490946
2,1.1700030881911516e-05,1.309998333454132e-05,1.3499928172677755e-05,0.000105600047390908,1.2899981811642647e-05,1.160003012046218e-05,0.0071205999702215195,1.669995253905654e-05,1.0699965059757233e-05,1.899997005239129e-05,7.399998139590025e-06,0.000992499990388751,5.699985194951296e-06,5.099980626255274e-06,6.599992047995329e-06,0.008352699805982411
3,1.0499963536858559e-05,8.739996701478958e-05,1.0200019460171461e-05,9.600014891475439e-06,7.780001033097506e-05,1.009996049106121e-05,7.939996430650353e-05,1.0100018698722124e-05,9.599956683814526e-06,1.3699987903237343e-05,7.399998139590025e-06,4.699977580457926e-06,0.0002749999985098839,0.00018319999799132347,6.89999433234334e-06,0.0007955998298712075
4,1.079996582120657e-05,8.09000339359045e-05,1.0200019460171461e-05,1.2599979527294636e-05,7.760000880807638e-05,1.0399962775409222e-05,7.869995897635818e-05,1.0500079952180386e-05,1.0100076906383038e-05,1.3599987141788006e-05,7.599999662488699e-06,4.999979864805937e-06,0.0002769000129774213,0.00018179998733103275,6.999995093792677e-06,0.0007937000482343137
5,1.079996582120657e-05,7.939996430650353e-05,1.0100018698722124e-05,9.000010322779417e-06,7.619999814778566e-05,1.0200019460171461e-05,7.790001109242439e-05,9.999959729611874e-06,9.299954399466515e-06,1.6700010746717453e-05,7.299997378140688e-06,4.499976057559252e-06,0.0003662999952211976,0.00018060003640130162,6.89999433234334e-06,0.0008751999121159315
6,8.240004535764456e-05,0.0010367999784648418,0.0018407999887131155,1.009996049106121e-05,0.004190799954812974,7.920002099126577e-05,9.700015652924776e-06,1.0200019460171461e-05,9.599956683814526e-06,1.3499986380338669e-05,6.799993570894003e-06,4.700035788118839e-06,0.000208800018299371,0.00017750001279637218,7.099995855242014e-06,0.00768799998331815
7,8.489994797855616e-05,0.002076399978250265,0.003607099992223084,1.0800082236528397e-05,0.008261599985416979,8.059997344389558e-05,1.290004001930356e-05,1.0400020983070135e-05,9.800016414374113e-06,1.669995253905654e-05,7.100054062902927e-06,4.799978341907263e-06,0.0004107999848201871,0.00034120003692805767,7.099995855242014e-06,0.01494220003951341
8,1.0600022505968809e-05,9.300070814788342e-06,9.900075383484364e-06,0.00010210002074018121,1.009996049106121e-05,1.0800082236528397e-05,0.00606119999429211,1.1599971912801266e-05,1.0100076906383038e-05,1.4200049918144941e-05,7.700000423938036e-06,0.0009199999622069299,5.700043402612209e-06,4.8999791033566e-06,6.099988240748644e-06,0.007194300298579037
9,8.589995559304953e-05,0.0019303999724797904,0.0037530999979935586,1.0300020221620798e-05,0.008943199994973838,8.260004688054323e-05,1.3699987903237343e-05,1.0899966582655907e-05,1.0200019460171461e-05,1.5099998563528061e-05,7.599999662488699e-06,5.299982149153948e-06,0.0004295000107958913,0.0003543999628163874,7.599999662488699e-06,0.015659799915738404
10,2.3400061763823032e-05,0.00019500002963468432,2.400000812485814e-05,2.3099943064153194e-05,0.0001892000436782837,2.519995905458927e-05,0.00019670004257932305,2.929999027401209e-05,2.380006480962038e-05,3.1100003980100155e-05,1.7300015315413475e-05,1.1899974197149277e-05,0.0006544000352732837,0.00044430000707507133,2.039998071268201e-05,0.0019091001595370471
11,1.090002479031682e-05,8.289999095723033e-05,1.0400020983070135e-05,9.599956683814526e-06,7.899990305304527e-05,1.0499963536858559e-05,7.740000728517771e-05,1.0499963536858559e-05,1.0300020221620798e-05,1.3599987141788006e-05,7.499998901039362e-06,4.700035788118839e-06,0.00028279999969527125,0.0001824999926611781,6.999995093792677e-06,0.000799599860329181
