execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0500196367502213e-05,1.1499971151351929e-05,1.019984483718872e-05,7.300172001123428e-06,5.899928510189056e-06,7.6000578701496124e-06,0.0013767997734248638,8.440017700195312e-05,1.1100433766841888e-05,7.87004828453064e-05,1.0299962013959885e-05,1.2899748980998993e-05,5.2996911108493805e-06,1.6300007700920105e-05,1.109996810555458e-05,0.0016599004156887531
2,7.610023021697998e-05,1.1600088328123093e-05,1.0600313544273376e-05,7.899943739175797e-06,0.0003423001617193222,8.100178092718124e-06,5.2996911108493805e-06,1.309998333454132e-05,1.109996810555458e-05,1.1499971151351929e-05,8.099991828203201e-05,7.800012826919556e-05,0.00022940011695027351,1.6600359231233597e-05,1.1399853974580765e-05,0.0009140009060502052
3,1.87004916369915e-05,0.012673699762672186,1.3799872249364853e-05,7.6000578701496124e-06,7.899943739175797e-06,9.09995287656784e-06,0.0043842000886797905,0.0017097005620598793,0.0005074995569884777,0.012458600103855133,8.429959416389465e-05,8.609984070062637e-05,5.900394171476364e-06,2.219993621110916e-05,0.00010140007361769676,0.03209070023149252
4,1.640012487769127e-05,0.005703299771994352,1.1799857020378113e-05,7.899943739175797e-06,6.6999346017837524e-06,7.799826562404633e-06,0.0014737998135387897,9.189965203404427e-05,0.00020270003005862236,0.0033560004085302353,0.000107599887996912,9.229965507984161e-05,5.899928510189056e-06,1.890026032924652e-05,0.00018690014258027077,0.011289899237453938
5,1.1899974197149277e-05,0.008513199631124735,1.1700205504894257e-05,7.700175046920776e-06,0.0004891999997198582,8.299946784973145e-06,0.0026927003636956215,0.00014750007539987564,0.0003263000398874283,0.005623399280011654,0.0017309002578258514,0.008639699313789606,0.0004350002855062485,1.8099788576364517e-05,0.004790300037711859,0.03344589937478304
6,1.1499971151351929e-05,0.008597599808126688,1.2100208550691605e-05,7.4999406933784485e-06,0.0004898998886346817,8.500181138515472e-06,0.0027081002481281757,0.00014489982277154922,0.00032270001247525215,0.005718200467526913,0.0017842003144323826,0.008327700197696686,0.0004341001622378826,2.1399930119514465e-05,0.00483760004863143,0.03342600120231509
7,7.730023935437202e-05,1.1799857020378113e-05,1.070043072104454e-05,7.400289177894592e-06,0.0003219996578991413,8.00006091594696e-06,5.7998113334178925e-06,1.0100193321704865e-05,1.1300668120384216e-05,1.4699995517730713e-05,8.009979501366615e-05,7.730023935437202e-05,0.00023070024326443672,1.6700010746717453e-05,1.1700205504894257e-05,0.0008956016972661018
8,7.739989086985588e-05,1.109996810555458e-05,1.0000541806221008e-05,9.899958968162537e-06,0.0003130999393761158,7.599592208862305e-06,5.200039595365524e-06,9.500421583652496e-06,1.0300427675247192e-05,1.3299752026796341e-05,7.790001109242439e-05,7.469998672604561e-05,0.00021880026906728745,1.5400350093841553e-05,1.070043072104454e-05,0.0008649015799164772
9,1.1400319635868073e-05,0.008199100382626057,1.090019941329956e-05,6.899703294038773e-06,0.00047869980335235596,8.100178092718124e-06,0.002611200325191021,0.0001449999399483204,0.00031029945239424706,0.0054178000427782536,0.0016844002529978752,0.008093999698758125,0.000417300034314394,1.71000137925148e-05,0.004608800169080496,0.032021000515669584
10,7.400009781122208e-05,1.1699739843606949e-05,1.0499730706214905e-05,7.200054824352264e-06,0.0003077997826039791,7.899943739175797e-06,4.999805241823196e-06,1.019984483718872e-05,1.0499730706214905e-05,1.1399853974580765e-05,8.209981024265289e-05,7.589999586343765e-05,0.00022800033912062645,1.5600118786096573e-05,1.090019941329956e-05,0.0008686990477144718
