execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.089985016733408e-05,9.400071576237679e-06,1.009996049106121e-05,7.469998672604561e-05,9.00006853044033e-06,7.420009933412075e-05,1.209997572004795e-05,1.700012944638729e-06,9.699957445263863e-06,1.610000617802143e-05,6.299931555986404e-06,0.0013014000141993165,5.399924702942371e-06,5.00003807246685e-06,6.9999368861317635e-06,0.0015529998345300555
2,1.0999967344105244e-05,7.98999099060893e-05,1.0900082997977734e-05,9.799841791391373e-06,7.590011227875948e-05,1.0699965059757233e-05,7.809989620000124e-05,1.700012944638729e-06,1.0200077667832375e-05,1.6099889762699604e-05,7.500057108700275e-06,5.200039595365524e-06,0.0003247000277042389,0.00022710009943693876,7.800059393048286e-06,0.0008766000391915441
3,0.0117326999315992,8.14999220892787e-05,9.310001041740179e-05,0.001572399982251227,7.979990914463997e-05,0.007942800060845912,1.0999967344105244e-05,1.700012944638729e-06,9.899958968162537e-06,1.6400008462369442e-05,7.00005330145359e-06,0.003830099944025278,6.00004568696022e-06,5.00003807246685e-06,6.600050255656242e-06,0.02539599989540875
4,0.004000499844551086,7.889990229159594e-05,9.440002031624317e-05,7.520010694861412e-05,7.369997911155224e-05,0.002746200072579086,1.100008375942707e-05,1.6998965293169022e-06,1.0299845598638058e-05,1.6900128684937954e-05,6.900052540004253e-06,0.0013981000520288944,6.3999323174357414e-06,5.600042641162872e-06,7.5999414548277855e-06,0.008533399901352823
5,0.007775199948810041,0.001648399978876114,0.004575700033456087,0.00014379993081092834,0.007723300019279122,0.005293099908158183,1.0999967344105244e-05,1.800013706088066e-06,1.0299962013959885e-05,1.6700010746717453e-05,7.300055585801601e-06,0.002576799946837127,0.00047019997145980597,0.0004110999871045351,7.70005863159895e-06,0.030672399792820215
6,0.008119599893689156,0.001783900079317391,0.00467439997009933,0.00014320004265755415,0.008119700010865927,0.00541980005800724,1.2500095181167126e-05,1.9000144675374031e-06,1.0299845598638058e-05,1.9100145436823368e-05,7.2999391704797745e-06,0.002611699979752302,0.0004754000110551715,0.0004168000305071473,8.299946784973145e-06,0.03182390006259084
7,1.1100084520876408e-05,8.180004078894854e-05,1.0499847121536732e-05,9.500072337687016e-06,7.320009171962738e-05,1.0599847882986069e-05,7.250008638948202e-05,1.700012944638729e-06,9.7999582067132e-06,1.5800120308995247e-05,6.900052540004253e-06,4.799920134246349e-06,0.0003103000344708562,0.0002188000362366438,7.500057108700275e-06,0.0008448002627119422
8,1.0999967344105244e-05,0.00010359997395426035,1.100008375942707e-05,9.499955922365189e-06,7.389998063445091e-05,1.0599964298307896e-05,7.720012217760086e-05,4.399917088449001e-06,9.999959729611874e-06,1.640012487769127e-05,6.6999346017837524e-06,4.700035788118839e-06,0.00030179996974766254,0.0002120999852195382,7.3999399319291115e-06,0.0008602999150753021
9,0.008092100033536553,0.001726000104099512,0.004743999917991459,0.00014389993157237768,0.007964299991726875,0.0054435000056400895,1.1499971151351929e-05,1.9000144675374031e-06,1.0599964298307896e-05,1.7600017599761486e-05,7.70005863159895e-06,0.002636800054460764,0.000480000046081841,0.0004190000472590327,8.299946784973145e-06,0.031707200105302036
10,1.0599964298307896e-05,7.600011304020882e-05,1.019984483718872e-05,9.100069291889668e-06,7.240008562803268e-05,1.0500079952180386e-05,7.650000043213367e-05,1.700012944638729e-06,9.599956683814526e-06,1.5099998563528061e-05,7.1999384090304375e-06,4.999921657145023e-06,0.00030750001315027475,0.00020949996542185545,7.400056347250938e-06,0.0008283000206574798
11,1.0599964298307896e-05,7.680000271648169e-05,1.009996049106121e-05,9.200070053339005e-06,7.389986421912909e-05,1.0699965059757233e-05,7.609999738633633e-05,1.700012944638729e-06,9.999959729611874e-06,1.5400000847876072e-05,6.800051778554916e-06,4.999921657145023e-06,0.00030289997812360525,0.00021490000654011965,7.5999414548277855e-06,0.0008316996973007917
12,1.0400079190731049e-05,9.09995287656784e-06,1.0299962013959885e-05,7.6299998909235e-05,9.699957445263863e-06,7.870001718401909e-05,9.699957445263863e-06,1.600012183189392e-06,1.00000761449337e-05,1.6600009985268116e-05,6.900052540004253e-06,0.0013862000778317451,5.399924702942371e-06,5.100038833916187e-06,7.0999376475811005e-06,0.0016431000549346209
13,0.00795190001372248,0.0016602999530732632,0.00455020007211715,0.00015970005188137293,0.007824199856258929,0.005473900120705366,1.0999967344105244e-05,1.800013706088066e-06,1.019984483718872e-05,1.6800127923488617e-05,6.900052540004253e-06,0.0026271999813616276,0.0004746998893097043,0.0004151000175625086,8.200062438845634e-06,0.03119210002478212
14,1.0899966582655907e-05,7.539999205619097e-05,1.0499963536858559e-05,9.300070814788342e-06,7.279985584318638e-05,1.100008375942707e-05,7.369986269623041e-05,1.600012183189392e-06,9.899958968162537e-06,1.610000617802143e-05,7.00005330145359e-06,5.00003807246685e-06,0.00032570003531873226,0.00020979996770620346,7.699942216277122e-06,0.0008463998092338443
15,1.079996582120657e-05,9.909993968904018e-05,1.3499986380338669e-05,1.2299860827624798e-05,9.460002183914185e-05,1.1100084520876408e-05,8.699996396899223e-05,1.9000144675374031e-06,1.309998333454132e-05,1.919991336762905e-05,7.0999376475811005e-06,4.800036549568176e-06,0.0003043999895453453,0.00023619993589818478,1.0899966582655907e-05,0.0009259996004402637
16,0.0077822000021114945,0.0016331999795511365,0.004707799991592765,0.00014389993157237768,0.007832399918697774,0.0052924000192433596,1.0999967344105244e-05,2.09989957511425e-06,1.070008147507906e-05,1.7499900422990322e-05,7.00005330145359e-06,0.0026379000628367066,0.000466100056655705,0.00041470001451671124,7.999944500625134e-06,0.030966899823397398
17,1.0800082236528397e-05,7.940002251416445e-05,1.0300078429281712e-05,9.399838745594025e-06,7.65001168474555e-05,1.079996582120657e-05,7.219996768981218e-05,1.600012183189392e-06,1.2699980288743973e-05,1.5600002370774746e-05,6.9999368861317635e-06,4.800036549568176e-06,0.0003021999727934599,0.00021430000197142363,7.79994297772646e-06,0.0008353999583050609
18,1.0599964298307896e-05,7.609999738633633e-05,1.0300078429281712e-05,9.09995287656784e-06,7.43999844416976e-05,1.0600080713629723e-05,7.149996235966682e-05,1.600012183189392e-06,9.70007386058569e-06,1.550000160932541e-05,6.900052540004253e-06,5.00003807246685e-06,0.00030529999639838934,0.00021600001491606236,7.4999406933784485e-06,0.0008301001507788897
