execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.1600088328123093e-05,1.4500226825475693e-05,1.039961352944374e-05,6.800051778554916e-06,0.00031579984351992607,8.099712431430817e-06,5.500391125679016e-06,1.0099727660417557e-05,1.8998980522155762e-06,0.006911799777299166,8.080014958977699e-05,7.809977978467941e-05,0.000232599675655365,2.2100284695625305e-05,1.0999850928783417e-05,0.007721099071204662
2,1.1499971151351929e-05,1.109996810555458e-05,1.0699965059757233e-05,7.299706339836121e-06,0.0003118002787232399,7.899943739175797e-06,5.499925464391708e-06,1.00000761449337e-05,1.8998980522155762e-06,0.00746109988540411,8.240016177296638e-05,8.039968088269234e-05,0.00022689998149871826,1.980038359761238e-05,1.1400319635868073e-05,0.008259700145572424
3,1.1399853974580765e-05,1.0899733752012253e-05,1.0600313544273376e-05,6.90016895532608e-06,0.00031269993633031845,7.999595254659653e-06,5.700159817934036e-06,9.799841791391373e-06,1.80024653673172e-06,0.006847099866718054,8.050026372075081e-05,7.750047370791435e-05,0.00022900011390447617,1.8500257283449173e-05,1.0699965059757233e-05,0.007641100790351629
4,1.1499971151351929e-05,0.004183699376881123,1.0699965059757233e-05,7.200054824352264e-06,0.004481500014662743,1.5400350093841553e-05,0.0014053997583687305,7.780035957694054e-05,2.100132405757904e-06,0.002813700120896101,0.021631700452417135,0.08497609989717603,0.004473799839615822,1.7399899661540985e-05,0.003449799492955208,0.12755779968574643
5,1.109996810555458e-05,1.1200085282325745e-05,1.0600313544273376e-05,6.90016895532608e-06,0.004927100148051977,1.109996810555458e-05,5.09992241859436e-06,9.899958968162537e-06,1.80024653673172e-06,0.0044317995198071,0.013908699620515108,0.0613253996707499,0.00399150000885129,2.019992098212242e-05,1.1700205504894257e-05,0.08868409972637892
6,9.200070053339005e-06,1.0600313544273376e-05,9.600073099136353e-06,9.09995287656784e-06,5.499925464391708e-06,6.6999346017837524e-06,0.0013933000154793262,7.520010694861412e-05,1.80024653673172e-06,7.499987259507179e-05,9.699724614620209e-06,9.200070053339005e-06,4.800036549568176e-06,1.750001683831215e-05,1.0200310498476028e-05,0.0016474006697535515
7,1.0500196367502213e-05,1.0599847882986069e-05,1.0400079190731049e-05,6.6999346017837524e-06,0.000516700092703104,8.100178092718124e-06,5.100388079881668e-06,9.699724614620209e-06,2.299901098012924e-06,0.004417099989950657,0.0009218999184668064,0.004138999618589878,0.00037059979513287544,3.369990736246109e-05,1.12997367978096e-05,0.010473699308931828
8,1.0699965059757233e-05,1.1000316590070724e-05,1.039961352944374e-05,6.899703294038773e-06,0.00030659977346658707,1.0600313544273376e-05,5.499925464391708e-06,9.400304406881332e-06,2.000480890274048e-06,0.006681600119918585,7.889978587627411e-05,7.579987868666649e-05,0.00021900003775954247,1.8099788576364517e-05,1.039961352944374e-05,0.007456899620592594
9,1.0999850928783417e-05,1.0800547897815704e-05,1.3899989426136017e-05,6.6999346017837524e-06,0.00035319989547133446,7.799826562404633e-06,5.300156772136688e-06,9.80030745267868e-06,1.600012183189392e-06,0.00884550018236041,7.83996656537056e-05,8.179992437362671e-05,0.0002719997428357601,1.7900019884109497e-05,1.0799616575241089e-05,0.009726499672979116
10,1.0800082236528397e-05,1.1000316590070724e-05,1.0599847882986069e-05,6.70040026307106e-06,0.0003557000309228897,7.699709385633469e-06,5.300156772136688e-06,9.600073099136353e-06,1.8998980522155762e-06,0.008831800427287817,7.830001413822174e-05,7.41998665034771e-05,0.0002747001126408577,1.8600374460220337e-05,1.0400079190731049e-05,0.009707301389425993
