execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1399970389902592e-05,1.0699965059757233e-05,1.1699972674250603e-05,0.004554999992251396,1.2400036212056875e-05,0.0030711000435985625,1.1899974197149277e-05,0.00017660000594332814,1.1399970389902592e-05,1.969997538253665e-05,7.90000194683671e-06,0.0028551999712362885,6.099988240748644e-06,5.499983672052622e-06,7.499998901039362e-06,0.010774099850095809
2,1.1399970389902592e-05,8.510000770911574e-05,1.1299969628453255e-05,1.0200019460171461e-05,8.449994493275881e-05,1.179997343569994e-05,7.949990686029196e-05,1.1499971151351929e-05,0.00033060001442208886,1.8799968529492617e-05,7.700000423938036e-06,5.200039595365524e-06,0.00037399999564513564,0.0002914000069722533,8.400005754083395e-06,0.001341399794910103
3,1.1700030881911516e-05,1.0300020221620798e-05,1.0899966582655907e-05,8.350005373358727e-05,1.0499963536858559e-05,8.340005297213793e-05,1.0500021744519472e-05,1.1499971151351929e-05,1.360004534944892e-05,1.8200022168457508e-05,7.499998901039362e-06,0.0015026000328361988,6.199989002197981e-06,5.500041879713535e-06,7.800001185387373e-06,0.0017937002121470869
4,1.2299977242946625e-05,8.50000069476664e-05,1.1699972674250603e-05,1.0600080713629723e-05,8.120003622025251e-05,0.007196699967607856,1.2200034689158201e-05,1.1699972674250603e-05,1.079996582120657e-05,1.9599974621087313e-05,7.399998139590025e-06,5.499983672052622e-06,0.000334800046402961,0.00024369999300688505,8.500006515532732e-06,0.008051700016949326
5,2.7499976567924023e-05,0.0001981999957934022,3.340007970109582e-05,2.489995677024126e-05,0.00019120000069960952,2.889998722821474e-05,0.0001987000578083098,3.349996404722333e-05,2.540001878514886e-05,4.20999713242054e-05,1.8099963199347258e-05,1.2399978004395962e-05,0.000977099989540875,0.0007060999632813036,1.9799976143985987e-05,0.0025372998788952827
6,1.1500029359012842e-05,8.359999628737569e-05,1.1300027836114168e-05,9.7999582067132e-06,7.609999738633633e-05,1.109996810555458e-05,7.499998901039362e-05,1.0899966582655907e-05,0.0003781999694183469,2.4099950678646564e-05,7.599999662488699e-06,5.199981387704611e-06,0.0002510999911464751,0.00023090001195669174,1.5199999324977398e-05,0.0012015998363494873
7,3.96000687032938e-05,0.00020559999393299222,2.6800029445439577e-05,2.5300076231360435e-05,0.00019649998284876347,2.6999972760677338e-05,0.00019510003039613366,2.670002868399024e-05,0.000730200030375272,4.4199987314641476e-05,1.7899961676448584e-05,1.699995482340455e-05,0.00064439995912835,0.0004561999812722206,1.9400031305849552e-05,0.0026719000888988376
8,1.0100076906383038e-05,7.380003808066249e-05,9.800016414374113e-06,9.000010322779417e-06,7.099995855242014e-05,1.1599971912801266e-05,6.970006506890059e-05,9.90001717582345e-06,9.300012607127428e-06,1.550000160932541e-05,6.699992809444666e-06,4.599976819008589e-06,0.0004411999834701419,0.0003798000398091972,7.399998139590025e-06,0.0011294001596979797
9,1.0599964298307896e-05,0.0010016000014729798,1.190003240481019e-05,1.009996049106121e-05,0.003962399961892515,0.004343400010839105,1.0399962775409222e-05,1.0299962013959885e-05,1.0199961252510548e-05,1.71000137925148e-05,6.999995093792677e-06,5.00003807246685e-06,0.0006602000212296844,0.0005106000462546945,7.700000423938036e-06,0.01057849993230775
10,1.079996582120657e-05,0.0009719000081531703,1.1699972674250603e-05,1.009996049106121e-05,0.003959399997256696,1.190003240481019e-05,0.005086699966341257,1.1599971912801266e-05,1.0199961252510548e-05,0.0010725999600254,7.099995855242014e-06,5.199981387704611e-06,0.0006139999604783952,0.0004632000345736742,1.0200019460171461e-05,0.012256599788088351
11,1.3500044587999582e-05,9.53000271692872e-05,1.3999990187585354e-05,1.279998105019331e-05,7.559999357908964e-05,1.0800024028867483e-05,7.340003503486514e-05,1.0300020221620798e-05,0.0003236000193282962,1.6900012269616127e-05,7.199996616691351e-06,4.999979864805937e-06,0.00038129999302327633,0.00026320002507418394,7.399998139590025e-06,0.0013103001401759684
12,1.7599959392100573e-05,0.0015223000082187355,1.910002902150154e-05,1.71000137925148e-05,0.004591400036588311,0.006385500018950552,2.210005186498165e-05,2.1499989088624716e-05,2.5499961338937283e-05,3.479997394606471e-05,1.7700018361210823e-05,8.500006515532732e-06,0.0008772999863140285,0.0005356000037863851,9.000010322779417e-06,0.01410500006750226
13,1.4000048395246267e-05,8.069997420534492e-05,1.0699965059757233e-05,9.999959729611874e-06,7.740000728517771e-05,1.0899966582655907e-05,7.999996887519956e-05,1.0599964298307896e-05,9.999959729611874e-06,1.650000922381878e-05,7.299997378140688e-06,8.000002708286047e-06,0.0004960999940522015,0.00039379997178912163,8.100003469735384e-06,0.0012340997927822173
14,1.090002479031682e-05,8.379999781027436e-05,1.1499971151351929e-05,1.0200019460171461e-05,7.720000576227903e-05,1.1400028597563505e-05,7.890001870691776e-05,1.1400028597563505e-05,1.3199984095990658e-05,2.0900042727589607e-05,7.399998139590025e-06,5.099980626255274e-06,0.0002914000069722533,0.00018630002159625292,8.300004992634058e-06,0.0008279001340270042
15,0.004417699994519353,0.0028095999732613564,0.008577700005844235,8.880003588274121e-05,0.013146800047252327,0.00300180003978312,1.1499971151351929e-05,0.0001705000177025795,1.1300027836114168e-05,1.9300030544400215e-05,7.90000194683671e-06,0.0016869999817572534,0.0007615999784320593,0.000667800020892173,9.09995287656784e-06,0.03538840007968247
