class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Action,event,other,True,False,False,0,2,2
Belief,mode,kind,False,True,False,1,0,4
Benefit,quality,kind,False,True,False,1,0,2
Capability,mode,kind,True,False,False,0,2,2
Consequence,role,role,False,True,False,1,0,1
Criterion,role,role,False,True,False,1,0,1
Decision,role,role,False,True,False,2,0,4
Decision_Resulting_Action,event,other,False,True,False,1,0,2
Deliberative_Act,event,other,False,True,False,1,0,2
Deprecated_Bearer,rolemixin,rolemixin,False,True,False,1,0,2
Desire,mode,kind,False,True,False,1,0,4
Goal,kind,kind,False,True,False,1,0,1
Individual_Capability,mode,kind,False,True,False,1,0,2
Intention,mode,kind,False,False,True,1,1,4
Mental_Moment,mode,kind,True,False,False,0,4,4
Preferred_Bearer,rolemixin,rolemixin,False,True,False,1,0,2
Proposition,kind,kind,True,False,False,0,1,1
Sacrifice,quality,kind,False,True,False,1,0,2
Situation,kind,kind,True,False,False,0,1,1
Social_Capability,mode,kind,False,True,False,1,0,2
Value_Bearer,rolemixin,rolemixin,True,False,False,0,2,2
Value_Component,quality,kind,True,False,False,0,2,2
intrinsic_Moment_Type,type,other,True,False,False,0,1,1
