execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.00015499978326261044,9.460002183914185e-05,0.0006030998192727566,1.2399978004395962e-05,0.012467199936509132,1.2899981811642647e-05,9.800074622035027e-06,2.219993621110916e-05,2.040015533566475e-05,9.009987115859985e-05,0.00806750007905066,0.03608119999989867,0.0012864999007433653,2.7799978852272034e-05,0.007591800065711141,0.0665424995822832
2,0.00015740003436803818,9.42000187933445e-05,0.000631700037047267,1.2399861589074135e-05,0.016818800126202404,1.5700003132224083e-05,9.699957445263863e-06,1.9400031305849552e-05,2.4800188839435577e-05,9.249988943338394e-05,0.007808900089003146,0.03541509993374348,0.001525099971331656,2.780009526759386e-05,0.0076561999740079045,0.07030970021151006
3,0.00015930004883557558,9.520002640783787e-05,0.0006350000621750951,1.2499862350523472e-05,0.012736500124447048,1.4500110410153866e-05,9.999959729611874e-06,1.950003206729889e-05,2.0300154574215412e-05,9.700004011392593e-05,0.007865199935622513,0.037436099839396775,0.0013547999551519752,2.759997732937336e-05,0.008094899938441813,0.06857840006705374
4,0.00018889992497861385,9.720004163682461e-05,1.9700033590197563e-05,1.2600095942616463e-05,0.012067699921317399,1.4599994756281376e-05,9.900075383484364e-06,2.010003663599491e-05,2.089992631226778e-05,9.640015196055174e-05,0.008162399870343506,0.0361550998641178,0.0013191999169066548,2.6399968191981316e-05,0.007852900074794888,0.06606399989686906
5,2.159993164241314e-05,9.660003706812859e-05,1.9600032828748226e-05,1.209997572004795e-05,0.008453399990685284,1.379998866468668e-05,1.0200077667832375e-05,2.040015533566475e-05,2.1300045773386955e-05,0.0038064001128077507,0.008916500024497509,0.038921800092794,0.001332600018940866,2.6399968191981316e-05,0.008336600149050355,0.07000930060166866
6,0.00015599990729242563,9.80000477284193e-05,1.9699917174875736e-05,1.2199976481497288e-05,0.011884299921803176,2.1200161427259445e-05,9.299954399466515e-06,1.9000028260052204e-05,2.0299921743571758e-05,9.599991608411074e-05,0.007711400045081973,0.035884999902918935,0.0014367999974638224,2.5400076992809772e-05,0.007422500057145953,0.06481709983199835
7,1.00000761449337e-05,8.619995787739754e-05,9.800074622035027e-06,9.200070053339005e-06,0.0015576999867334962,7.1999384090304375e-06,4.900037311017513e-06,1.0400079190731049e-05,1.0100076906383038e-05,0.00010159995872527361,0.00835889985319227,0.03975679993163794,0.0012561000185087323,1.279998105019331e-05,0.007629700005054474,0.05882140004541725
8,7.539999205619097e-05,1.009996049106121e-05,0.0002622001338750124,5.799927748739719e-06,0.00025539996568113565,6.4999330788850784e-06,4.700035788118839e-06,9.200070053339005e-06,9.800074622035027e-06,9.7999582067132e-06,7.970002479851246e-05,7.639999967068434e-05,0.00018239999189972878,1.3300101272761822e-05,1.0400079190731049e-05,0.0010111002484336495
9,0.00015350000467151403,9.099999442696571e-05,0.0006561001064255834,1.2800097465515137e-05,0.012664899928495288,1.500011421740055e-05,1.0100076906383038e-05,2.210005186498165e-05,2.019992098212242e-05,9.210000280290842e-05,0.007693099905736744,0.036703899735584855,0.001388799981214106,3.520003519952297e-05,0.00822600000537932,0.06778479996137321
10,2.3899716325104237e-05,9.290000889450312e-05,1.8699909560382366e-05,1.1600088328123093e-05,0.008096999954432249,1.3699987903237343e-05,9.70007386058569e-06,2.00001522898674e-05,2.040015533566475e-05,0.0032792999409139156,0.008937299833633006,0.03521920007187873,0.0014415000332519412,2.5600078515708447e-05,0.007441199850291014,0.06465199985541403
