class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Administrative_Department,subkind,subkind,False,True,False,3,0,22
Administrative_Organization,subkind,subkind,False,False,True,1,7,22
Administrative_Structure,kind,kind,False,True,False,2,0,4
Administrative_Support,subkind,subkind,False,True,False,1,0,10
Advisory,subkind,subkind,False,True,False,2,0,22
Allocated_Department,role,role,False,True,False,3,0,22
Allocated_Office,role,role,False,True,False,4,0,22
Allocation_Unit,role,role,False,True,False,1,0,22
Ancillary_Server,subkind,subkind,False,True,False,1,0,10
Ancillary_Service,phase,phase,False,True,False,1,0,3
Animal_Health_Inspector,subkind,subkind,False,True,False,1,0,10
Board,subkind,subkind,False,True,False,2,0,22
Border_Station,phase,phase,False,True,False,3,0,22
Cartography_Technician,subkind,subkind,False,True,False,1,0,10
Central_Office,phase,phase,False,False,True,3,1,22
Department,subkind,subkind,False,False,True,2,3,22
Diagnostic_Laboratory,subkind,subkind,False,True,False,2,0,22
Finalistico,none,other,False,True,False,1,0,3
Laboratory_Technician,subkind,subkind,False,True,False,1,0,10
Land_Development_Technician,subkind,subkind,False,True,False,1,0,10
Local_Office,phase,phase,False,True,False,3,0,22
Mobile_Unit,subkind,subkind,False,True,False,2,0,22
Natural_Resources_Technician,subkind,subkind,False,True,False,1,0,10
Occupational_Group,collective,kind,True,False,False,0,3,3
Occupational_Structure,category,category,False,True,False,1,0,4
Occupied_Position,role,role,False,True,False,1,0,10
Office,subkind,subkind,False,False,True,2,4,22
Operational_Organization,subkind,subkind,False,False,True,1,10,22
Operational_Structure,kind,kind,False,True,False,2,0,4
Organizacao,none,other,True,False,False,0,1,22
Organization,kind,kind,True,False,False,0,21,22
Organizational_Structure,category,category,False,False,True,1,2,4
Person,kind,kind,True,False,False,0,1,1
Plant_Health_Inspector,subkind,subkind,False,True,False,1,0,10
Position,kind,kind,True,False,False,0,10,10
Regional_Office,phase,phase,False,True,False,3,0,22
Section,subkind,subkind,False,True,False,2,0,22
Server,role,role,False,True,False,1,0,1
Service_Station,phase,phase,False,True,False,3,0,22
Station,subkind,subkind,False,False,True,2,2,22
Structure,category,category,True,False,False,0,4,4
Technical_Admnistrative_Support,phase,phase,False,True,False,1,0,3
Technical_Department,subkind,subkind,False,True,False,3,0,22
Technical_Support,subkind,subkind,False,True,False,1,0,10
UnidadeLotacao,none,other,False,True,False,2,0,22
