execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,19,3,1,82.6086956521739,13.043478260869565,4.3478260869565215,322,308,14,322,293,29,95.65217391304348,4.3478260869565215,90.99378881987577,9.006211180124224,-3,3,0,-13.043478260869577,13.043478260869565,0.0,-15,15,-4.658385093167709,4.658385093167702,1
2,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,0,21,2,0.0,91.30434782608695,8.695652173913043,322,308,14,322,153,169,95.65217391304348,4.3478260869565215,47.51552795031056,52.484472049689444,-22,21,1,-95.65217391304348,91.30434782608695,4.3478260869565215,-155,155,-48.13664596273292,48.13664596273292,1
3,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,20,2,1,86.95652173913044,8.695652173913043,4.3478260869565215,322,308,14,322,298,24,95.65217391304348,4.3478260869565215,92.54658385093167,7.453416149068323,-2,2,0,-8.695652173913047,8.695652173913043,0.0,-10,10,-3.1055900621118155,3.1055900621118013,1
4,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,322,308,14,322,308,14,95.65217391304348,4.3478260869565215,95.65217391304348,4.3478260869565215,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
5,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,322,308,14,322,308,14,95.65217391304348,4.3478260869565215,95.65217391304348,4.3478260869565215,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
6,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,0,21,2,0.0,91.30434782608695,8.695652173913043,322,308,14,322,153,169,95.65217391304348,4.3478260869565215,47.51552795031056,52.484472049689444,-22,21,1,-95.65217391304348,91.30434782608695,4.3478260869565215,-155,155,-48.13664596273292,48.13664596273292,1
7,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,20,2,1,86.95652173913044,8.695652173913043,4.3478260869565215,322,308,14,322,298,24,95.65217391304348,4.3478260869565215,92.54658385093167,7.453416149068323,-2,2,0,-8.695652173913047,8.695652173913043,0.0,-10,10,-3.1055900621118155,3.1055900621118013,1
8,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,322,308,14,322,308,14,95.65217391304348,4.3478260869565215,95.65217391304348,4.3478260869565215,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
9,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,21,0,2,91.30434782608695,0.0,8.695652173913043,322,308,14,322,294,28,95.65217391304348,4.3478260869565215,91.30434782608695,8.695652173913043,-1,0,1,-4.34782608695653,0.0,4.3478260869565215,-14,14,-4.34782608695653,4.3478260869565215,2
10,23,22,0,1,95.65217391304348,0.0,4.3478260869565215,23,17,5,1,73.91304347826086,21.73913043478261,4.3478260869565215,322,308,14,322,277,45,95.65217391304348,4.3478260869565215,86.0248447204969,13.975155279503104,-5,5,0,-21.739130434782624,21.73913043478261,0.0,-31,31,-9.627329192546583,9.627329192546583,4
