execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.559995330870152e-05,0.007484400121029466,0.008713399933185428,1.8799968529492617e-05,0.03507830004673451,0.003145200025755912,2.0199979189783335e-05,1.95999164134264e-05,1.8799910321831703e-05,2.4000066332519054e-05,1.1599971912801266e-05,1.1999974958598614e-05,0.007276599993929267,0.001263400015886873,1.3499986380338669e-05,0.06318539986386895
2,8.85000335983932e-05,0.00840660004178062,0.009036000003106892,1.899997005239129e-05,0.03642389993183315,0.0033431000192649662,2.010003663599491e-05,2.0199979189783335e-05,1.869996776804328e-05,2.4799956008791924e-05,1.1500029359012842e-05,9.600073099136353e-06,0.007552800059784204,0.0013198000378906727,1.5199999324977398e-05,0.06630980013869703
3,8.630001684650779e-05,0.007680399983655661,0.008960999955888838,1.9199971575289965e-05,0.035746000066865236,0.00318389997119084,2.3399945348501205e-05,2.019992098212242e-05,1.8700084183365107e-05,2.440001117065549e-05,1.4699995517730713e-05,9.600014891475439e-06,0.007555100019089878,0.001302699965890497,1.3499986380338669e-05,0.06465909990947694
4,8.960004197433591e-05,0.007890199951361865,0.009017099917400628,1.95999164134264e-05,0.03621380002005026,0.003319100011140108,2.1900050342082977e-05,2.0300038158893585e-05,1.8999911844730377e-05,2.4900014977902174e-05,1.1500029359012842e-05,9.700015652924776e-06,0.007577400014270097,0.0013138000504113734,1.4400051441043615e-05,0.06556230003479868
5,8.68999632075429e-05,0.00762869993923232,0.008938499900978059,1.839996548369527e-05,0.03531130007468164,0.003217899997252971,2.0599982235580683e-05,1.9599974621087313e-05,1.8599967006593943e-05,2.4099950678646564e-05,1.1599971912801266e-05,9.09995287656784e-06,0.007285500003490597,0.0012653000303544104,1.3199984095990658e-05,0.0638692996581085
6,8.58000130392611e-05,0.0075533000053837895,0.008916399965528399,1.8300022929906845e-05,0.03528739995090291,0.003232399991247803,1.9899976905435324e-05,1.9900035113096237e-05,1.8499966245144606e-05,2.370000584051013e-05,1.1300027836114168e-05,9.100011084228754e-06,0.0072333000134676695,0.0012564000207930803,1.2499978765845299e-05,0.06369819998508319
7,8.710002293810248e-05,0.007584100007079542,0.008786400023382157,2.169999061152339e-05,0.03538039996055886,0.003157299943268299,1.9599974621087313e-05,1.9300030544400215e-05,2.1099986042827368e-05,2.4099950678646564e-05,1.0999967344105244e-05,9.400013368576765e-06,0.007265599968377501,0.0012662999797612429,1.2899981811642647e-05,0.06366629980038851
8,8.77000275067985e-05,0.007999899971764535,0.009169899974949658,1.8699909560382366e-05,0.03635300003224984,9.009998757392168e-05,0.00014460005331784487,1.9799976143985987e-05,1.859990879893303e-05,2.7300033252686262e-05,1.1699972674250603e-05,9.499955922365189e-06,0.011173899983987212,0.0013084000092931092,1.360004534944892e-05,0.06644669984234497
9,8.949992479756474e-05,0.007491299940738827,0.008877000072970986,1.8899969290941954e-05,0.03542919998290017,0.0031907999655231833,1.9900035113096237e-05,1.92999723367393e-05,1.8399907276034355e-05,2.4200009647756815e-05,1.1599971912801266e-05,9.500014130026102e-06,0.007246599940117449,0.0012555000721476972,1.2400036212056875e-05,0.06371409981511533
10,8.800002979114652e-05,0.007983099960256368,0.00916969997342676,9.90001717582345e-06,0.03866639995248988,0.000109999964479357,9.800016414374113e-06,9.90001717582345e-06,9.699957445263863e-06,1.2599979527294636e-05,5.500041879713535e-06,4.999979864805937e-06,0.0013738999841734767,0.0011303999926894903,6.600050255656242e-06,0.058590499917045236
11,8.950004121288657e-05,0.007736700004898012,0.008794700028374791,1.8100079614669085e-05,0.03525949997128919,0.003117699990980327,1.9799976143985987e-05,1.9099970813840628e-05,1.8600025214254856e-05,2.809992292895913e-05,1.2000033166259527e-05,9.600073099136353e-06,0.007343000033870339,0.0012564999633468688,1.279998105019331e-05,0.06373570009600371
