execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0500196367502213e-05,1.0400544852018356e-05,9.899493306875229e-06,6.0996972024440765e-06,0.00019910000264644623,6.6999346017837524e-06,5.09992241859436e-06,9.09995287656784e-06,1.8994323909282684e-06,0.0023542004637420177,8.379993960261345e-05,7.570022717118263e-05,0.000135000329464674,1.3200100511312485e-05,9.899958968162537e-06,0.002930600196123123
2,1.1200085282325745e-05,1.109996810555458e-05,1.019984483718872e-05,6.600283086299896e-06,0.00020320015028119087,6.800051778554916e-06,5.09992241859436e-06,9.699724614620209e-06,1.7997808754444122e-06,0.002516999840736389,8.270004764199257e-05,8.230004459619522e-05,0.00013539986684918404,1.3499986380338669e-05,1.0699499398469925e-05,0.0031072990968823433
3,1.0500196367502213e-05,1.1399853974580765e-05,1.019984483718872e-05,6.400048732757568e-06,0.0002088998444378376,6.899703294038773e-06,4.999805241823196e-06,9.400304406881332e-06,1.900363713502884e-06,0.002463500015437603,8.71000811457634e-05,7.800012826919556e-05,0.00013720011338591576,1.3299752026796341e-05,1.0500196367502213e-05,0.0030602002516388893
4,1.0299962013959885e-05,1.0500196367502213e-05,9.700190275907516e-06,6.200280040502548e-06,0.00019960012286901474,6.800051778554916e-06,8.00006091594696e-06,9.200070053339005e-06,1.8998980522155762e-06,0.002503800205886364,7.979990914463997e-05,7.589999586343765e-05,0.00013270042836666107,1.309998333454132e-05,9.900424629449844e-06,0.003077401779592037
5,1.0499730706214905e-05,1.3499986380338669e-05,9.700190275907516e-06,6.00004568696022e-06,0.0002055000513792038,9.499955922365189e-06,4.800036549568176e-06,9.200070053339005e-06,1.8998980522155762e-06,0.0024453001096844673,7.950002327561378e-05,7.560010999441147e-05,0.0001312997192144394,1.2999866157770157e-05,1.0299962013959885e-05,0.003025599755346775
6,1.0499730706214905e-05,1.0699965059757233e-05,9.799841791391373e-06,6.200280040502548e-06,0.0002005002461373806,6.6999346017837524e-06,4.999805241823196e-06,9.200070053339005e-06,1.80024653673172e-06,0.0023791994899511337,7.92001374065876e-05,7.939990609884262e-05,0.00013189995661377907,1.2699980288743973e-05,1.019984483718872e-05,0.0029529994353652
7,1.00000761449337e-05,1.0400079190731049e-05,9.499955922365189e-06,5.899928510189056e-06,0.00019730022177100182,6.400048732757568e-06,5.000270903110504e-06,9.200070053339005e-06,1.900363713502884e-06,0.002283399924635887,7.770024240016937e-05,7.410021498799324e-05,0.00012609967961907387,1.2499745935201645e-05,1.00000761449337e-05,0.0028394008986651897
8,7.509998977184296e-05,1.039961352944374e-05,9.800773113965988e-06,6.200280040502548e-06,0.00022750021889805794,6.9998204708099365e-06,4.800036549568176e-06,9.499955922365189e-06,1.900363713502884e-06,1.0200310498476028e-05,7.96993263065815e-05,7.699988782405853e-05,0.00012869993224740028,1.29002146422863e-05,1.0400079190731049e-05,0.000671100802719593
9,1.0200310498476028e-05,1.0299962013959885e-05,9.80030745267868e-06,6.1998143792152405e-06,0.0002022995613515377,6.800051778554916e-06,5.000270903110504e-06,8.800532668828964e-06,1.7997808754444122e-06,0.002397499978542328,8.030002936720848e-05,7.559964433312416e-05,0.00013069994747638702,1.2799631804227829e-05,9.899958968162537e-06,0.0029679997824132442
10,9.400304406881332e-06,8.070003241300583e-05,9.899958968162537e-06,6.0996972024440765e-06,0.0015395996160805225,8.00006091594696e-06,4.90015372633934e-06,1.0099727660417557e-05,2.00001522898674e-06,7.819989696145058e-05,0.00792049989104271,0.039997000247240067,0.0012286999262869358,1.309998333454132e-05,0.008890199940651655,0.059798399452120066
11,1.0200310498476028e-05,1.0100193321704865e-05,9.600073099136353e-06,5.899928510189056e-06,0.00019360007718205452,6.800051778554916e-06,5.09992241859436e-06,8.899252861738205e-06,1.700129359960556e-06,0.0023268000222742558,7.750000804662704e-05,7.429998368024826e-05,0.00012959958985447884,1.2800097465515137e-05,9.900424629449844e-06,0.0028828000649809837
