class_name,class_original_classification,classification_final_list
Administrative_Department,subkind,is
Administrative_Organization,subkind,can
Advisory,subkind,can
Allocated_Department,role,can
Allocated_Office,role,is
Board,subkind,can
Border_Station,phase,is
Central_Office,phase,is
Department,subkind,is
Diagnostic_Laboratory,subkind,is
Local_Office,phase,can
Mobile_Unit,subkind,is
Office,subkind,is
Operational_Organization,subkind,can
Organization,kind,is
Regional_Office,phase,is
Section,subkind,is
Service_Station,phase,is
Station,subkind,can
Technical_Department,subkind,can
