taxonomy_name,execution_number,inconsistent_class_name,inconsistent_class_classification
derave2019dpo_tx005.ttl,12,User_Affiliation_Agreement,subkind
derave2019dpo_tx009.ttl,3,Digital_Platform_(Offering),subkind
dpo2017_tx001.ttl,3,Architectural_Element,subkind
internship_tx002.ttl,13,Organization_Insured,role
mgic-antt2011_tx002.ttl,97,Operadora_de_Meio_de_Pagamento,subkind
mgic-antt2011_tx004.ttl,10,Imposto_sobre_Resultado,subkind
mgic-antt2011_tx004.ttl,11,Imposto_sobre_Servi�o,subkind
mgic-antt2011_tx057.ttl,1,Componente_de_GE,role
public-tender_tx003.ttl,3,Company,subkind
public-tender_tx003.ttl,4,Company_Participant_of_Public_Auction,rolemixin
rodrigues2019turbidite_tx001.ttl,4,Deposition_Bank,role
silveira2021oap_tx001.ttl,1,Agent,category
university-ontology_tx001.ttl,2,Class,role
weigand2021artifact_tx005.ttl,1,Artefact_design,category
weigand2021artifact_tx005.ttl,2,Design_object,category
zanetti2019orm-o_tx007.ttl,1,Instance_Variable,subkind
