taxonomy_name,execution_number,inconsistent_class_name,inconsistent_class_classification
amaral2019rot_tx002.ttl,1,Agent,category
amaral2019rot_tx002.ttl,21,Trust_Calibration_Signal,rolemixin
amaral2019rot_tx002.ttl,23,Trustor,rolemixin
brazilian-governmental-organizational-structures_tx001.ttl,2,Company,kind
brazilian-governmental-organizational-structures_tx001.ttl,6,Organization,category
brazilian-governmental-organizational-structures_tx001.ttl,11,PublicOrganization,category
brazilian-governmental-organizational-structures_tx001.ttl,14,�rg�o,kind
fonseca2022incorporating_tx001.ttl,1,Agent,category
fonseca2022incorporating_tx001.ttl,5,License_Holder,rolemixin
fonseca2022incorporating_tx001.ttl,6,Organization,kind
fonseca2022incorporating_tx001.ttl,9,Publisher,rolemixin
guizzardi2005ontological_tx001.ttl,3,Agent,category
laurier2018rea_tx002.ttl,2,decrement-event,rolemixin
laurier2018rea_tx002.ttl,3,economic-event,rolemixin
laurier2018rea_tx002.ttl,5,increment-event,rolemixin
lindeberg2022full-ontorights_tx007.ttl,4,Circumstantial_Group,kind
lindeberg2022full-ontorights_tx007.ttl,11,Duty-bearer,rolemixin
lindeberg2022full-ontorights_tx007.ttl,16,E-OPL:_Organisation,kind
lindeberg2022full-ontorights_tx007.ttl,17,E-OPL:_Organisational_Unit,kind
lindeberg2022full-ontorights_tx007.ttl,21,E-OPL:_Team,kind
lindeberg2022full-ontorights_tx007.ttl,25,Group,category
lindeberg2022full-ontorights_tx007.ttl,28,Identity_Group,kind
lindeberg2022full-ontorights_tx007.ttl,31,Legal_Duty-bearer,rolemixin
lindeberg2022full-ontorights_tx007.ttl,33,Legal_Victim,rolemixin
lindeberg2022full-ontorights_tx007.ttl,40,Nation_State,kind
lindeberg2022full-ontorights_tx007.ttl,47,Rights-holder,rolemixin
lindeberg2022full-ontorights_tx007.ttl,52,UFO-C:_Collective_Social_Agent,category
lindeberg2022full-ontorights_tx007.ttl,54,UFO-C:_Institutional_Agent,category
lindeberg2022full-ontorights_tx007.ttl,55,UFO-C:_Social_Agent,category
lindeberg2022full-ontorights_tx007.ttl,57,UFO-C:_Society,kind
mgic-antt2011_tx008.ttl,11,Forma_de_Contato_de_Manifesta��o,rolemixin
mgic-antt2011_tx017.ttl,21,Ato_Normativo,kind
mgic-antt2011_tx017.ttl,36,Elemento_Alter�vel,category
mgic-antt2011_tx017.ttl,40,Elemento_Original,category
rodrigues2019ontocrime_tx002.ttl,3,Legal_Object,rolemixin
rodrigues2019ontocrime_tx002.ttl,5,Object,mixin
sales2018cover_tx003.ttl,1,Capability,rolemixin
vieira2020weathering_tx001.ttl,1,Earth_Fluid,category
