execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,2.5600194931030273e-05,0.00010410009417682886,2.2799940779805183e-05,1.5600002370774746e-05,0.014536299975588918,2.0900042727589607e-05,1.2699980288743973e-05,3.3400021493434906e-05,2.4000066332519054e-05,0.003622000105679035,0.05939619999844581,0.1257307999767363,0.007044000085443258,4.179985262453556e-05,0.002168399980291724,0.2127986003179103
2,2.4199835024774075e-05,9.810004848986864e-05,2.2800173610448837e-05,1.8100137822329998e-05,0.016041800030507147,2.2000051103532314e-05,1.100008375942707e-05,2.350006252527237e-05,2.369983121752739e-05,0.003605700097978115,0.06489579996559769,0.13610429991967976,0.0078318000305444,3.8299825973808765e-05,0.0021370998583734035,0.2308981999522075
3,7.869990076869726e-05,1.1099851690232754e-05,1.0099844075739384e-05,7.200054824352264e-06,0.0003467999631538987,8.199946023523808e-06,5.200039595365524e-06,9.89984255284071e-06,1.0600080713629723e-05,1.1400086805224419e-05,8.329993579536676e-05,8.479994721710682e-05,0.0002332000294700265,1.750001683831215e-05,1.1200085282325745e-05,0.0009291996248066425
4,8.940009865909815e-05,1.1900090612471104e-05,1.0899966582655907e-05,7.699942216277122e-06,0.0004765000194311142,9.300070814788342e-06,5.199923180043697e-06,1.0199961252510548e-05,1.1299969628453255e-05,1.1599971912801266e-05,8.44000605866313e-05,7.990002632141113e-05,0.0003513001138344407,1.8799910321831703e-05,1.1400086805224419e-05,0.0011898002121597528
5,8.290004916489124e-05,1.2499978765845299e-05,1.070008147507906e-05,7.5999414548277855e-06,0.000571400043554604,8.900067768990993e-06,5.400041118264198e-06,1.4099990949034691e-05,1.1200085282325745e-05,1.209997572004795e-05,0.00011149991769343615,8.480006363242865e-05,0.00035099999513477087,1.850002445280552e-05,1.5700003132224083e-05,0.0013183002592995763
6,8.579995483160019e-05,1.2400094419717789e-05,1.0200077667832375e-05,1.0200077667832375e-05,0.0004116999916732311,8.300063200294971e-06,5.500041879713535e-06,9.999959729611874e-06,1.089985016733408e-05,1.1200085282325745e-05,8.490006439387798e-05,7.869990076869726e-05,0.00029150000773370266,1.8200022168457508e-05,1.1300086043775082e-05,0.0010608002776280046
7,7.800001185387373e-05,1.1900090612471104e-05,1.0400079190731049e-05,7.400056347250938e-06,0.0004093999741598964,8.499948307871819e-06,5.400041118264198e-06,9.999959729611874e-06,1.109996810555458e-05,1.4500110410153866e-05,8.089991752058268e-05,7.82000133767724e-05,0.0002869999734684825,1.7799902707338333e-05,1.1399970389902592e-05,0.001041900017298758
8,8.290004916489124e-05,1.2500095181167126e-05,1.0800082236528397e-05,7.5999414548277855e-06,0.0004374999552965164,9.09995287656784e-06,5.399924702942371e-06,1.1199968867003918e-05,1.1199968867003918e-05,1.2100092135369778e-05,9.039998985826969e-05,8.539995178580284e-05,0.00030590000096708536,1.8900027498602867e-05,1.209997572004795e-05,0.0011129999766126275
9,1.3300101272761822e-05,1.300009898841381e-05,1.1599855497479439e-05,7.6000578701496124e-06,0.0027755999471992254,1.1999974958598614e-05,5.700043402612209e-06,1.1299969628453255e-05,1.2600095942616463e-05,0.004983600112609565,0.006808300036936998,0.028254799894057214,0.001858699950389564,2.1699932403862476e-05,1.2800097465515137e-05,0.04480260016862303
10,1.2999866157770157e-05,1.279998105019331e-05,1.2100092135369778e-05,8.00006091594696e-06,0.0021081999875605106,1.0100076906383038e-05,6.100046448409557e-06,1.1599971912801266e-05,1.3199984095990658e-05,0.008188400068320334,0.006012800149619579,0.021433199988678098,0.0016203999985009432,2.459995448589325e-05,1.3800105080008507e-05,0.03948830033186823
