execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.00010130007285624743,0.049630300141870975,0.002127000014297664,2.4600187316536903e-05,0.12021250010002404,0.0037239999510347843,2.799986395984888e-05,2.6300083845853806e-05,2.350006252527237e-05,4.470010753720999e-05,1.5300000086426735e-05,1.1599855497479439e-05,0.014245699974708259,0.006902500055730343,2.070015762001276e-05,0.19713800062891096
2,0.00010100018698722124,0.060359499999322,0.002097899909131229,2.4399952962994576e-05,0.13151530001778156,0.0034022999461740255,2.539972774684429e-05,2.4999957531690598e-05,2.350006252527237e-05,4.3500098399817944e-05,1.54001172631979e-05,1.2100092135369778e-05,0.015351899899542332,0.00772820005659014,1.850002445280552e-05,0.2207439000485465
3,1.5199882909655571e-05,8.749996777623892e-05,1.209997572004795e-05,1.470011193305254e-05,0.00010820000898092985,1.6299891285598278e-05,8.399994112551212e-05,1.1600088328123093e-05,1.0800082236528397e-05,1.8699909560382366e-05,8.09994526207447e-06,5.399924702942371e-06,0.0004680999554693699,0.0002712999703362584,9.699957445263863e-06,0.001141699613071978
4,1.1999974958598614e-05,8.999998681247234e-05,1.2099859304726124e-05,1.0600080713629723e-05,8.210015948861837e-05,1.200009137392044e-05,8.309993427246809e-05,1.1399970389902592e-05,1.0900082997977734e-05,1.9200146198272705e-05,7.800059393048286e-06,5.600042641162872e-06,0.00047389999963343143,0.0003529000096023083,8.599949069321156e-06,0.0011922003468498588
5,1.209997572004795e-05,8.570007048547268e-05,1.1699856258928776e-05,1.0399962775409222e-05,8.130003698170185e-05,1.1699972674250603e-05,8.650007657706738e-05,1.1099851690232754e-05,1.100008375942707e-05,1.9000028260052204e-05,7.2999391704797745e-06,5.299923941493034e-06,0.0004515999462455511,0.0003504999913275242,9.499955922365189e-06,0.0011646996717900038
6,1.1799857020378113e-05,8.769996929913759e-05,1.1999974958598614e-05,1.0599964298307896e-05,8.17000400274992e-05,1.189985778182745e-05,8.000002708286047e-05,1.1500087566673756e-05,1.0399846360087395e-05,2.1799933165311813e-05,7.300055585801601e-06,5.500041879713535e-06,0.00039579998701810837,0.0002891999902203679,8.599949069321156e-06,0.0010457995813339949
7,1.1900090612471104e-05,8.359993807971478e-05,1.170008908957243e-05,1.070008147507906e-05,8.099991828203201e-05,1.219986006617546e-05,8.040003012865782e-05,1.1200085282325745e-05,1.079996582120657e-05,1.8900143913924694e-05,7.70005863159895e-06,5.700043402612209e-06,0.00039760000072419643,0.0002989000640809536,9.100069291889668e-06,0.0010514004388824105
8,1.1999974958598614e-05,8.889997843652964e-05,1.1999974958598614e-05,1.070008147507906e-05,8.200004231184721e-05,1.219986006617546e-05,8.129992056638002e-05,1.1400086805224419e-05,1.0800082236528397e-05,1.8699909560382366e-05,7.5999414548277855e-06,5.699926987290382e-06,0.0004040999338030815,0.00029580004047602415,8.800067007541656e-06,0.0010619998211041093
9,1.2699980288743973e-05,0.006836900021880865,1.3499986380338669e-05,1.2299977242946625e-05,0.027552699903026223,0.005010299966670573,1.2699980288743973e-05,1.4599994756281376e-05,1.1799857020378113e-05,2.0699924789369106e-05,7.70005863159895e-06,5.700043402612209e-06,0.0024209999246522784,0.0017730999970808625,1.0899966582655907e-05,0.04371659958269447
10,1.2200092896819115e-05,0.004611200070939958,1.3299984857439995e-05,1.1299969628453255e-05,0.019171499996446073,0.007117600063793361,1.2199976481497288e-05,1.1500087566673756e-05,1.0900082997977734e-05,2.0200037397444248e-05,7.400056347250938e-06,5.300040356814861e-06,0.0019149999134242535,0.001461300067603588,9.100069291889668e-06,0.034390000510029495
11,1.2199976481497288e-05,0.0036220999900251627,1.3699871487915516e-05,1.1500087566673756e-05,0.01698960002977401,1.3800105080008507e-05,0.022244100109674037,1.2599863111972809e-05,1.1500087566673756e-05,0.004357600002549589,8.00006091594696e-06,5.900044925510883e-06,0.0017880999948829412,0.0013493000296875834,8.999952115118504e-06,0.05044900020584464
12,1.2400094419717789e-05,0.006919699953868985,1.3099866919219494e-05,1.1200085282325745e-05,0.023929100017994642,0.004775599925778806,1.27000967040658e-05,1.2100092135369778e-05,1.1099851690232754e-05,2.0300038158893585e-05,7.3999399319291115e-06,5.600042641162872e-06,0.0021377000957727432,0.001639900030568242,9.199953638017178e-06,0.03951710008550435
13,1.170008908957243e-05,0.004628900089301169,1.68998958542943e-05,1.119985245168209e-05,0.019106400082819164,0.0047932000597938895,1.4399993233382702e-05,1.2399978004395962e-05,1.1699972674250603e-05,2.0900042727589607e-05,7.500057108700275e-06,5.800044164061546e-06,0.001630099955946207,0.0012528999941423535,9.400071576237679e-06,0.03153340017888695
14,1.2499978765845299e-05,0.002674099989235401,1.6300007700920105e-05,1.1500087566673756e-05,0.013057700009085238,0.009537499980069697,1.2499862350523472e-05,1.179997343569994e-05,1.1299969628453255e-05,2.0399922505021095e-05,7.2999391704797745e-06,5.399924702942371e-06,0.001749000046402216,0.001254499889910221,1.2699980288743973e-05,0.028394499560818076
15,1.189985778182745e-05,0.001133799902163446,1.2699980288743973e-05,1.0999967344105244e-05,0.004330600029788911,0.007169799995608628,1.3399985618889332e-05,1.209997572004795e-05,1.1499854736030102e-05,2.6699970476329327e-05,7.500057108700275e-06,5.500041879713535e-06,0.0006976000731810927,0.0005438000662252307,9.100069291889668e-06,0.013996999827213585
16,1.1999974958598614e-05,8.530006743967533e-05,1.2100092135369778e-05,1.0599964298307896e-05,8.199992589652538e-05,1.2300093658268452e-05,8.080014958977699e-05,1.1599971912801266e-05,1.1099851690232754e-05,1.850002445280552e-05,7.6000578701496124e-06,5.200039595365524e-06,0.00039739999920129776,0.00029039999935775995,8.899951353669167e-06,0.001045800163410604
17,1.2299977242946625e-05,0.0010512999724596739,1.3499869965016842e-05,1.1300086043775082e-05,0.004380000056698918,0.007659899885766208,1.2899981811642647e-05,1.179997343569994e-05,1.1499971151351929e-05,2.1000043489038944e-05,7.699942216277122e-06,5.800044164061546e-06,0.0007788999937474728,0.000588199938647449,1.1999974958598614e-05,0.014578099711798131
