execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,12,8,1,57.14285714285714,38.095238095238095,4.761904761904762,294,280,14,294,226,68,95.23809523809523,4.761904761904762,76.87074829931973,23.12925170068027,-8,8,0,-38.09523809523809,38.095238095238095,0.0,-54,54,-18.367346938775498,18.36734693877551,8
2,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,8,12,1,38.095238095238095,57.14285714285714,4.761904761904762,294,280,14,294,198,96,95.23809523809523,4.761904761904762,67.3469387755102,32.6530612244898,-12,12,0,-57.14285714285713,57.14285714285714,0.0,-82,82,-27.89115646258503,27.891156462585034,12
3,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,20,0,1,95.23809523809523,0.0,4.761904761904762,294,280,14,294,280,14,95.23809523809523,4.761904761904762,95.23809523809523,4.761904761904762,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
4,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,20,0,1,95.23809523809523,0.0,4.761904761904762,294,280,14,294,280,14,95.23809523809523,4.761904761904762,95.23809523809523,4.761904761904762,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
5,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,20,0,1,95.23809523809523,0.0,4.761904761904762,294,280,14,294,280,14,95.23809523809523,4.761904761904762,95.23809523809523,4.761904761904762,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
6,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,20,0,1,95.23809523809523,0.0,4.761904761904762,294,280,14,294,280,14,95.23809523809523,4.761904761904762,95.23809523809523,4.761904761904762,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
7,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,20,0,1,95.23809523809523,0.0,4.761904761904762,294,280,14,294,280,14,95.23809523809523,4.761904761904762,95.23809523809523,4.761904761904762,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
8,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,20,0,1,95.23809523809523,0.0,4.761904761904762,294,280,14,294,280,14,95.23809523809523,4.761904761904762,95.23809523809523,4.761904761904762,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
9,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,12,8,1,57.14285714285714,38.095238095238095,4.761904761904762,294,280,14,294,228,66,95.23809523809523,4.761904761904762,77.55102040816327,22.448979591836736,-8,8,0,-38.09523809523809,38.095238095238095,0.0,-52,52,-17.68707482993196,17.687074829931973,7
10,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,13,7,1,61.904761904761905,33.33333333333333,4.761904761904762,294,280,14,294,237,57,95.23809523809523,4.761904761904762,80.61224489795919,19.387755102040817,-7,7,0,-33.33333333333332,33.33333333333333,0.0,-43,43,-14.62585034013604,14.625850340136054,5
11,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,16,0,5,76.19047619047619,0.0,23.809523809523807,294,280,14,294,224,70,95.23809523809523,4.761904761904762,76.19047619047619,23.809523809523807,-4,0,4,-19.047619047619037,0.0,19.047619047619044,-56,56,-19.047619047619037,19.047619047619044,5
12,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,13,7,1,61.904761904761905,33.33333333333333,4.761904761904762,294,280,14,294,235,59,95.23809523809523,4.761904761904762,79.93197278911565,20.068027210884352,-7,7,0,-33.33333333333332,33.33333333333333,0.0,-45,45,-15.306122448979579,15.30612244897959,6
13,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,14,6,1,66.66666666666666,28.57142857142857,4.761904761904762,294,280,14,294,242,52,95.23809523809523,4.761904761904762,82.31292517006803,17.687074829931973,-6,6,0,-28.57142857142857,28.57142857142857,0.0,-38,38,-12.9251700680272,12.92517006802721,5
14,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,13,7,1,61.904761904761905,33.33333333333333,4.761904761904762,294,280,14,294,239,55,95.23809523809523,4.761904761904762,81.29251700680273,18.70748299319728,-7,7,0,-33.33333333333332,33.33333333333333,0.0,-41,41,-13.945578231292501,13.945578231292519,4
15,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,16,4,1,76.19047619047619,19.047619047619047,4.761904761904762,294,280,14,294,258,36,95.23809523809523,4.761904761904762,87.75510204081633,12.244897959183673,-4,4,0,-19.047619047619037,19.047619047619047,0.0,-22,22,-7.482993197278901,7.482993197278911,2
16,21,20,0,1,95.23809523809523,0.0,4.761904761904762,21,20,0,1,95.23809523809523,0.0,4.761904761904762,294,280,14,294,280,14,95.23809523809523,4.761904761904762,95.23809523809523,4.761904761904762,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
