execution_number,input_class_name,input_class_stereotype
1,Atomic,subkind
2,Composed,subkind
3,civil,role
4,civilServiceUnit,role
5,commandUnit,role
6,designatedRegistry,role
7,designatedSection,role
8,generalInspector,role
9,individual,subkind
10,internalAffairDepartment,subkind
11,military,role
12,organization,subkind
13,organizationalPart,subkind
14,policeIAD,subkind
15,registry,subkind
16,registryResponsible,role
17,section,subkind
18,sectionResponsible,role
19,serviceUnit,role
20,system,kind
21,viceInspector,role
