execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.1000316590070724e-05,1.1600088328123093e-05,1.0599847882986069e-05,6.90016895532608e-06,0.002307299990206957,8.500181138515472e-06,5.3998082876205444e-06,1.0599847882986069e-05,1.8998980522155762e-06,0.002247999422252178,0.00901330029591918,0.03494149958714843,0.0017313999123871326,2.150004729628563e-05,1.2699980288743973e-05,0.05034219939261675
2,1.1900439858436584e-05,1.1999625712633133e-05,1.1499971151351929e-05,7.6000578701496124e-06,0.0038038999773561954,1.00000761449337e-05,5.899928510189056e-06,1.070043072104454e-05,1.9995495676994324e-06,0.0023046000860631466,0.01548330020159483,0.05669789994135499,0.0028929999098181725,1.969980075955391e-05,1.3600103557109833e-05,0.08128760010004044
3,7.610023021697998e-05,1.12997367978096e-05,1.0500196367502213e-05,7.3998235166072845e-06,0.00031800009310245514,8.19982960820198e-06,5.400273948907852e-06,9.999610483646393e-06,1.6996636986732483e-06,1.1399853974580765e-05,7.949955761432648e-05,7.739989086985588e-05,0.00022799987345933914,1.7200130969285965e-05,1.090019941329956e-05,0.0008729989640414715
4,7.790001109242439e-05,1.0899733752012253e-05,1.0000541806221008e-05,6.6999346017837524e-06,0.00041220011189579964,8.19982960820198e-06,5.000270903110504e-06,9.399838745594025e-06,2.00001522898674e-06,1.0800082236528397e-05,7.7100470662117e-05,7.440010085701942e-05,0.000319099985063076,1.659989356994629e-05,1.0600313544273376e-05,0.0010509011335670948
5,7.750000804662704e-05,1.1500436812639236e-05,1.0699499398469925e-05,7.300172001123428e-06,0.0004304000176489353,8.19982960820198e-06,5.300156772136688e-06,9.799841791391373e-06,1.8998980522155762e-06,1.1499971151351929e-05,7.990049198269844e-05,7.779989391565323e-05,0.00032769981771707535,1.7200130969285965e-05,1.0999850928783417e-05,0.001087700016796589
6,7.459986954927444e-05,1.0999850928783417e-05,1.0500196367502213e-05,6.6999346017837524e-06,0.0003625000827014446,8.100178092718124e-06,4.90015372633934e-06,9.600073099136353e-06,2.200249582529068e-06,1.0599847882986069e-05,7.79004767537117e-05,8.139992132782936e-05,0.00026960019022226334,1.6800127923488617e-05,1.0599847882986069e-05,0.0009570010006427765
7,7.490022107958794e-05,1.0899733752012253e-05,1.0400544852018356e-05,7.0999376475811005e-06,0.00037139980122447014,8.100178092718124e-06,5.09992241859436e-06,9.699724614620209e-06,1.80024653673172e-06,1.0999850928783417e-05,7.800012826919556e-05,7.54999928176403e-05,0.00026960019022226334,1.6999896615743637e-05,1.0400544852018356e-05,0.0009609009139239788
8,7.640011608600616e-05,1.0999850928783417e-05,1.0699965059757233e-05,6.899703294038773e-06,0.0003765001893043518,1.090019941329956e-05,5.200039595365524e-06,9.900424629449844e-06,2.00001522898674e-06,1.109996810555458e-05,8.310005068778992e-05,7.610023021697998e-05,0.00026899995282292366,1.7400365322828293e-05,1.0800082236528397e-05,0.0009770011529326439
9,1.1199619621038437e-05,1.0899733752012253e-05,1.109996810555458e-05,6.9998204708099365e-06,0.002145100384950638,8.600298315286636e-06,5.1995739340782166e-06,1.0299962013959885e-05,1.8998980522155762e-06,0.0044144997373223305,0.0060676997527480125,0.024812499526888132,0.0016250996850430965,1.840014010667801e-05,1.2400094419717789e-05,0.03916189819574356
10,1.4800112694501877e-05,1.090019941329956e-05,1.0800082236528397e-05,7.000286132097244e-06,0.0018247002735733986,8.299946784973145e-06,5.6996941566467285e-06,1.0100193321704865e-05,2.400018274784088e-06,0.006907099857926369,0.004380299709737301,0.01718490058556199,0.0013938997872173786,2.2700056433677673e-05,1.180032268166542e-05,0.031795401126146317
11,0.020414399914443493,1.1499971151351929e-05,1.1200085282325745e-05,7.6000578701496124e-06,0.0016367998905479908,7.699709385633469e-06,5.200039595365524e-06,1.039961352944374e-05,2.299901098012924e-06,1.2400094419717789e-05,0.003195099998265505,0.015724499709904194,0.0012444998137652874,0.003991100005805492,1.4599878340959549e-05,0.04628929868340492
12,1.1700205504894257e-05,1.1600088328123093e-05,1.0600313544273376e-05,7.000286132097244e-06,0.002041699830442667,8.599832653999329e-06,5.300156772136688e-06,1.0299962013959885e-05,1.900363713502884e-06,0.004418600350618362,0.006405599880963564,0.022133699618279934,0.0015745996497571468,1.8800143152475357e-05,1.2000557035207748e-05,0.036672001238912344
13,1.1399853974580765e-05,1.0999850928783417e-05,1.0599847882986069e-05,6.6999346017837524e-06,0.0015022000297904015,8.7004154920578e-06,5.600042641162872e-06,1.0199379175901413e-05,2.299901098012924e-06,0.004413500428199768,0.00402470026165247,0.02133419970050454,0.001110800076276064,1.9599683582782745e-05,1.5900470316410065e-05,0.032487399876117706
14,1.1399853974580765e-05,1.1300202459096909e-05,1.0500196367502213e-05,7.0999376475811005e-06,0.001524999737739563,1.200009137392044e-05,5.600042641162872e-06,1.0099727660417557e-05,1.7997808754444122e-06,0.008895500097423792,0.0026583001017570496,0.012554200366139412,0.0013367002829909325,1.950003206729889e-05,1.219986006617546e-05,0.02707120031118393
15,1.1499971151351929e-05,1.0800082236528397e-05,1.0800547897815704e-05,6.6999346017837524e-06,0.0006426000036299229,8.399598300457e-06,5.200039595365524e-06,1.019984483718872e-05,2.100132405757904e-06,0.0065367999486625195,0.0009994003921747208,0.004084500018507242,0.00048770010471343994,2.5799963623285294e-05,1.2099742889404297e-05,0.012854600325226784
16,7.440010085701942e-05,1.1200085282325745e-05,1.0499730706214905e-05,6.9998204708099365e-06,0.00036220019683241844,8.100178092718124e-06,5.09992241859436e-06,1.0000541806221008e-05,1.8998980522155762e-06,1.0899733752012253e-05,7.650023326277733e-05,7.589999586343765e-05,0.0002710004337131977,2.169981598854065e-05,1.109996810555458e-05,0.0009575006552040577
17,1.0899733752012253e-05,1.1200085282325745e-05,1.0699965059757233e-05,6.9998204708099365e-06,0.0006489004008471966,8.90018418431282e-06,5.300156772136688e-06,1.0200310498476028e-05,1.7997808754444122e-06,0.006593499798327684,0.0010152002796530724,0.00416139978915453,0.00048029981553554535,1.83996744453907e-05,1.1899974197149277e-05,0.012995599769055843
18,7.690023630857468e-05,1.12997367978096e-05,1.0699499398469925e-05,7.3998235166072845e-06,0.0003832997754216194,8.100178092718124e-06,5.300156772136688e-06,9.80030745267868e-06,2.00001522898674e-06,1.1499971151351929e-05,8.430005982518196e-05,7.730023935437202e-05,0.000283100176602602,1.7199665307998657e-05,1.12997367978096e-05,0.0009994995780289173
19,7.589999586343765e-05,1.1399853974580765e-05,1.0600313544273376e-05,7.299706339836121e-06,0.0004316996783018112,8.300412446260452e-06,5.09992241859436e-06,1.0299962013959885e-05,1.8994323909282684e-06,1.109996810555458e-05,7.990002632141113e-05,7.739989086985588e-05,0.0003261999227106571,1.7600134015083313e-05,1.0999850928783417e-05,0.0010856990702450275
20,1.0599847882986069e-05,8.58004204928875e-05,1.0999850928783417e-05,7.000286132097244e-06,0.005133999977260828,8.500181138515472e-06,5.200039595365524e-06,1.109996810555458e-05,1.8998980522155762e-06,8.030049502849579e-05,0.032344600185751915,0.11070850025862455,0.004611299838870764,1.7400365322828293e-05,0.001973399892449379,0.15501060150563717
21,7.699988782405853e-05,1.109996810555458e-05,1.0500196367502213e-05,6.800051778554916e-06,0.0003619999624788761,8.100178092718124e-06,5.09992241859436e-06,9.599607437849045e-06,2.00001522898674e-06,1.1000316590070724e-05,8.050026372075081e-05,7.470045238733292e-05,0.0002691000699996948,1.690024510025978e-05,1.0699965059757233e-05,0.0009551011025905609
