execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.00021490035578608513,3.590015694499016e-05,2.640020102262497e-05,2.4300068616867065e-05,0.0015389001928269863,2.859998494386673e-05,2.1799933165311813e-05,2.6399735361337662e-05,8.830009028315544e-05,2.8699636459350586e-05,0.00023940019309520721,0.00022079981863498688,0.0008052000775933266,4.319986328482628e-05,2.7499627321958542e-05,0.0033702999353408813
2,0.00019690021872520447,2.7200207114219666e-05,2.4499837309122086e-05,1.6999896615743637e-05,0.0010211998596787453,2.1900050342082977e-05,1.1899974197149277e-05,2.4499837309122086e-05,7.729977369308472e-05,2.7199741452932358e-05,0.0002041999250650406,0.0002013002522289753,0.0007921000942587852,4.1400082409381866e-05,2.6700086891651154e-05,0.0027152998372912407
3,0.0002987002953886986,3.429967910051346e-05,2.6700086891651154e-05,2.510007470846176e-05,0.001056799665093422,2.879975363612175e-05,1.8300022929906845e-05,2.9999762773513794e-05,2.240017056465149e-05,3.400025889277458e-05,0.0002802000381052494,0.00025269947946071625,0.0007724999450147152,4.2700208723545074e-05,3.809994086623192e-05,0.002961299382150173
4,0.022211600095033646,2.369983121752739e-05,2.1999701857566833e-05,1.800013706088066e-05,0.0020651998929679394,1.819990575313568e-05,1.29002146422863e-05,3.190012648701668e-05,2.550007775425911e-05,3.3999793231487274e-05,0.004477299749851227,0.018655700143426657,0.0015129996463656425,0.005372299812734127,3.5800039768218994e-05,0.05451709916815162
5,0.02755130035802722,2.239970490336418e-05,2.4099834263324738e-05,1.690024510025978e-05,0.0027489997446537018,2.7199741452932358e-05,1.3000331819057465e-05,2.439972013235092e-05,2.7900096029043198e-05,3.5099685192108154e-05,0.004686999600380659,0.019303399603813887,0.002089899964630604,0.00545300031080842,3.090035170316696e-05,0.0620554992929101
6,0.00011900020763278008,1.750001683831215e-05,1.4799647033214569e-05,1.0999850928783417e-05,0.000489900354295969,1.640012487769127e-05,7.700175046920776e-06,1.4699995517730713e-05,1.5399884432554245e-05,1.620035618543625e-05,0.0001179003156721592,0.00011330051347613335,0.0003315000794827938,2.259993925690651e-05,1.6300473362207413e-05,0.0013242019340395927
7,0.00027689989656209946,2.6100315153598785e-05,2.4700071662664413e-05,1.840014010667801e-05,0.0006766999140381813,1.879967749118805e-05,1.2299977242946625e-05,2.3799948394298553e-05,2.550007775425911e-05,2.6600435376167297e-05,0.00019869999960064888,0.00019989954307675362,0.0004366999492049217,3.979960456490517e-05,2.5799963623285294e-05,0.0020306995138525963
8,0.00019600056111812592,2.459995448589325e-05,2.3699365556240082e-05,1.2699980288743973e-05,0.0005302000790834427,2.7199741452932358e-05,8.19982960820198e-06,2.3099593818187714e-05,2.439972013235092e-05,2.5200191885232925e-05,0.00019189994782209396,0.00018460024148225784,0.00046929996460676193,3.5900622606277466e-05,2.6699621230363846e-05,0.0018036994151771069
9,0.00019170017912983894,2.640020102262497e-05,2.4800188839435577e-05,1.7700251191854477e-05,0.0010165995918214321,1.950003206729889e-05,1.6999896615743637e-05,2.4699606001377106e-05,2.5900080800056458e-05,2.6899855583906174e-05,0.00019849976524710655,0.00020120013505220413,0.0007269997149705887,3.820005804300308e-05,2.6100315153598785e-05,0.0025821998715400696
10,4.770001396536827e-05,0.00016010040417313576,4.1299499571323395e-05,2.7999747544527054e-05,0.024352899752557278,3.8300175219774246e-05,2.240017056465149e-05,5.099968984723091e-05,4.400033503770828e-05,0.00774939963594079,0.052316199988126755,0.16158779943361878,0.008288500364869833,6.810016930103302e-05,0.003944399766623974,0.25874009914696217
11,2.3599714040756226e-05,0.0001783999614417553,2.0499806851148605e-05,1.6100239008665085e-05,0.006350699812173843,1.4799647033214569e-05,1.309998333454132e-05,2.9200222343206406e-05,2.1799933165311813e-05,0.00016700010746717453,0.03777260007336736,0.14803450042381883,0.004036699887365103,3.1400006264448166e-05,0.004279199987649918,0.20098959980532527
12,5.779974162578583e-05,0.0002467995509505272,6.449921056628227e-05,3.480026498436928e-05,0.030541899614036083,4.700012505054474e-05,2.640020102262497e-05,5.3600408136844635e-05,6.949994713068008e-05,0.010873200371861458,0.08463930059224367,0.24059669952839613,0.012158399913460016,9.280024096369743e-05,0.005029099527746439,0.38453179923817515
14,0.00011720042675733566,1.699943095445633e-05,1.5200581401586533e-05,1.1000316590070724e-05,0.0005091000348329544,1.3200100511312485e-05,8.19982960820198e-06,1.4699995517730713e-05,1.6300007700920105e-05,2.110004425048828e-05,0.00012189988046884537,0.0001225997693836689,0.0008233999833464622,2.310005947947502e-05,1.7000362277030945e-05,0.0018510008230805397
15,0.05037560034543276,2.5700312107801437e-05,2.5499612092971802e-05,1.12997367978096e-05,0.0029309000819921494,1.3699755072593689e-05,8.499715477228165e-06,2.4599488824605942e-05,2.8199981898069382e-05,2.2300053387880325e-05,0.008619999513030052,0.04027580004185438,0.0018681995570659637,0.010514600202441216,2.879975363612175e-05,0.1147736981511116
16,0.00011100061237812042,1.690024510025978e-05,2.4499837309122086e-05,1.0799616575241089e-05,0.0005099000409245491,2.1700281649827957e-05,7.700175046920776e-06,1.4299992471933365e-05,1.5099998563528061e-05,1.5799887478351593e-05,0.00012029940262436867,0.00012349989265203476,0.00040740007534623146,3.2899901270866394e-05,1.5900004655122757e-05,0.0014476999640464783
