execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,7.429998368024826e-05,1.070008147507906e-05,1.2100092135369778e-05,6.6999346017837524e-06,0.00031700008548796177,7.4999406933784485e-06,4.600035026669502e-06,9.300070814788342e-06,1.600012183189392e-06,1.0400079190731049e-05,7.760000880807638e-05,7.549987640231848e-05,0.00022099993657320738,1.4100107364356518e-05,9.999959729611874e-06,0.00085240020416677
2,7.71000050008297e-05,1.1400086805224419e-05,1.0199961252510548e-05,7.2999391704797745e-06,0.0003486000932753086,7.500057108700275e-06,4.800036549568176e-06,9.699957445263863e-06,1.800013706088066e-06,1.1200085282325745e-05,8.09000339359045e-05,8.039991371333599e-05,0.0002319000195711851,1.500011421740055e-05,1.0699965059757233e-05,0.0009085002820938826
3,7.410009857267141e-05,1.070008147507906e-05,9.7999582067132e-06,6.700051017105579e-06,0.00032270001247525215,7.5999414548277855e-06,4.899920895695686e-06,9.400071576237679e-06,1.700012944638729e-06,1.0500079952180386e-05,7.730000652372837e-05,7.479987107217312e-05,0.00022869999520480633,1.4399993233382702e-05,1.0199961252510548e-05,0.0008635000558570027
4,0.010486399987712502,1.0800082236528397e-05,1.0299962013959885e-05,7.00005330145359e-06,0.0008297000313177705,7.300055585801601e-06,4.799920134246349e-06,9.900075383484364e-06,1.9000144675374031e-06,1.1499971151351929e-05,0.0017318000318482518,0.008074000012129545,0.0006043999455869198,0.002081099897623062,1.0999967344105244e-05,0.02388190000783652
5,0.01052059989888221,1.1199968867003918e-05,1.0599964298307896e-05,7.00005330145359e-06,0.0008728000102564692,7.100054062902927e-06,5.199923180043697e-06,9.600073099136353e-06,1.9000144675374031e-06,1.1500087566673756e-05,0.0017448000144213438,0.008073999895714223,0.0006473999237641692,0.002091099973767996,1.0999850928783417e-05,0.024025799706578255
6,7.82000133767724e-05,1.100008375942707e-05,1.009996049106121e-05,1.3399985618889332e-05,0.0003782999701797962,7.3999399319291115e-06,1.1499971151351929e-05,9.400071576237679e-06,1.700012944638729e-06,1.3699871487915516e-05,7.900013588368893e-05,7.940002251416445e-05,0.00022869999520480633,1.5100114978849888e-05,1.0699965059757233e-05,0.000947600114159286
7,7.479987107217312e-05,1.0699965059757233e-05,9.70007386058569e-06,6.6999346017837524e-06,0.0002715000882744789,7.4999406933784485e-06,4.700035788118839e-06,9.00006853044033e-06,1.700012944638729e-06,1.0500079952180386e-05,7.870001718401909e-05,7.479987107217312e-05,0.00017550005577504635,1.4299876056611538e-05,1.009996049106121e-05,0.0007601998513564467
8,7.459998596459627e-05,1.0699965059757233e-05,9.900075383484364e-06,6.6999346017837524e-06,0.00031450006645172834,7.3999399319291115e-06,4.800036549568176e-06,9.600073099136353e-06,1.800013706088066e-06,1.0600080713629723e-05,7.920002099126577e-05,7.889990229159594e-05,0.00022559997159987688,1.4499877579510212e-05,1.0399962775409222e-05,0.0008591999066993594
9,7.539999205619097e-05,1.0500079952180386e-05,9.399955160915852e-06,6.299931555986404e-06,0.0003918000729754567,7.100054062902927e-06,9.800074622035027e-06,8.900067768990993e-06,1.700012944638729e-06,1.0200077667832375e-05,7.569987792521715e-05,7.25998543202877e-05,0.00026300002355128527,1.4100107364356518e-05,9.899958968162537e-06,0.0009664001408964396
10,1.0699965059757233e-05,1.070008147507906e-05,1.009996049106121e-05,6.600050255656242e-06,0.0012465000618249178,7.79994297772646e-06,4.799920134246349e-06,9.699957445263863e-06,1.800013706088066e-06,0.0022363000316545367,0.003988000098615885,0.016234399983659387,0.0009050000226125121,1.550000160932541e-05,1.0999967344105244e-05,0.024698900058865547
11,9.699841029942036e-06,8.279993198812008e-05,9.800074622035027e-06,2.8699985705316067e-05,0.0031292999628931284,7.699942216277122e-06,8.299946784973145e-06,1.009996049106121e-05,1.600012183189392e-06,7.800012826919556e-05,0.018320800038054585,0.06911879999097437,0.0028430999955162406,1.4399876818060875e-05,0.0021137999137863517,0.09577689960133284
12,1.0800082236528397e-05,1.0999967344105244e-05,1.0299962013959885e-05,6.900052540004253e-06,0.0023787999525666237,7.900060154497623e-06,5.100038833916187e-06,9.800074622035027e-06,1.700012944638729e-06,0.0022711000638082623,0.008266999968327582,0.0357033999171108,0.0017516999505460262,1.5999889001250267e-05,1.170008908957243e-05,0.0504632000811398
13,0.005219900049269199,1.3299984857439995e-05,1.019984483718872e-05,6.600050255656242e-06,0.00048020004760473967,7.0999376475811005e-06,4.900037311017513e-06,9.499955922365189e-06,1.7998972907662392e-06,1.109996810555458e-05,0.0009552999399602413,0.003983300062827766,0.00034360005520284176,0.0010634999489411712,1.0599964298307896e-05,0.012120899744331837
14,7.470010314136744e-05,1.0899966582655907e-05,9.7999582067132e-06,6.800051778554916e-06,0.00042940001003444195,7.100054062902927e-06,4.700035788118839e-06,9.19983722269535e-06,1.8998980522155762e-06,1.0399962775409222e-05,7.800001185387373e-05,8.100015111267567e-05,0.00021949992515146732,1.5199999324977398e-05,1.0400079190731049e-05,0.0009690000442788005
15,0.020347099984064698,1.0999967344105244e-05,1.0899966582655907e-05,6.7999353632330894e-06,0.001362699898891151,6.8999361246824265e-06,4.600035026669502e-06,9.999959729611874e-06,1.9000144675374031e-06,1.1900090612471104e-05,0.0032678000861778855,0.015813699923455715,0.0010027000680565834,0.003931499901227653,1.1799857020378113e-05,0.04580129962414503
16,7.569999434053898e-05,1.0599964298307896e-05,1.0399962775409222e-05,6.800051778554916e-06,0.0003407999174669385,7.500057108700275e-06,5.100038833916187e-06,9.500072337687016e-06,1.8998980522155762e-06,1.0500079952180386e-05,8.359993807971478e-05,7.579999510198832e-05,0.0002272999845445156,1.479999627918005e-05,1.019984483718872e-05,0.0008904997957870364
