execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,3.499956801533699e-05,0.000188400037586689,3.0300114303827286e-05,2.3599714040756226e-05,0.02207720000296831,4.200031980872154e-05,1.5599653124809265e-05,4.7800131142139435e-05,3.2700132578611374e-05,0.005386999808251858,0.03118699975311756,0.1420612009242177,0.005305600352585316,4.750024527311325e-05,0.006931899581104517,0.21341280033811927
2,0.00010700011625885963,1.6100704669952393e-05,1.3799872249364853e-05,9.699724614620209e-06,0.0004723002202808857,1.0699965059757233e-05,1.1600088328123093e-05,1.3799872249364853e-05,1.4500226825475693e-05,1.490022987127304e-05,0.00011219969019293785,0.00011310027912259102,0.00025480007752776146,2.040015533566475e-05,1.499941572546959e-05,0.0011999006383121014
3,0.0002765003591775894,3.2899901270866394e-05,3.3600255846977234e-05,2.019992098212242e-05,0.0008490001782774925,2.3600179702043533e-05,1.71000137925148e-05,3.0899886041879654e-05,3.4700147807598114e-05,3.929995000362396e-05,0.0002635996788740158,0.0002628997899591923,0.0005883998237550259,6.0599762946367264e-05,3.349967300891876e-05,0.002566799521446228
4,4.619918763637543e-05,0.00018119998276233673,4.119984805583954e-05,4.2300205677747726e-05,0.02286290004849434,3.970041871070862e-05,2.6800204068422318e-05,6.400048732757568e-05,4.319986328482628e-05,0.008444600272923708,0.041337599977850914,0.16793669993057847,0.00544409966096282,6.799958646297455e-05,0.009556500241160393,0.25613499991595745
5,0.00022820010781288147,4.310021176934242e-05,2.4800188839435577e-05,2.240017056465149e-05,0.0008698999881744385,1.2999866157770157e-05,1.7799902707338333e-05,3.270059823989868e-05,2.5099609047174454e-05,3.529991954565048e-05,0.00028220005333423615,0.00027879979461431503,0.00032040011137723923,3.7800054997205734e-05,3.6300159990787506e-05,0.002267800737172365
6,0.00027299998328089714,2.5799497961997986e-05,3.3400021493434906e-05,2.1799933165311813e-05,0.0008129999041557312,2.3399945348501205e-05,1.71000137925148e-05,3.369990736246109e-05,3.3800024539232254e-05,3.620004281401634e-05,0.00020039966329932213,0.00027379998937249184,0.00029530003666877747,4.809955134987831e-05,2.6099849492311478e-05,0.00215489836409688
7,0.0002664993517100811,3.789970651268959e-05,3.9099715650081635e-05,1.1600088328123093e-05,0.0008988999761641026,2.0099803805351257e-05,1.8300022929906845e-05,4.20999713242054e-05,2.600019797682762e-05,4.1599851101636887e-05,0.0004232996143400669,0.0006669000722467899,0.0005341996438801289,7.84001313149929e-05,3.889948129653931e-05,0.003143797628581524
8,6.490014493465424e-05,0.00018949992954730988,4.7299545258283615e-05,2.600019797682762e-05,0.015456699766218662,3.6700163036584854e-05,3.1200237572193146e-05,3.25995497405529e-05,5.1198992878198624e-05,0.006200900301337242,0.03692900016903877,0.11294330097734928,0.004970100242644548,6.660027429461479e-05,0.008175099734216928,0.18522110022604465
9,0.00011620018631219864,1.5999656170606613e-05,1.6800127923488617e-05,2.3799948394298553e-05,0.000497099943459034,1.0999850928783417e-05,8.499715477228165e-06,1.4300458133220673e-05,1.4699995517730713e-05,1.6100239008665085e-05,0.00011799996718764305,0.000112900510430336,0.00027170032262802124,3.100000321865082e-05,1.5600118786096573e-05,0.0012837010435760021
10,0.00011860020458698273,2.9900111258029938e-05,1.4999881386756897e-05,1.0100193321704865e-05,0.0004200004041194916,1.109996810555458e-05,7.6000578701496124e-06,1.5799887478351593e-05,1.569977030158043e-05,1.6099773347377777e-05,0.00020219990983605385,0.00011669984087347984,0.0002691000699996948,3.009941428899765e-05,2.6899855583906174e-05,0.0013048993423581123
11,0.00014699995517730713,1.6700010746717453e-05,2.4100299924612045e-05,2.2100284695625305e-05,0.0008644000627100468,1.6700010746717453e-05,1.7200130969285965e-05,2.5799963623285294e-05,1.5600118786096573e-05,2.769986167550087e-05,0.00011519994586706161,0.00020449934527277946,0.000565599650144577,3.659958019852638e-05,1.600012183189392e-05,0.0021151993423700333
12,1.4999881386756897e-05,0.00012250058352947235,1.4600344002246857e-05,9.400304406881332e-06,0.0035264003090560436,1.2500211596488953e-05,7.4999406933784485e-06,1.619989052414894e-05,1.9600149244070053e-05,0.00011509982869029045,0.024005800019949675,0.10213150037452579,0.002818599808961153,2.239970490336418e-05,0.005539699457585812,0.13837680080905557
13,0.00016740011051297188,2.2300053387880325e-05,1.600012183189392e-05,1.00000761449337e-05,0.0005056997761130333,1.1200085282325745e-05,1.2599863111972809e-05,2.4700071662664413e-05,1.969980075955391e-05,2.730032429099083e-05,0.0001650000922381878,0.00020409980788826942,0.00027660001069307327,2.2699590772390366e-05,2.6800204068422318e-05,0.001512099988758564
14,3.609992563724518e-05,0.00017090002074837685,3.0299648642539978e-05,1.859944313764572e-05,0.018668100237846375,3.229966387152672e-05,1.4999881386756897e-05,4.1200779378414154e-05,3.220047801733017e-05,0.006246000062674284,0.031895100604742765,0.11309769982472062,0.005617399699985981,4.879990592598915e-05,0.00876969937235117,0.18471939954906702
