execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,10,3,1,71.42857142857143,21.428571428571427,7.142857142857142,196,182,14,196,163,33,92.85714285714286,7.142857142857142,83.16326530612244,16.83673469387755,-3,3,0,-21.42857142857143,21.428571428571427,0.0,-19,19,-9.693877551020421,9.693877551020407,3
2,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
3,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
4,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,10,3,1,71.42857142857143,21.428571428571427,7.142857142857142,196,182,14,196,163,33,92.85714285714286,7.142857142857142,83.16326530612244,16.83673469387755,-3,3,0,-21.42857142857143,21.428571428571427,0.0,-19,19,-9.693877551020421,9.693877551020407,3
5,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
6,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
7,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
8,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,8,5,1,57.14285714285714,35.714285714285715,7.142857142857142,196,182,14,196,149,47,92.85714285714286,7.142857142857142,76.0204081632653,23.97959183673469,-5,5,0,-35.71428571428572,35.714285714285715,0.0,-33,33,-16.83673469387756,16.83673469387755,5
9,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
10,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
11,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
12,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,0,13,1,0.0,92.85714285714286,7.142857142857142,196,182,14,196,91,105,92.85714285714286,7.142857142857142,46.42857142857143,53.57142857142857,-13,13,0,-92.85714285714286,92.85714285714286,0.0,-91,91,-46.42857142857143,46.42857142857143,0
13,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,13,0,1,92.85714285714286,0.0,7.142857142857142,196,182,14,196,182,14,92.85714285714286,7.142857142857142,92.85714285714286,7.142857142857142,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
14,14,13,0,1,92.85714285714286,0.0,7.142857142857142,14,11,2,1,78.57142857142857,14.285714285714285,7.142857142857142,196,182,14,196,170,26,92.85714285714286,7.142857142857142,86.73469387755102,13.26530612244898,-2,2,0,-14.285714285714292,14.285714285714285,0.0,-12,12,-6.122448979591837,6.122448979591837,2
