class_name,class_original_classification,classification_final_list
EvacuationOrganization,subkind,is
FloodDefenseManager,role,is
FloodDefenseMeasuresImplementer,role,is
FloodDefenseOrganization,subkind,is
FloodEvacuationImplementer,role,is
FloodEvacuationManager,role,is
FloodForecaster,role,is
FloodManagementOrganization,subkind,is
HighWaterController,role,is
HighWaterProtectionImplementer,role,is
HighWaterProtectionMeasureEvaluator,role,can
Organization,kind,is
WeatherForecaster,role,is
WeatherOrganization,subkind,is
