class_name,class_original_classification,classification_final_list
EvacuationOrganization,subkind,can
FloodDefenseManager,role,can
FloodDefenseMeasuresImplementer,role,is
FloodDefenseOrganization,subkind,is
FloodEvacuationImplementer,role,is
FloodEvacuationManager,role,is
FloodForecaster,role,can
FloodManagementOrganization,subkind,is
HighWaterController,role,can
HighWaterProtectionImplementer,role,is
HighWaterProtectionMeasureEvaluator,role,can
Organization,kind,can
WeatherForecaster,role,is
WeatherOrganization,subkind,is
