class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Abhorrence,subkind,subkind,False,True,False,1,0,7
Acquire_information,kind,kind,False,True,False,3,0,10
Acting,kind,kind,False,True,False,3,0,57
Action,kind,kind,False,False,True,1,36,57
Action_Card,kind,kind,False,True,False,2,0,14
Action_Draft,kind,kind,False,True,False,3,0,57
Action_Planning,kind,kind,False,True,False,2,0,17
Action_Points,kind,kind,False,True,False,2,0,14
Action_Programming,kind,kind,False,True,False,2,0,57
Action_based,category,category,True,False,False,0,10,10
Algorithm,kind,kind,True,False,False,0,53,57
All_versus_one,kind,kind,False,True,False,4,0,17
Alliance,kind,kind,False,False,True,3,1,17
Amusement,subkind,subkind,False,True,False,1,0,14
Anger,kind,kind,True,False,False,0,7,7
Anguish,subkind,subkind,False,True,False,1,0,11
Annoyance,subkind,subkind,False,True,False,1,0,7
Anxiety,subkind,subkind,False,True,False,1,0,8
Area_Control,kind,kind,False,True,False,6,0,57
Area_Enclosure,kind,kind,False,True,False,6,0,57
Area_Movement,kind,kind,False,False,True,4,1,57
Areas,kind,kind,False,True,False,2,0,14
Argumentativeness,subkind,subkind,False,True,False,1,0,7
Assymetry,kind,kind,False,False,True,3,1,57
Auction,kind,kind,False,True,False,2,0,57
Aversion,subkind,subkind,False,True,False,1,0,7
Behaviour,category,category,True,False,False,0,17,17
Betting,kind,kind,False,True,False,3,0,57
Bitterness,subkind,subkind,False,True,False,1,0,7
Blocking,kind,kind,False,True,False,2,0,10
Bluffing,kind,kind,False,True,False,2,0,5
Camping,kind,kind,False,True,False,2,0,17
Card,kind,kind,False,True,False,3,0,14
Card_Draft,kind,kind,False,True,False,3,0,57
Chit-pull,kind,kind,False,True,False,2,0,57
Co-operative_Play,kind,kind,False,True,False,3,0,57
Colection,kind,kind,False,False,True,2,2,57
Combo,kind,kind,False,True,False,2,0,10
Commodity_Speculation,kind,kind,False,False,True,2,1,57
Compassion,subkind,subkind,False,True,False,1,0,14
Component,kind,kind,False,False,True,1,9,14
Convince,kind,kind,False,False,True,1,1,5
Count_resources,kind,kind,False,True,False,1,0,5
Data_Representation,kind,kind,True,False,False,0,14,14
Deck,kind,kind,False,True,False,3,0,57
Despair,subkind,subkind,False,True,False,1,0,11
Desperation,subkind,subkind,False,True,False,1,0,8
Dice_Rolling,kind,kind,False,True,False,3,0,57
Die,kind,kind,False,False,True,2,1,14
Die_Marker,kind,kind,False,True,False,3,0,14
Disapointment,subkind,subkind,False,True,False,1,0,11
Discouragement,subkind,subkind,False,True,False,1,0,11
Disgust,kind,kind,True,False,False,0,7,7
Dislike,subkind,subkind,False,True,False,1,0,7
Distaste,subkind,subkind,False,True,False,1,0,7
Distraughtness,subkind,subkind,False,True,False,1,0,11
Diversion,kind,kind,False,True,False,2,0,10
Draft,kind,kind,False,False,True,2,2,57
Dread,subkind,subkind,False,True,False,1,0,8
Ecstasy,subkind,subkind,False,True,False,1,0,14
Enjoyment,kind,kind,True,False,False,0,14,14
Exasperation,subkind,subkind,False,True,False,1,0,7
Excitement,subkind,subkind,False,True,False,1,0,14
Expression,kind,kind,False,False,True,2,4,57
Fear,kind,kind,True,False,False,0,8,8
Fiero,subkind,subkind,False,True,False,1,0,14
Flexible_strategy,kind,kind,False,True,False,2,0,17
Frustration,subkind,subkind,False,True,False,1,0,7
Fury,subkind,subkind,False,True,False,1,0,7
Gamble,kind,kind,False,False,True,2,2,57
Game_Balance,kind,kind,False,False,True,2,3,57
Game_state_change,kind,kind,False,True,False,2,0,10
Goal,kind,kind,False,False,True,5,3,57
Grid_Movement,kind,kind,False,True,False,5,0,57
Grief,subkind,subkind,False,True,False,1,0,11
Grouping,kind,kind,False,False,True,2,3,17
Helplessness,subkind,subkind,False,True,False,1,0,11
Hopelessness,subkind,subkind,False,True,False,1,0,11
Horror,subkind,subkind,False,True,False,1,0,8
Human_Shield,kind,kind,False,True,False,2,0,17
Impulse,kind,kind,False,True,False,3,0,57
Indirect_effect,kind,kind,False,False,True,2,1,10
Intention_of_use,category,category,False,False,True,1,8,10
Intimidate,kind,kind,False,True,False,1,0,5
Joy,subkind,subkind,False,True,False,1,0,14
Line_Drawing,kind,kind,False,False,True,2,1,57
Loathing,subkind,subkind,False,True,False,1,0,7
Memory,kind,kind,False,True,False,6,0,57
Meta-Game,category,category,True,False,False,0,5,5
Misery,subkind,subkind,False,True,False,1,0,11
Modular_Board,kind,kind,False,True,False,2,0,14
Movement,kind,kind,False,False,True,2,3,57
Naches,subkind,subkind,False,True,False,1,0,14
Nervousness,subkind,subkind,False,True,False,1,0,8
Network_Building,kind,kind,False,True,False,3,0,57
One_versus_all,kind,kind,False,True,False,3,0,17
