class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Amusement,subkind,subkind,False,True,False,1,0
Compassion,subkind,subkind,False,True,False,1,0
Ecstasy,subkind,subkind,False,True,False,1,0
Enjoyment,kind,kind,True,False,False,0,14
Excitement,subkind,subkind,False,True,False,1,0
Fiero,subkind,subkind,False,True,False,1,0
Joy,subkind,subkind,False,True,False,1,0
Naches,subkind,subkind,False,True,False,1,0
Peace,subkind,subkind,False,True,False,1,0
Pride,subkind,subkind,False,True,False,1,0
Rejoicing,subkind,subkind,False,True,False,1,0
Relief,subkind,subkind,False,True,False,1,0
Schadenfreud,subkind,subkind,False,True,False,1,0
Sensory_Pleasure,subkind,subkind,False,True,False,1,0
Wonder,subkind,subkind,False,True,False,1,0
