execution_number,input_class_name,input_class_stereotype
1,Acting,kind
2,Action,kind
3,Action_Draft,kind
4,Action_Programming,kind
5,Algorithm,kind
6,Area_Control,kind
7,Area_Enclosure,kind
8,Area_Movement,kind
9,Assymetry,kind
10,Auction,kind
11,Betting,kind
12,Card_Draft,kind
13,Chit-pull,kind
14,Co-operative_Play,kind
15,Colection,kind
16,Commodity_Speculation,kind
17,Deck,kind
18,Dice_Rolling,kind
19,Draft,kind
20,Expression,kind
21,Gamble,kind
22,Game_Balance,kind
23,Goal,kind
24,Grid_Movement,kind
25,Impulse,kind
26,Line_Drawing,kind
27,Memory,kind
28,Movement,kind
29,Network_Building,kind
30,Partnership,kind
31,Pattern_Building,kind
32,Pattern_Recognition,kind
33,Phase,kind
34,Pick-up_and_Delivery,kind
35,Player_Elimination,kind
36,Point-toPointMovement,kind
37,Pool_Building,kind
38,Press_Your_Luck,kind
39,Random_Draw,kind
40,Resource_Management,kind
41,Rock-Paper-Scizors,kind
42,Role_Playing,kind
43,Ruleset,kind
44,Secret_Unit_Depoyment,kind
45,Set_Colection,kind
46,Simultaneous_Action_Selection,kind
47,Singing,kind
48,Stock_Holding,kind
49,Storytelling,kind
50,Take_That,kind
51,Teams,kind
52,Tile_Placement,kind
53,Time-Track,kind
54,Trading,kind
55,Trick-Taking,kind
56,Variable_Phase_Order,kind
57,Variable_Player_Powers,kind
58,Voting,kind
