execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.670000534038991e-05,0.008430300003965385,0.009599200013326481,1.850000990089029e-05,0.046569700018153526,0.004237599991029128,2.929999027401209e-05,2.8099981136620045e-05,2.649999805726111e-05,3.959999594371766e-05,2.309998671989888e-05,1.819999306462705e-05,0.010513300017919391,0.0038850999990245327,2.750000567175448e-05,0.08353270000952762
2,8.589999924879521e-05,0.007646199999726377,0.009292900009313598,1.7600017599761486e-05,0.037624800024786964,0.003074199994443916,2.4199995095841587e-05,1.799997698981315e-05,1.7299986211583018e-05,2.340000355616212e-05,1.09999964479357e-05,4.149999585933983e-05,0.007222600004752167,0.001361300004646182,1.239999255631119e-05,0.06647330000123475
3,8.679997699800879e-05,0.007762000008369796,0.009281999999075197,1.7399972421117127e-05,0.03778299999248702,0.0030125999910524115,1.9000013708136976e-05,1.789999078027904e-05,1.680001150816679e-05,2.3499989765696228e-05,1.1099997209385037e-05,8.59999272506684e-06,0.007210499999928288,0.0013694999943254516,1.2800010154023767e-05,0.06663349994050805
4,8.460000390186906e-05,0.008012799982680008,0.00915270000405144,1.789999078027904e-05,0.038534300023457035,0.0032546000002184883,1.890001294668764e-05,1.8700025975704193e-05,1.8100006855092943e-05,2.439999661874026e-05,1.9400016753934324e-05,1.379998866468668e-05,0.008730100002139807,0.0013630000030389056,1.309998333454132e-05,0.06927640004141722
5,8.3099992480129e-05,0.007876300005591474,0.009418200002983212,1.8000006093643606e-05,0.037923700001556426,0.0031885999924270436,1.9000013708136976e-05,1.8400009139440954e-05,1.7400001524947584e-05,2.409999433439225e-05,1.5900004655122757e-05,1.3500000932253897e-05,0.00767469999846071,0.0013230999902589247,1.2599994079209864e-05,0.06762660000822507
6,8.710000838618726e-05,0.007888999985880218,0.009123900003032759,1.7800004570744932e-05,0.037763700005598366,0.0030377000075532123,1.890001294668764e-05,1.819999306462705e-05,2.0499981474131346e-05,2.3999993572942913e-05,1.09999964479357e-05,8.699993486516178e-06,0.007282500009750947,0.0013662999990629032,1.200000406242907e-05,0.06668129999889061
7,8.700000762473792e-05,0.008190300010028295,0.009483999980147928,1.8499980797059834e-05,0.03891899998416193,0.0032213999947998673,1.920001523103565e-05,1.8800012185238302e-05,1.8100006855092943e-05,2.859998494386673e-05,1.1199997970834374e-05,8.99998121894896e-06,0.007459500004188158,0.0013226000010035932,1.2999982573091984e-05,0.06882019994372968
8,8.460000390186906e-05,0.007926399994175881,0.00912820000667125,1.7699974705465138e-05,0.03858810001111124,0.003187399997841567,1.9099999917671084e-05,1.8100006855092943e-05,2.1299987565726042e-05,2.340000355616212e-05,1.0900010238401592e-05,9.000010322779417e-06,0.007251600007293746,0.0013288999907672405,1.2300006346777081e-05,0.06762700001127087
9,8.55999969644472e-05,0.008231999992858618,0.009643999990657903,1.819999306462705e-05,0.03837059999932535,0.003263399994466454,1.9600018276832998e-05,1.8799983081407845e-05,2.020000829361379e-05,2.4300010409206152e-05,1.09999964479357e-05,9.000010322779417e-06,0.00768360000802204,0.0013349000073503703,1.2599994079209864e-05,0.0687478000036208
10,8.299999171867967e-05,0.008135100011713803,0.009539399994537234,2.0500010577961802e-05,0.03895560000091791,0.003105299998424016,1.929998688865453e-05,1.8600010662339628e-05,1.780001912266016e-05,2.4199980543926358e-05,1.1500000255182385e-05,9.099996532313526e-06,0.007323000012547709,0.0013478000037139282,1.2599994079209864e-05,0.06862280001223553
11,7.780001033097506e-05,0.008541000002878718,0.00960520000080578,9.700001101009548e-06,0.04156989998591598,7.389998063445091e-05,8.800008799880743e-06,9.100011084228754e-06,8.400005754083395e-06,1.1800002539530396e-05,5.199995939619839e-06,4.3000036384910345e-06,0.0014393999881576747,0.0012446000037016347,6.099988240748644e-06,0.06261519998952281
12,8.329999400302768e-05,0.0077696999796899036,0.00922980000905227,2.0099992980249226e-05,0.03855610001483001,0.00296169999637641,1.9400002202019095e-05,1.8499995348975062e-05,1.7000013031065464e-05,2.3300002794712782e-05,1.1199997970834374e-05,8.399991202168167e-06,0.007288199994945899,0.0014147999900160357,1.2199991033412516e-05,0.06743369996547699
