execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.3200100511312485e-05,0.012605400057509542,1.3099866919219494e-05,8.00006091594696e-06,1.6700010746717453e-05,2.089992631226778e-05,0.0046162999933585525,0.001219599973410368,0.00035879993811249733,0.007260699872858822,0.00011519994586706161,0.00010309985373169184,1.5300000086426735e-05,1.970015000551939e-05,0.00013539998326450586,0.02652139973361045
2,1.659989356994629e-05,0.011474800063297153,1.2999982573091984e-05,7.999944500625134e-06,7.100054062902927e-06,8.09994526207447e-06,0.002842299989424646,0.0012438001576811075,0.00035930005833506584,0.007554900133982301,0.00018199998885393143,9.510002564638853e-05,6.200047209858894e-06,1.9099912606179714e-05,0.00016549997963011265,0.023995800176635385
3,1.2200092896819115e-05,0.010703700012527406,1.5600118786096573e-05,7.79994297772646e-06,6.700051017105579e-06,7.70005863159895e-06,0.0027035000966861844,0.0011748000979423523,0.0003893000539392233,0.007187500013969839,9.440002031624317e-05,9.079999290406704e-05,5.800044164061546e-06,1.7700018361210823e-05,0.00011589995119720697,0.02253340056631714
4,1.4799879863858223e-05,0.013854200020432472,1.1499854736030102e-05,7.1999384090304375e-06,6.7999353632330894e-06,7.500057108700275e-06,0.0037240999517962337,0.003036400070413947,0.0004848999669775367,0.009324899991042912,9.039998985826969e-05,8.9899986051023e-05,5.800044164061546e-06,1.7299898900091648e-05,0.00011589995119720697,0.030791599536314607
5,1.1499971151351929e-05,0.004405200015753508,1.179997343569994e-05,7.00005330145359e-06,0.0020786999957636,1.2299977242946625e-05,0.0014320999616757035,8.759996853768826e-05,0.00015689991414546967,0.002979899989441037,0.008576199994422495,0.04041570005938411,0.0018488999921828508,1.7100130207836628e-05,0.010552800027653575,0.07259370002429932
6,1.0999967344105244e-05,0.0001140000531449914,1.0800082236528397e-05,6.8999361246824265e-06,0.003205199958756566,1.0500079952180386e-05,5.599926225841045e-06,1.2299860827624798e-05,1.1399970389902592e-05,8.729996625334024e-05,0.01837050006724894,0.07448399998247623,0.002750899991951883,1.580000389367342e-05,0.002167999977245927,0.10126419982407242
7,1.170008908957243e-05,0.009348100051283836,1.1200085282325745e-05,6.8999361246824265e-06,0.00026810006238520145,8.100061677396297e-06,0.0023880000226199627,0.0009949000086635351,0.00032029999420046806,0.0061660000355914235,0.0010720000136643648,0.004430400091223419,0.00024289998691529036,1.71000137925148e-05,0.0027674000011757016,0.028053100453689694
8,1.209997572004795e-05,0.014021400129422545,1.2699980288743973e-05,7.00005330145359e-06,9.599956683814526e-06,7.0999376475811005e-06,0.0036906000459566712,0.0027686000103130937,0.00404500006698072,0.010833199950866401,8.620007429271936e-05,9.019987192004919e-05,7.1999384090304375e-06,1.750001683831215e-05,0.00010730011854320765,0.03571570012718439
9,1.1100084520876408e-05,0.0088715999154374,1.1200085282325745e-05,6.400048732757568e-06,6.100046448409557e-06,6.7999353632330894e-06,0.0023240000009536743,0.0009689000435173512,0.0003085000207647681,0.0059368000365793705,8.5500068962574e-05,8.22999281808734e-05,5.700043402612209e-06,1.600012183189392e-05,0.00010470009874552488,0.018745600478723645
10,1.2299977242946625e-05,0.0088555000256747,1.1199968867003918e-05,6.3999323174357414e-06,6.500049494206905e-06,7.800059393048286e-06,0.002437699935398996,0.0009813000215217471,0.00031919998582452536,0.005998999928124249,8.580007124692202e-05,8.290004916489124e-05,5.400041118264198e-06,1.6300007700920105e-05,0.00010869989637285471,0.018935999949462712
11,1.1300086043775082e-05,0.008392399875447154,1.0899966582655907e-05,6.600050255656242e-06,6.100046448409557e-06,6.600050255656242e-06,0.0022461999906226993,0.0009778999956324697,0.00030620000325143337,0.0057140999706462026,8.41999426484108e-05,7.960002403706312e-05,5.399924702942371e-06,1.5700003132224083e-05,9.550002869218588e-05,0.017958699958398938
12,1.1099851690232754e-05,0.004255100036971271,9.999959729611874e-06,6.600050255656242e-06,0.0005862000398337841,7.699942216277122e-06,0.0011279000900685787,8.160003926604986e-05,0.00015700003132224083,0.0028909998945891857,0.002467400161549449,0.01244550000410527,0.0005062000127509236,1.6100122593343258e-05,0.005243599996902049,0.029813000233843923
13,1.4599994756281376e-05,0.012641999986954033,1.0599847882986069e-05,6.4999330788850784e-06,5.999929271638393e-06,6.600050255656242e-06,0.003399200038984418,0.002560500055551529,0.00042749999556690454,0.008610200020484626,8.310005068778992e-05,8.33999365568161e-05,5.400041118264198e-06,1.850002445280552e-05,9.770004544407129e-05,0.027971799951046705
14,1.1199968867003918e-05,0.008819199982099235,1.0500079952180386e-05,6.4999330788850784e-06,0.0005029999883845448,7.999944500625134e-06,0.002260299981571734,0.0010415000142529607,0.0003060000017285347,0.005778599996119738,0.0017793000442907214,0.008360199979506433,0.00044319999869912863,1.640012487769127e-05,0.005217700032517314,0.03456160007044673
15,1.3900105841457844e-05,0.009319399949163198,1.1100084520876408e-05,6.600050255656242e-06,6.300047971308231e-06,6.5999338403344154e-06,0.0024166000075638294,0.0011143999872729182,0.0003010999644175172,0.006187899969518185,8.489994797855616e-05,8.839997462928295e-05,5.500041879713535e-06,1.9300030544400215e-05,0.00010519998613744974,0.019687200081534684
