execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0599964298307896e-05,1.0400079190731049e-05,1.2899981811642647e-05,6.00004568696022e-06,0.00023830006830394268,7.00005330145359e-06,4.499917849898338e-06,1.2299977242946625e-05,2.00001522898674e-06,0.002572300028987229,7.73001229390502e-05,7.399998139590025e-05,0.00012799992691725492,1.4299876056611538e-05,1.009996049106121e-05,0.0031799999997019768
2,1.0399962775409222e-05,1.0600080713629723e-05,9.499955922365189e-06,6.3999323174357414e-06,0.00019480008631944656,6.500049494206905e-06,4.900037311017513e-06,8.800067007541656e-06,1.500011421740055e-06,0.002297599916346371,7.980014197528362e-05,7.500010542571545e-05,0.00012690003495663404,1.3299984857439995e-05,9.999959729611874e-06,0.0028560003265738487
3,1.0600080713629723e-05,1.3300101272761822e-05,9.7999582067132e-06,8.999952115118504e-06,0.00019609997980296612,6.700051017105579e-06,4.599918611347675e-06,9.200070053339005e-06,1.800013706088066e-06,0.0023165999446064234,7.800001185387373e-05,7.440010085701942e-05,0.00013320008292794228,1.3199984095990658e-05,9.800074622035027e-06,0.002886300324462354
4,1.0499963536858559e-05,1.0500079952180386e-05,1.00000761449337e-05,6.100046448409557e-06,0.00020110001787543297,6.500049494206905e-06,4.799920134246349e-06,9.00006853044033e-06,1.7998972907662392e-06,0.0024126999778673053,7.930013816803694e-05,7.639988325536251e-05,0.00013289996422827244,1.3299984857439995e-05,1.0399846360087395e-05,0.0029852999141439795
5,1.0299962013959885e-05,9.900075383484364e-06,9.999959729611874e-06,6.199930794537067e-06,0.00019550009164959192,6.5999338403344154e-06,5.00003807246685e-06,8.999952115118504e-06,1.600012183189392e-06,0.002308800001628697,7.780012674629688e-05,7.429998368024826e-05,0.0001335999695584178,1.3399985618889332e-05,9.599956683814526e-06,0.002871599979698658
6,1.0100076906383038e-05,1.0399962775409222e-05,9.599956683814526e-06,6.299931555986404e-06,0.00020059989765286446,6.5999338403344154e-06,4.900037311017513e-06,8.89983493834734e-06,1.600012183189392e-06,0.002302799839526415,7.999991066753864e-05,7.910013664513826e-05,0.0001292000524699688,1.2999982573091984e-05,9.70007386058569e-06,0.0028727996395900846
7,1.0400079190731049e-05,1.0300078429281712e-05,9.600073099136353e-06,5.900044925510883e-06,0.0001954999752342701,6.6999346017837524e-06,4.600035026669502e-06,8.79995059221983e-06,1.800013706088066e-06,0.002385699888691306,7.850001566112041e-05,7.500010542571545e-05,0.00012530002277344465,1.3199867680668831e-05,9.899958968162537e-06,0.0029412000440061092
8,1.0300078429281712e-05,1.0299845598638058e-05,9.599840268492699e-06,6.299931555986404e-06,0.00020079989917576313,6.6999346017837524e-06,4.800036549568176e-06,9.300070814788342e-06,1.600012183189392e-06,0.0023477000650018454,8.040003012865782e-05,7.499998901039362e-05,0.00012750003952533007,1.3400102034211159e-05,1.009996049106121e-05,0.002913799835368991
9,9.899958968162537e-06,1.0299962013959885e-05,2.0499923266470432e-05,5.800044164061546e-06,0.0002004000125452876,6.8999361246824265e-06,4.600035026669502e-06,9.00006853044033e-06,1.700012944638729e-06,0.0023126999149098992,7.880001794546843e-05,7.499998901039362e-05,0.00012879993300884962,1.309998333454132e-05,9.7999582067132e-06,0.0028872997500002384
10,1.0199961252510548e-05,1.0200077667832375e-05,1.00000761449337e-05,6.00004568696022e-06,0.0002055000513792038,6.6999346017837524e-06,4.699919372797012e-06,1.0199961252510548e-05,1.800013706088066e-06,0.002432099892757833,8.430005982518196e-05,7.690000347793102e-05,0.00012879993300884962,1.3399985618889332e-05,9.800074622035027e-06,0.00301059999037534
11,9.500072337687016e-06,8.279993198812008e-05,9.500072337687016e-06,5.900044925510883e-06,0.0016220000106841326,7.0999376475811005e-06,4.699919372797012e-06,1.2800097465515137e-05,1.800013706088066e-06,7.910002022981644e-05,0.008455700008198619,0.04328380012884736,0.00134830002207309,1.2499978765845299e-05,0.009816500125452876,0.06475200038403273
12,9.999959729611874e-06,1.0399962775409222e-05,9.199953638017178e-06,6.300047971308231e-06,0.00019400008022785187,6.500049494206905e-06,4.499917849898338e-06,8.699949830770493e-06,1.700012944638729e-06,0.0023970999754965305,7.579999510198832e-05,7.609999738633633e-05,0.000129799940623343,1.2500095181167126e-05,9.300070814788342e-06,0.0029519000090658665
