execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.00804059999063611,7.690000347793102e-05,9.23000043258071e-05,0.0008962999563664198,8.14999220892787e-05,0.005488099996000528,1.079996582120657e-05,1.9000144675374031e-06,1.3699987903237343e-05,1.6600009985268116e-05,6.599992047995329e-06,0.002483000047504902,5.900044925510883e-06,5.00003807246685e-06,6.799993570894003e-06,0.017225999967195094
2,0.01634639996336773,7.780001033097506e-05,9.849999332800508e-05,0.005095799977425486,7.979996735230088e-05,0.011125900084152818,1.0999967344105244e-05,1.9000144675374031e-06,1.009996049106121e-05,1.6900012269616127e-05,6.89999433234334e-06,0.005075499997474253,6.299989763647318e-06,5.199981387704611e-06,6.89999433234334e-06,0.03796489990781993
3,0.01232989999698475,0.0009396999957971275,0.003375800035428256,0.0025597999920137227,0.004150599997956306,0.008378099941182882,1.0699965059757233e-05,1.7999554984271526e-06,1.0400020983070135e-05,1.7700018361210823e-05,6.699992809444666e-06,0.0038358999881893396,0.0002940999693237245,0.0002598999999463558,7.90000194683671e-06,0.03617899987148121
4,1.0400020983070135e-05,9.70007386058569e-06,1.0200077667832375e-05,8.030002936720848e-05,9.400013368576765e-06,7.690000347793102e-05,9.100011084228754e-06,1.800013706088066e-06,9.700015652924776e-06,1.729995710775256e-05,6.399990525096655e-06,0.001296499976888299,8.500006515532732e-06,4.799978341907263e-06,7.099995855242014e-06,0.0015581001644022763
5,0.007930200023110956,7.680000271648169e-05,9.399995906278491e-05,0.0009158000466413796,7.670000195503235e-05,0.005491300020366907,1.0899966582655907e-05,1.700012944638729e-06,1.0299962013959885e-05,1.6600009985268116e-05,6.499991286545992e-06,0.0025801999727264047,5.999987479299307e-06,5.199981387704611e-06,7.100054062902927e-06,0.017229299992322922
6,0.007889899949077517,7.690000347793102e-05,9.200000204145908e-05,0.0008773999870754778,7.420004112645984e-05,0.00538399996003136,1.0700023267418146e-05,1.700012944638729e-06,1.0100018698722124e-05,1.6300007700920105e-05,6.599992047995329e-06,0.0024573999689891934,5.89998671784997e-06,5.099980626255274e-06,6.599992047995329e-06,0.016914799925871193
7,0.008334599959198385,0.002888199989683926,0.005014599941205233,0.0009392999927513301,0.01244710001628846,0.00559449999127537,1.1500087566673756e-05,2.00001522898674e-06,1.0599964298307896e-05,1.680001150816679e-05,6.799993570894003e-06,0.0025785999605432153,0.0007604999700561166,0.0006782999844290316,8.100003469735384e-06,0.03929149988107383
8,0.009111600054893643,8.130003698170185e-05,0.0001094000181183219,0.0009388999897055328,7.800001185387373e-05,0.005825800006277859,1.4999997802078724e-05,1.9000144675374031e-06,1.0500079952180386e-05,2.2900057956576347e-05,6.89999433234334e-06,0.00269510003272444,8.79995059221983e-06,8.400005754083395e-06,1.0600022505968809e-05,0.01892510027391836
9,0.012152999988757074,9.229994611814618e-05,9.330001194030046e-05,0.0024993999977596104,8.160003926604986e-05,0.008283999981358647,1.1000025551766157e-05,1.800013706088066e-06,1.0299962013959885e-05,1.6600009985268116e-05,6.999995093792677e-06,0.0037648999714292586,5.799985956400633e-06,5.099980626255274e-06,6.500049494206905e-06,0.027032599959056824
10,1.0600022505968809e-05,9.100011084228754e-06,9.899958968162537e-06,0.004055399971548468,1.0599964298307896e-05,0.0027351999888196588,1.0500021744519472e-05,2.00001522898674e-06,1.009996049106121e-05,1.6400008462369442e-05,6.499991286545992e-06,0.002572900033555925,5.399982910603285e-06,4.8999791033566e-06,6.999995093792677e-06,0.009466499905101955
11,0.007827600056771189,7.489998824894428e-05,9.50000248849392e-05,0.0008758000330999494,7.469998672604561e-05,0.005352900014258921,1.009996049106121e-05,1.700012944638729e-06,9.899958968162537e-06,1.6200006939470768e-05,6.399990525096655e-06,0.0024698000052012503,5.499983672052622e-06,4.999979864805937e-06,6.599992047995329e-06,0.016832099994644523
12,0.00785260001430288,7.730000652372837e-05,9.130005491897464e-05,0.0008747000247240067,8.129997877404094e-05,0.0053755000699311495,1.0600022505968809e-05,1.700012944638729e-06,1.0100018698722124e-05,1.610000617802143e-05,6.600050255656242e-06,0.0024882000288926065,5.600042641162872e-06,4.8999791033566e-06,6.699992809444666e-06,0.016903200303204358
13,0.008028100011870265,7.969996659085155e-05,9.469996439293027e-05,0.0008922000415623188,7.850001566112041e-05,0.005412600003182888,1.0600022505968809e-05,1.800013706088066e-06,9.899958968162537e-06,1.6400008462369442e-05,6.600050255656242e-06,0.002512300037778914,5.699985194951296e-06,4.900037311017513e-06,6.600050255656242e-06,0.017160600167699158
14,0.008303100010380149,7.780001033097506e-05,0.00010669993935152888,0.0009205000242218375,7.750000804662704e-05,0.005424500035587698,1.0400020983070135e-05,2.00001522898674e-06,1.0299962013959885e-05,1.6900012269616127e-05,6.599992047995329e-06,0.002693599963095039,6.199989002197981e-06,4.999979864805937e-06,7.099995855242014e-06,0.01766819995827973
15,0.007906699960585684,8.060003165155649e-05,8.999998681247234e-05,0.0008841999806463718,8.219998562708497e-05,0.005466200003866106,1.0999967344105244e-05,1.8999562598764896e-06,1.0299962013959885e-05,1.6200006939470768e-05,6.399990525096655e-06,0.002487200021278113,5.799985956400633e-06,5.399982910603285e-06,6.89999433234334e-06,0.017060999816749245
16,0.00402539997594431,7.680000271648169e-05,9.220000356435776e-05,7.770000956952572e-05,7.219996768981218e-05,0.002751499996520579,1.0300020221620798e-05,1.4999532140791416e-06,9.899958968162537e-06,1.610000617802143e-05,6.499991286545992e-06,0.0012544000055640936,5.700043402612209e-06,4.900037311017513e-06,6.799993570894003e-06,0.008411899965722114
17,1.1299969628453255e-05,9.599956683814526e-06,1.0499963536858559e-05,0.004217799985781312,1.1199968867003918e-05,0.0028435999993234873,1.0800024028867483e-05,1.700012944638729e-06,1.0299962013959885e-05,1.6900012269616127e-05,6.89999433234334e-06,0.0025649999734014273,5.600042641162872e-06,4.900037311017513e-06,7.199996616691351e-06,0.009733299899380654
18,0.008082500018645078,8.239998714998364e-05,9.540002793073654e-05,0.000898699916433543,7.810001261532307e-05,0.005503099993802607,1.079996582120657e-05,1.800013706088066e-06,1.0199961252510548e-05,1.650000922381878e-05,6.900052540004253e-06,0.0024594999849796295,6.199989002197981e-06,4.999979864805937e-06,6.599992047995329e-06,0.017263699905015528
