class_name,class_original_classification,classification_final_list
Acting,kind,can
Action,kind,not
Action_Draft,kind,can
Action_Programming,kind,can
Algorithm,kind,not
Area_Control,kind,can
Area_Enclosure,kind,can
Area_Movement,kind,not
Assymetry,kind,can
Auction,kind,can
Betting,kind,not
Card_Draft,kind,can
Chit-pull,kind,can
Co-operative_Play,kind,can
Colection,kind,can
Commodity_Speculation,kind,can
Deck,kind,can
Dice_Rolling,kind,is
Draft,kind,can
Expression,kind,not
Gamble,kind,is
Game_Balance,kind,can
Goal,kind,can
Grid_Movement,kind,not
Impulse,kind,can
Line_Drawing,kind,not
Memory,kind,can
Movement,kind,is
Network_Building,kind,is
Partnership,kind,can
Pattern_Building,kind,can
Pattern_Recognition,kind,can
Phase,kind,can
Pick-up_and_Delivery,kind,can
Player_Elimination,kind,can
Point-toPointMovement,kind,not
Pool_Building,kind,can
Press_Your_Luck,kind,can
Random_Draw,kind,not
Resource_Management,kind,can
Rock-Paper-Scizors,kind,can
Role_Playing,kind,is
Ruleset,kind,can
Secret_Unit_Depoyment,kind,can
Set_Colection,kind,can
Simultaneous_Action_Selection,kind,can
Singing,kind,is
Stock_Holding,kind,can
Storytelling,kind,can
Take_That,kind,can
Teams,kind,can
Tile_Placement,kind,can
Time-Track,kind,can
Trading,kind,can
Trick-Taking,kind,not
Variable_Phase_Order,kind,can
Variable_Player_Powers,kind,can
Voting,kind,can
