class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Administrative,role,role,False,False,True,2,2,8
Book,subkind,subkind,False,True,False,1,0,4
Daily,phase,phase,False,True,False,1,0,2
Dvd,subkind,subkind,False,True,False,1,0,4
Employee,role,role,False,False,True,1,4,8
Fine,kind,kind,True,False,False,0,2,2
Graduate_Student,role,role,False,True,False,2,0,8
Intern,role,role,False,True,False,3,0,8
Monthly,phase,phase,False,True,False,1,0,2
Periodical,subkind,subkind,False,True,False,1,0,4
Person,kind,kind,True,False,False,0,8,8
Professor,role,role,False,True,False,2,0,8
Regular,role,role,False,True,False,3,0,8
Student,role,role,False,False,True,1,2,8
Undergraduate_Student,role,role,False,True,False,2,0,8
Videotape,subkind,subkind,False,True,False,1,0,4
Work,kind,kind,True,False,False,0,4,4
