execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.339999476447701e-05,0.016058100009104237,0.013782400012132712,1.0799994925037026e-05,0.07687179998902138,7.660001574549824e-05,9.199982741847634e-06,9.499985026195645e-06,9.800001862458885e-06,1.7600003047846258e-05,5.999987479299307e-06,4.9000082071870565e-06,0.00289209999027662,0.0024413000064669177,7.499998901039362e-06,0.11228099997970276
2,9.269999281968921e-05,0.016975099992123432,0.012387499999022111,1.92999723367393e-05,0.07365270001173485,0.003232600007322617,2.13000166695565e-05,2.059999678749591e-05,1.9499988411553204e-05,3.270000161137432e-05,1.2499993317760527e-05,9.69998654909432e-06,0.00899710001249332,0.0027083000022685155,1.479999627918005e-05,0.11819639996974729
3,8.689999231137335e-05,0.016287900012684986,0.012585199991008267,2.2599997464567423e-05,0.07514100000844337,0.003445200010901317,2.0700012100860476e-05,2.0000006770715117e-05,1.889999839477241e-05,3.130000550299883e-05,1.2599994079209864e-05,9.300012607127428e-06,0.009351899978355505,0.0029871000006096438,1.9099999917671084e-05,0.12003970002115238
4,8.9599983766675e-05,0.016610699996817857,0.012152700001024641,1.9799976143985987e-05,0.07209840000723489,0.0033604000054765493,2.099999983329326e-05,2.0199993741698563e-05,1.9199986127205193e-05,3.259998629800975e-05,1.3100012438371778e-05,9.99998883344233e-06,0.009183600006508641,0.0025144000101136044,1.5699988580308855e-05,0.11616139994293917
5,9.199998748954386e-05,0.01712339998630341,0.012487900006817654,1.92999723367393e-05,0.07645260001299903,0.003313299996079877,2.3100015823729336e-05,1.9699989934451878e-05,1.8499995348975062e-05,3.2100011594593525e-05,1.2599994079209864e-05,9.500014130026102e-06,0.009430999998585321,0.0026667999918572605,1.920000067912042e-05,0.12172099997405894
6,1.0200004908256233e-05,7.46000005165115e-05,9.799987310543656e-06,8.799994247965515e-06,7.029999687802047e-05,0.004436100003658794,1.0400006431154907e-05,9.499999578110874e-06,8.899995009414852e-06,1.550000160932541e-05,6.299989763647318e-06,4.49999060947448e-06,0.0003167000104440376,0.00017210000078193843,7.199996616691351e-06,0.0051608999783638865
7,1.0199990356341004e-05,7.320000440813601e-05,9.99998883344233e-06,8.899995009414852e-06,7.09999876562506e-05,0.0044910000142408535,9.99998883344233e-06,9.799987310543656e-06,9.000010322779417e-06,1.8999999156221747e-05,6.700007361359894e-06,5.0000089686363935e-06,0.00023950000468175858,0.0001640999980736524,7.300011930055916e-06,0.005134699997142889
8,8.519999391864985e-05,0.015992599990568124,0.011962700009462424,1.920000067912042e-05,0.07219369999074843,0.003163700006552972,2.0500010577961802e-05,1.999997766688466e-05,1.9300015992484987e-05,4.6900007873773575e-05,1.2400007108226418e-05,9.399998816661537e-06,0.008536099994671531,0.0026108999882126227,1.4600009308196604e-05,0.11470720000215806
9,1.2299991794861853e-05,9.370000043418258e-05,1.2600008631125093e-05,1.0799994925037026e-05,0.00010749998909886926,0.005757799997809343,1.5199999324977398e-05,1.5400000847876072e-05,1.5099998563528061e-05,2.370000584051013e-05,7.199996616691351e-06,5.199995939619839e-06,0.0002796000044327229,0.00023010000586509705,8.600007276982069e-06,0.006594799997401424
10,0.00010489999840501696,0.01629460000549443,0.012376000013318844,1.9500002963468432e-05,0.07429800000682008,0.0032531000179005787,2.1800005924887955e-05,2.0100007532164454e-05,1.9499988411553204e-05,3.1400006264448166e-05,1.309998333454132e-05,9.700001101009548e-06,0.010380000006989576,0.0026255999982822686,2.409999433439225e-05,0.11949140003707726
