execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.4400109648704529e-05,8.110003545880318e-05,1.4399993233382702e-05,1.27000967040658e-05,7.670000195503235e-05,1.5300000086426735e-05,7.850013207644224e-05,1.5998957678675652e-06,1.3399985618889332e-05,4.6900007873773575e-05,1.109996810555458e-05,6.400048732757568e-06,0.00041529990267008543,0.00030960002914071083,1.3599987141788006e-05,0.0011110001942142844
2,1.3999990187585354e-05,8.600007276982069e-05,1.4399993233382702e-05,1.2899981811642647e-05,8.040003012865782e-05,1.5600002370774746e-05,7.790001109242439e-05,1.700012944638729e-06,0.0003097999142482877,4.830013494938612e-05,1.1499971151351929e-05,6.4999330788850784e-06,0.0003527000080794096,0.0002701999619603157,1.3899989426136017e-05,0.0013158000074326992
3,1.4900113455951214e-05,8.610007353127003e-05,1.4699879102408886e-05,1.2900098226964474e-05,7.82000133767724e-05,1.5400000847876072e-05,7.73001229390502e-05,1.600012183189392e-06,0.0003093000268563628,4.6800123527646065e-05,1.1399970389902592e-05,6.800051778554916e-06,0.00035509990993887186,0.0002750999992713332,1.3299984857439995e-05,0.0013189003802835941
4,0.019774300046265125,0.0009207000257447362,0.005502499989233911,0.007903399993665516,0.003982199938036501,0.013573900097981095,1.5100114978849888e-05,1.700012944638729e-06,1.559988595545292e-05,5.009991582483053e-05,1.2199976481497288e-05,0.022305999998934567,0.0004550999728962779,0.00040819996502250433,1.4299992471933365e-05,0.07493529992643744
5,1.5199882909655571e-05,0.00010890001431107521,1.5300000086426735e-05,1.3500102795660496e-05,8.109991904348135e-05,1.6200006939470768e-05,7.81001290306449e-05,2.199900336563587e-06,1.3599987141788006e-05,4.75000124424696e-05,1.1500087566673756e-05,6.800051778554916e-06,0.0004192000487819314,0.0003138999454677105,1.3299984857439995e-05,0.0011563000734895468
6,1.4599878340959549e-05,8.159992285072803e-05,1.4499993994832039e-05,1.2699980288743973e-05,8.140003774315119e-05,0.012789899948984385,1.4099990949034691e-05,1.700012944638729e-06,1.3199867680668831e-05,4.9800146371126175e-05,1.109996810555458e-05,6.5999338403344154e-06,0.00048120005521923304,0.0003464999608695507,1.3599987141788006e-05,0.013932499685324728
7,1.4999881386756897e-05,8.109991904348135e-05,1.4500110410153866e-05,1.3100099749863148e-05,8.089991752058268e-05,1.570011954754591e-05,7.679988630115986e-05,1.600012183189392e-06,0.0003131000557914376,4.9299909733235836e-05,1.1599971912801266e-05,7.200054824352264e-06,0.0003538000164553523,0.00026759994216263294,1.3599987141788006e-05,0.0013148998841643333
8,1.5199882909655571e-05,1.3399985618889332e-05,1.479999627918005e-05,8.099991828203201e-05,1.3499986380338669e-05,1.6000005416572094e-05,0.010431400034576654,1.9000144675374031e-06,1.580000389367342e-05,5.000003147870302e-05,1.1699972674250603e-05,0.0045137000270187855,7.79994297772646e-06,6.900052540004253e-06,1.309998333454132e-05,0.015206199837848544
9,1.3999990187585354e-05,7.740000728517771e-05,1.3800105080008507e-05,1.2199976481497288e-05,7.770000956952572e-05,1.4699995517730713e-05,7.430010009557009e-05,1.600012183189392e-06,1.279998105019331e-05,6.180000491440296e-05,1.0899966582655907e-05,6.300047971308231e-06,0.0005648999940603971,0.00039029994513839483,1.3599987141788006e-05,0.0013463001232594252
10,1.4899997040629387e-05,8.279993198812008e-05,1.4599878340959549e-05,1.3100099749863148e-05,7.699988782405853e-05,1.7900136299431324e-05,7.760000880807638e-05,1.700012944638729e-06,1.2999982573091984e-05,4.6600005589425564e-05,1.170008908957243e-05,7.00005330145359e-06,0.00042860000394284725,0.0003131000557914376,1.3699987903237343e-05,0.001133300131186843
11,1.5099998563528061e-05,1.300009898841381e-05,1.4699995517730713e-05,0.02017619996331632,1.4499993994832039e-05,1.640012487769127e-05,0.01632719999179244,1.700012944638729e-06,1.470011193305254e-05,5.219993181526661e-05,1.1600088328123093e-05,0.022248800029046834,7.5999414548277855e-06,6.700051017105579e-06,1.2999982573091984e-05,0.0589334003161639
12,1.389987301081419e-05,8.160003926604986e-05,1.3999990187585354e-05,1.2699980288743973e-05,7.639999967068434e-05,1.4999997802078724e-05,0.00013289996422827244,1.600012183189392e-06,1.279998105019331e-05,4.499999340623617e-05,1.0699965059757233e-05,6.200047209858894e-06,0.00043649994768202305,0.0003040999872609973,1.610000617802143e-05,0.0011794997844845057
13,1.6699894331395626e-05,8.049991447478533e-05,1.4199991710484028e-05,1.2299977242946625e-05,7.599999662488699e-05,0.012793899979442358,1.3600103557109833e-05,1.700012944638729e-06,3.169989213347435e-05,6.390002090483904e-05,1.1299969628453255e-05,6.700051017105579e-06,0.000517600099556148,0.00035800004843622446,1.3299984857439995e-05,0.01401139993686229
14,1.4599878340959549e-05,8.22999281808734e-05,1.4300108887255192e-05,1.279998105019331e-05,8.049991447478533e-05,0.010720600141212344,1.379998866468668e-05,1.9000144675374031e-06,1.6100122593343258e-05,4.8699905164539814e-05,1.1199968867003918e-05,6.500049494206905e-06,0.00040769996121525764,0.00031299993861466646,1.3699987903237343e-05,0.01175769988913089
15,1.489988062530756e-05,8.269993122667074e-05,1.4899997040629387e-05,1.2899981811642647e-05,7.970002479851246e-05,0.010736300027929246,1.4299992471933365e-05,1.700012944638729e-06,1.3299984857439995e-05,4.900002386420965e-05,1.1400086805224419e-05,6.700051017105579e-06,0.0004123999970033765,0.000318199978210032,1.3699987903237343e-05,0.011782099958509207
16,0.01570660003926605,0.008622800000011921,0.015373299946077168,0.004712800029665232,0.03830900008324534,0.010690000024624169,1.4699995517730713e-05,2.100015990436077e-06,1.4199991710484028e-05,6.610003765672445e-05,1.1399970389902592e-05,0.017647000029683113,0.003321099909953773,0.0030693000881001353,1.3999990187585354e-05,0.11757440015207976
17,0.015665499959141016,0.0016420999309048057,0.007704199990257621,0.004698800039477646,0.007756600040011108,0.010668399976566434,1.4399876818060875e-05,1.700012944638729e-06,1.3600103557109833e-05,4.689989145845175e-05,1.1299969628453255e-05,0.017122099990956485,0.0006799000548198819,0.0005735999438911676,1.5400000847876072e-05,0.06661449978128076
18,1.7600017599761486e-05,7.970002479851246e-05,1.4499993994832039e-05,1.279998105019331e-05,7.639999967068434e-05,0.012856699991971254,1.379998866468668e-05,1.8998980522155762e-06,1.3299868442118168e-05,4.890013951808214e-05,1.109996810555458e-05,6.5999338403344154e-06,0.00048150005750358105,0.0003497001016512513,1.3600103557109833e-05,0.013998100068420172
19,1.4500110410153866e-05,8.28000484034419e-05,1.4999997802078724e-05,1.2899981811642647e-05,8.070003241300583e-05,0.010752600035630167,1.3999873772263527e-05,1.700012944638729e-06,1.3300101272761822e-05,5.0999922677874565e-05,1.1100084520876408e-05,6.700051017105579e-06,0.00047099997755140066,0.0003002999583259225,1.379998866468668e-05,0.01184140017721802
20,1.4300108887255192e-05,0.001796599943190813,1.5499885194003582e-05,1.3100099749863148e-05,0.007744599832221866,0.010440400103107095,1.3799872249364853e-05,1.800013706088066e-06,1.3200100511312485e-05,4.7999899834394455e-05,1.1199968867003918e-05,6.500049494206905e-06,0.001274899928830564,0.0009590000845491886,1.379998866468668e-05,0.022366699879057705
21,0.015626599895767868,8.449994493275881e-05,9.310001041740179e-05,0.004656400065869093,7.940002251416445e-05,0.010676699923351407,1.4200108125805855e-05,1.700012944638729e-06,1.309998333454132e-05,4.6600005589425564e-05,1.1399970389902592e-05,0.01744890003465116,7.699942216277122e-06,7.100054062902927e-06,1.2699980288743973e-05,0.04878009995445609
22,1.3999990187585354e-05,8.049991447478533e-05,1.4200108125805855e-05,1.2500095181167126e-05,7.619988173246384e-05,0.012825099867768586,1.370010431855917e-05,1.5998957678675652e-06,1.2999866157770157e-05,8.36000544950366e-05,1.0999967344105244e-05,6.700051017105579e-06,0.000484099960885942,0.00034719996619969606,1.3199984095990658e-05,0.013996599707752466
23,1.7399899661540985e-05,1.3699987903237343e-05,1.4299992471933365e-05,0.004074899945408106,1.4199991710484028e-05,1.6200006939470768e-05,7.579987868666649e-05,2.00001522898674e-06,1.3500102795660496e-05,5.009991582483053e-05,1.3899989426136017e-05,0.009030100074596703,7.5999414548277855e-06,7.0999376475811005e-06,1.7900019884109497e-05,0.013368699699640274
24,1.4999997802078724e-05,0.0017698999727144837,1.580000389367342e-05,1.3699871487915516e-05,0.007766100112348795,0.01072069990914315,1.4299992471933365e-05,1.700012944638729e-06,1.3499986380338669e-05,4.979991354048252e-05,1.1599971912801266e-05,6.800051778554916e-06,0.0014926999574527144,0.0012154999421909451,1.4299992471933365e-05,0.02312139968853444
25,1.479999627918005e-05,1.3199867680668831e-05,1.4500110410153866e-05,0.019621800049208105,1.5099998563528061e-05,0.010947400121949613,1.500011421740055e-05,1.700012944638729e-06,1.4199991710484028e-05,4.909990821033716e-05,1.1599971912801266e-05,0.02230269997380674,7.999944500625134e-06,7.00005330145359e-06,1.3199984095990658e-05,0.05304930009879172
26,1.7400016076862812e-05,8.880009409040213e-05,1.4999881386756897e-05,1.3999990187585354e-05,7.850001566112041e-05,1.619989052414894e-05,8.020014502108097e-05,1.800013706088066e-06,1.3399869203567505e-05,4.6800123527646065e-05,1.1600088328123093e-05,6.600050255656242e-06,0.0004195999354124069,0.0003095000283792615,1.3999990187585354e-05,0.0011334001319482923
27,1.4800112694501877e-05,8.000002708286047e-05,1.4899997040629387e-05,1.2900098226964474e-05,7.930013816803694e-05,0.016929399920627475,1.3699987903237343e-05,1.600012183189392e-06,1.3600103557109833e-05,4.8999907448887825e-05,1.1199968867003918e-05,6.7999353632330894e-06,0.0006267999997362494,0.0005772000877186656,1.379998866468668e-05,0.01844500028528273
28,0.019530699937604368,0.0016525000100955367,0.00927360006608069,0.007848600042052567,0.0077806999906897545,0.013423099997453392,1.4199875295162201e-05,1.700012944638729e-06,1.3699987903237343e-05,4.939991049468517e-05,1.1599971912801266e-05,0.022154900012537837,0.0007532999152317643,0.0007070000283420086,3.69000481441617e-05,0.0832518998067826
29,1.4200108125805855e-05,0.00102349987719208,1.4899997040629387e-05,1.2699980288743973e-05,0.003983300062827766,0.010710200062021613,1.379998866468668e-05,1.700012944638729e-06,1.309998333454132e-05,4.840001929551363e-05,1.1299969628453255e-05,6.5999338403344154e-06,0.0008181000594049692,0.0006297000218182802,1.4299992471933365e-05,0.01731580006889999
