class_name,class_original_classification,classification_final_list
_Detained_Group__Detained_Group,role,is
_Detained_Person__Detained_Person,role,is
_Human_Rights_Mechanism__Human_Rights_Mechanism,subkind,can
_Monitoring_Action_Participant__Monitoring_Event_Participant,role,can
_Natural_Person__Person,kind,is
_Organisation_Member__Member,role,is
_Perpetrator__Perpetrator,rolemixin,is
_UFO-C:_Agent__Agent,category,is
_UFO-C:_Social_Agent__Organisation_OR_Group,kind,is
_Victim__Victim,rolemixin,is
