execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.4699995517730713e-05,0.00011029996676370502,1.7599959392100573e-05,1.4299992471933365e-05,8.399999933317304e-05,1.109996810555458e-05,8.050003089010715e-05,1.1199968867003918e-05,1.0500079952180386e-05,1.550000160932541e-05,7.099995855242014e-06,5.300040356814861e-06,0.0003092999686487019,0.0002497999812476337,7.800001185387373e-06,0.000948999950196594
2,8.889997843652964e-05,0.0137760000070557,0.010269900027196854,1.209997572004795e-05,0.06582039996283129,8.860009256750345e-05,1.0800024028867483e-05,1.1599971912801266e-05,1.0600022505968809e-05,1.5600002370774746e-05,7.099995855242014e-06,5.700043402612209e-06,0.002343500033020973,0.0028786000330001116,1.209997572004795e-05,0.09535150014562532
3,0.00010010006371885538,0.01367229997413233,0.010148100031074136,2.280005719512701e-05,0.056543399987276644,9.920005686581135e-05,0.00015819998225197196,2.19999928958714e-05,0.0006583999493159354,3.250001464039087e-05,1.3999990187585354e-05,1.0800024028867483e-05,0.014700100000482053,0.0022012999979779124,1.7599959392100573e-05,0.09840080008143559
4,9.879999561235309e-05,0.013875599950551987,0.009090100007597357,2.700003096833825e-05,0.05921500007389113,0.0001086000120267272,0.0003298000665381551,3.000005381181836e-05,2.9399991035461426e-05,5.339999916031957e-05,1.6599951777607203e-05,1.2400036212056875e-05,0.01586200000019744,0.0020468999864533544,1.780001912266016e-05,0.10081340017495677
5,0.00010189996100962162,0.0150118000456132,0.015680400014389306,2.9499991796910763e-05,0.06027299992274493,0.0001596999354660511,0.00016550003783777356,2.2599997464567423e-05,2.0600040443241596e-05,3.679998917505145e-05,1.73999578692019e-05,1.0700023267418146e-05,0.014465100015513599,0.002154499990865588,2.3099943064153194e-05,0.10817259986652061
6,0.00010169990127906203,0.0191305999760516,0.01000219996785745,2.989999484270811e-05,0.06431629997678101,0.0001061999355442822,0.025497900031041354,2.9699935112148523e-05,0.0006688000285066664,0.0022349999635480344,1.3999990187585354e-05,1.0700023267418146e-05,0.01334029994904995,0.0034110999549739063,0.001337299996521324,0.1402316996245645
7,1.2499978765845299e-05,0.002172500011511147,1.3399985618889332e-05,1.0499963536858559e-05,0.009445499978028238,1.3199984095990658e-05,0.013354499940760434,1.2899981811642647e-05,0.0002899999963119626,1.810002140700817e-05,6.999995093792677e-06,5.199981387704611e-06,0.0008647000067867339,0.0006358000100590289,0.00021470000501722097,0.027070499840192497
8,1.1699972674250603e-05,0.00011460005771368742,1.2399978004395962e-05,1.0400079190731049e-05,8.359999628737569e-05,1.2199976481497288e-05,0.00012139999307692051,1.2300035450607538e-05,0.0003174000885337591,1.7899961676448584e-05,7.499998901039362e-06,5.199981387704611e-06,0.0003499000449664891,0.00030720001086592674,8.499948307871819e-06,0.0013922001235187054
9,0.0001064000534825027,0.013829700008500367,0.008894499973393977,2.1899992134422064e-05,0.062091900035738945,0.00011600001016631722,0.0001645000302232802,2.2799940779805183e-05,2.1199986804276705e-05,3.239995567128062e-05,1.3899989426136017e-05,1.0599964298307896e-05,0.016188600042369217,0.002297300030477345,1.9300030544400215e-05,0.10383100004401058
10,0.00010490004206076264,0.015352999966125935,0.00916959997266531,2.169999061152339e-05,0.07812990009551868,0.00010469998233020306,0.00016779993893578649,2.800003858283162e-05,2.2199994418770075e-05,3.42000275850296e-05,1.379998866468668e-05,1.0400020983070135e-05,0.014504800026770681,0.002051800023764372,1.8400023691356182e-05,0.119735200132709
11,1.109996810555458e-05,7.989996811375022e-05,1.0600022505968809e-05,9.300070814788342e-06,8.000002708286047e-05,1.0500021744519472e-05,7.469998672604561e-05,1.009996049106121e-05,0.000284800014924258,1.5600002370774746e-05,6.499991286545992e-06,8.300004992634058e-06,0.00031430000672116876,0.000228599994443357,7.199996616691351e-06,0.0011515000369399786
12,9.350001346319914e-05,0.013274499971885234,0.009148599929176271,2.0799925550818443e-05,0.055217300017829984,9.290000889450312e-05,0.00015890004578977823,2.110004425048828e-05,2.0499981474131346e-05,2.9499991796910763e-05,1.3000040780752897e-05,9.800016414374113e-06,0.012205000035464764,0.0019906999659724534,1.4399993233382702e-05,0.09231049998197705
13,9.300006786361337e-05,0.013615400064736605,0.008820999937597662,2.1099927835166454e-05,0.0535395999904722,9.419990237802267e-05,0.0001550000160932541,2.1499989088624716e-05,2.0499981474131346e-05,2.9799994081258774e-05,1.3200042303651571e-05,1.0299962013959885e-05,0.012114499986637384,0.0019982000230811536,1.4500052202492952e-05,0.09056179993785918
14,9.499990846961737e-05,0.014351700025144964,0.008527099969796836,2.1199986804276705e-05,0.05750669998815283,9.950000094249845e-05,0.006429000000935048,2.3499946109950542e-05,2.1400046534836292e-05,0.0013366000493988395,1.379998866468668e-05,1.0399962775409222e-05,0.013302600011229515,0.002148200001101941,1.610000617802143e-05,0.10390279989223927
