execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0800082236528397e-05,1.0500079952180386e-05,9.600073099136353e-06,7.400056347250938e-06,0.0004265999887138605,7.70005863159895e-06,5.00003807246685e-06,1.1599855497479439e-05,9.999843314290047e-06,0.008281899965368211,8.230016101151705e-05,7.950002327561378e-05,0.0003358999965712428,2.0299921743571758e-05,1.0499963536858559e-05,0.009309600107371807
2,1.089985016733408e-05,1.0599964298307896e-05,9.70007386058569e-06,6.4999330788850784e-06,0.00041910004802048206,8.600065484642982e-06,5.00003807246685e-06,9.399838745594025e-06,1.0800082236528397e-05,0.008442299906164408,8.129992056638002e-05,7.780012674629688e-05,0.0003287999425083399,1.6299891285598278e-05,1.0500079952180386e-05,0.00944759976118803
3,1.089985016733408e-05,1.0900082997977734e-05,1.009996049106121e-05,6.7999353632330894e-06,0.00041799992322921753,7.79994297772646e-06,5.00003807246685e-06,9.600073099136353e-06,1.0500079952180386e-05,0.008414999931119382,8.230004459619522e-05,8.619995787739754e-05,0.0003486999776214361,1.5900004655122757e-05,1.0600080713629723e-05,0.009448299882933497
4,1.1299969628453255e-05,1.0899966582655907e-05,1.00000761449337e-05,6.200047209858894e-06,0.0004056999459862709,7.400056347250938e-06,4.999921657145023e-06,9.399955160915852e-06,1.109996810555458e-05,0.008265599957667291,8.109991904348135e-05,7.51999905332923e-05,0.0003225000109523535,1.6700010746717453e-05,1.070008147507906e-05,0.009248799877241254
5,1.0899966582655907e-05,1.0999967344105244e-05,9.899958968162537e-06,6.4999330788850784e-06,0.0005633999826386571,7.5999414548277855e-06,5.00003807246685e-06,9.199953638017178e-06,1.1600088328123093e-05,0.012063700123690069,8.080003317445517e-05,7.979990914463997e-05,0.00047339999582618475,1.610000617802143e-05,1.0299962013959885e-05,0.01335919986013323
6,2.750009298324585e-05,1.7700018361210823e-05,2.4499953724443913e-05,1.550000160932541e-05,0.0008953000651672482,1.6900012269616127e-05,1.279998105019331e-05,1.71000137925148e-05,2.459995448589325e-05,0.011584700085222721,0.0001401000190526247,0.0001379000023007393,0.0007054000161588192,3.670004662126303e-05,1.8099904991686344e-05,0.013674800167791545
7,1.2699863873422146e-05,1.1599971912801266e-05,1.0699965059757233e-05,6.700051017105579e-06,0.0004293000092729926,8.499948307871819e-06,5.100038833916187e-06,9.70007386058569e-06,1.0500079952180386e-05,0.008911599987186491,8.549995254725218e-05,8.159992285072803e-05,0.0003380000125616789,2.0699924789369106e-05,1.100008375942707e-05,0.00995319988578558
8,1.0499963536858559e-05,1.0600080713629723e-05,9.599956683814526e-06,6.600050255656242e-06,0.00041179999243468046,7.800059393048286e-06,5.100038833916187e-06,1.2399978004395962e-05,1.0300078429281712e-05,0.008680199855007231,8.5500068962574e-05,8.220004383474588e-05,0.00032489991281181574,1.640012487769127e-05,1.0899966582655907e-05,0.009684800170361996
9,1.100008375942707e-05,1.54001172631979e-05,1.0199961252510548e-05,6.3999323174357414e-06,0.0005677000153809786,7.5999414548277855e-06,5.399924702942371e-06,9.300070814788342e-06,1.0499963536858559e-05,0.012184200109913945,8.719996549189091e-05,7.919990457594395e-05,0.00047039997298270464,1.6200006939470768e-05,1.1199968867003918e-05,0.013491899939253926
10,1.070008147507906e-05,1.0800082236528397e-05,9.899958968162537e-06,6.600050255656242e-06,0.00042159995064139366,7.300055585801601e-06,4.899920895695686e-06,9.699957445263863e-06,1.0800082236528397e-05,0.008369999937713146,8.430005982518196e-05,7.680011913180351e-05,0.00032570003531873226,1.6800127923488617e-05,1.0599964298307896e-05,0.00937650038395077
11,1.0900082997977734e-05,1.1399853974580765e-05,9.599956683814526e-06,6.4999330788850784e-06,0.00040739995893090963,7.4999406933784485e-06,5.00003807246685e-06,1.309998333454132e-05,1.0699965059757233e-05,0.00832220003940165,8.489994797855616e-05,7.780001033097506e-05,0.000318799982778728,1.5900004655122757e-05,1.0600080713629723e-05,0.009312299778684974
